Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
1,表,0,0,0,false,false,false,蔵口　敦,右,脇坂颯来,左,ストレート,,11,3,ボール,false,,,,,0,0,,
1,表,1,0,0,false,false,false,蔵口　敦,右,脇坂颯来,左,ストレート,,5,3,インプレー,false,,三塁打,フライ,中,0,0,,L7
1,表,0,0,0,false,false,true,蔵口　敦,右,菊岡愛輝,左,スライダー,,7,3,見送,false,,,,,0,0,,
1,表,0,1,0,false,false,true,蔵口　敦,右,菊岡愛輝,左,ストレート,,4,3,見送,false,,,,,0,0,,
1,表,0,2,0,false,false,true,蔵口　敦,右,菊岡愛輝,左,ストレート,,13,3,ボール,false,,,,,0,0,,
1,表,1,2,0,false,false,true,蔵口　敦,右,菊岡愛輝,左,ストレート,,14,1,ボール,false,,,,,0,1,,
1,表,2,2,0,false,false,false,蔵口　敦,右,菊岡愛輝,左,カーブ,,14,2,ファール,false,,,,,0,0,,
1,表,2,2,0,false,false,false,蔵口　敦,右,菊岡愛輝,左,ストレート,,11,3,ボール,false,,,,,0,0,,
1,表,3,2,0,false,false,false,蔵口　敦,右,菊岡愛輝,左,カーブ,,8,2,インプレー,false,,凡打,フライ,中,1,0,,L6
1,表,0,0,1,false,false,false,蔵口　敦,右,藤田海輝,右,カット,,14,1,空振,false,,,,,0,0,,
1,表,0,1,1,false,false,false,蔵口　敦,右,藤田海輝,右,ストレート,,7,1,見送,false,,,,,0,0,,
1,表,0,2,1,false,false,false,蔵口　敦,右,藤田海輝,右,ストレート,,5,1,ファール,false,,,,,0,0,,
1,表,0,2,1,false,false,false,蔵口　敦,右,藤田海輝,右,スライダー,,14,1,ボール,false,,,,,0,0,,
1,表,1,2,1,false,false,false,蔵口　敦,右,藤田海輝,右,スライダー,,14,1,空振,false,空三振,,,,1,0,,
1,表,0,0,2,false,false,false,蔵口　敦,右,久保田大成,右,スライダー,,14,1,空振,false,,,,,0,0,,
1,表,0,1,2,false,false,false,蔵口　敦,右,久保田大成,右,ストレート,,11,1,ボール,false,,,,,0,0,,
1,表,1,1,2,false,false,false,蔵口　敦,右,久保田大成,右,カーブ,,6,1,インプレー,false,,凡打,ゴロ,二,1,0,,R3
1,裏,0,0,0,false,false,false,吉野京士郎,右,辻坂光聖,左,ストレート,,4,3,見送,false,,,,,0,0,,
1,裏,0,1,0,false,false,false,吉野京士郎,右,辻坂光聖,左,ストレート,,11,3,ボール,false,,,,,0,0,,
1,裏,1,1,0,false,false,false,吉野京士郎,右,辻坂光聖,左,ストレート,,5,3,インプレー,false,,単打,フライ,右,0,0,,
1,裏,0,0,0,true,false,false,吉野京士郎,右,前谷内琉斗,左,ストレート,,11,3,ボール,false,,,,,0,0,,
1,裏,1,0,0,true,false,false,吉野京士郎,右,前谷内琉斗,左,ストレート,,7,3,見送,false,,,,,0,0,,
1,裏,1,1,0,true,false,false,吉野京士郎,右,前谷内琉斗,左,,,0,0,牽制,false,,,,,0,0,,
