Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
1,表,0,0,0,false,false,false,土合章太,右,浜野大輝,左,ストレート,,13,3,ボール,false,,,,,0,0,,
1,表,1,0,0,false,false,false,土合章太,右,浜野大輝,左,ストレート,,13,2,ボール,false,,,,,0,0,,
1,表,2,0,0,false,false,false,土合章太,右,浜野大輝,左,ストレート,,4,3,インプレー,false,,凡打,フライ,中,1,0,,L7
1,表,0,0,1,false,false,false,土合章太,右,道下柚希,左,ストレート,,5,3,インプレー,false,,単打,ライナー,二,0,0,,R4
1,表,0,0,1,true,false,false,土合章太,右,竹田龍汰,右,ストレート,,4,1,見送,false,,,,,0,0,,
1,表,0,1,1,true,false,false,土合章太,右,竹田龍汰,右,,,0,0,牽制,false,,,,,0,0,,
1,表,0,1,1,true,false,false,土合章太,右,竹田龍汰,右,ストレート,,5,1,インプレー,false,,凡打,フライ,中,1,0,,J6
1,表,0,0,2,true,false,false,土合章太,右,加納誠琉,右,ストレート,,8,1,空振,false,,,,,0,0,,
1,表,0,1,2,true,false,false,土合章太,右,加納誠琉,右,,,0,0,牽制,false,,,,,0,0,,
1,表,0,1,2,true,false,false,土合章太,右,加納誠琉,右,ストレート,,11,1,ボール,false,,,,,0,0,,
1,表,1,1,2,true,false,false,土合章太,右,加納誠琉,右,ストレート,,9,1,見送,false,,,,,0,0,,
1,表,1,2,2,true,false,false,土合章太,右,加納誠琉,右,ストレート,,8,1,空振,false,空三振,,,,1,0,,
1,裏,0,0,0,false,false,false,濵名壱晴,右,伊藤風嘉,右,ストレート,,1,1,見送,false,,,,,0,0,,
1,裏,0,1,0,false,false,false,濵名壱晴,右,伊藤風嘉,右,スライダー,,14,1,ボール,false,,,,,0,0,,
1,裏,1,1,0,false,false,false,濵名壱晴,右,伊藤風嘉,右,ストレート,,5,1,インプレー,false,,三塁打,フライ,右,0,0,,T8
1,裏,0,0,0,false,false,true,濵名壱晴,右,池邉　翔,右,ストレート,,4,3,見送,false,,,,,0,0,,
1,裏,0,1,0,false,false,true,濵名壱晴,右,池邉　翔,右,スライダー,,3,1,ファール,false,,,,,0,0,,
1,裏,0,2,0,false,false,true,濵名壱晴,右,池邉　翔,右,ストレート,,13,3,ボール,false,,,,,0,0,,
1,裏,1,2,0,false,false,true,濵名壱晴,右,池邉　翔,右,ストレート,,13,3,ボール,false,,,,,0,0,,
1,裏,2,2,0,false,false,true,濵名壱晴,右,池邉　翔,右,スライダー,,1,3,インプレー,false,,犠飛,フライ,中,1,1,,M7
1,裏,0,0,1,false,false,false,濵名壱晴,右,岩見　柊,右,スライダー,,11,1,ボール,false,,,,,0,0,,
1,裏,1,0,1,false,false,false,濵名壱晴,右,岩見　柊,右,スライダー,,7,1,見送,false,,,,,0,0,,
1,裏,1,1,1,false,false,false,濵名壱晴,右,岩見　柊,右,ストレート,,6,1,ファール,false,,,,,0,0,,
1,裏,1,2,1,false,false,false,濵名壱晴,右,岩見　柊,右,ストレート,,12,1,ボール,false,,,,,0,0,,
1,裏,2,2,1,false,false,false,濵名壱晴,右,岩見　柊,右,スライダー,,6,1,ファール,false,,,,,0,0,,
1,裏,2,2,1,false,false,false,濵名壱晴,右,岩見　柊,右,ストレート,,6,1,ファール,false,,,,,0,0,,
1,裏,2,2,1,false,false,false,濵名壱晴,右,岩見　柊,右,ストレート,,6,1,ファール,false,,,,,0,0,,
1,裏,2,2,1,false,false,false,濵名壱晴,右,岩見　柊,右,ストレート,,6,1,インプレー,false,,単打,ゴロ,投,0,0,,M1
1,裏,0,0,1,true,false,false,濵名壱晴,右,大西良来,右,ストレート,,9,1,見送,false,,,,,0,0,,
1,裏,0,1,1,true,false,false,濵名壱晴,右,大西良来,右,ストレート,,1,1,ファール,false,,,,,0,0,,
1,裏,0,2,1,true,false,false,濵名壱晴,右,大西良来,右,,,0,1,牽制,false,,,,,0,0,,
1,裏,0,2,1,true,false,false,濵名壱晴,右,大西良来,右,ストレート,,12,1,ボール,false,,,,,0,0,,
1,裏,1,2,1,true,false,false,濵名壱晴,右,大西良来,右,ストレート,,9,2,ファール,false,,,,,0,0,,
1,裏,1,2,1,true,false,false,濵名壱晴,右,大西良来,右,スライダー,,8,1,インプレー,false,,併殺,ゴロ,三,2,0,,D2
2,表,0,0,0,false,false,false,土合章太,右,藤浦未来洋,右,ストレート,,9,3,インプレー,false,,凡打,フライ,左,1,0,,G6
2,表,0,0,1,false,false,false,土合章太,右,小山裕太郎,右,スライダー,,6,1,見送,false,,,,,0,0,,
2,表,0,1,1,false,false,false,土合章太,右,小山裕太郎,右,ストレート,,11,1,ボール,false,,,,,0,0,,
2,表,1,1,1,false,false,false,土合章太,右,小山裕太郎,右,スライダー,,11,1,ボール,false,,,,,0,0,,
2,表,2,1,1,false,false,false,土合章太,右,小山裕太郎,右,フォーク,,14,1,空振,false,,,,,0,0,,
2,表,2,2,1,false,false,false,土合章太,右,小山裕太郎,右,スライダー,,11,1,ボール,false,,,,,0,0,,
2,表,3,2,1,false,false,false,土合章太,右,小山裕太郎,右,スライダー,,11,1,ボール,false,四球,,,,0,0,,
2,表,0,0,1,true,false,false,土合章太,右,淀川理久,左,ストレート,,6,3,ファール,false,,,,,0,0,,
2,表,0,1,1,true,false,false,土合章太,右,淀川理久,左,ストレート,,4,3,インプレー,false,,凡打,ゴロ,二,1,0,,T3
2,表,0,0,2,false,true,false,土合章太,右,渡辺健太郎,右,ストレート,,11,1,ボール,false,,,,,0,0,,
2,表,1,0,2,false,true,false,土合章太,右,渡辺健太郎,右,ストレート,,5,1,インプレー,false,,凡打,フライ,右,1,0,,S4
2,裏,0,0,0,false,false,false,濵名壱晴,右,山本侑汰,左,ストレート,,14,1,ボール,false,,,,,0,0,,
2,裏,1,0,0,false,false,false,濵名壱晴,右,山本侑汰,左,ストレート,,2,3,インプレー,false,,単打,ゴロ,二,0,0,,U3
2,裏,0,0,0,true,false,false,濵名壱晴,-,辻本匡登,-,ストレート,,13,1,ボール,false,,,,,0,0,,
2,裏,1,0,0,true,false,false,濵名壱晴,右,辻本匡登,右,,,0,1,牽制,false,,,,,0,0,,
2,裏,1,0,0,true,false,false,濵名壱晴,右,辻本匡登,右,ストレート,,1,2,ファール,false,,,,,0,0,,
2,裏,1,1,0,true,false,false,濵名壱晴,右,辻本匡登,右,スライダー,,5,1,インプレー,false,,併殺,ゴロ,遊,2,0,,I3
2,裏,0,0,2,false,false,false,濵名壱晴,右,武元翔吾,右,ストレート,,4,1,見送,false,,,,,0,0,,
2,裏,0,1,2,false,false,false,濵名壱晴,右,武元翔吾,右,ストレート,,11,1,ボール,false,,,,,0,0,,
2,裏,1,1,2,false,false,false,濵名壱晴,右,武元翔吾,右,ストレート,,4,1,インプレー,false,,凡打,フライ,右,1,0,,T6
3,表,0,0,0,false,false,false,土合章太,右,山本優人,右,ストレート,,14,1,ボール,false,,,,,0,0,,
3,表,1,0,0,false,false,false,土合章太,右,山本優人,右,ストレート,,14,1,ボール,false,,,,,0,0,,
3,表,2,0,0,false,false,false,土合章太,右,山本優人,右,ストレート,,9,1,ファール,false,,,,,0,0,,
3,表,2,1,0,false,false,false,土合章太,右,山本優人,右,ストレート,,11,1,ボール,false,,,,,0,0,,
3,表,3,1,0,false,false,false,土合章太,右,山本優人,右,ストレート,,8,1,インプレー,false,,凡打,ゴロ,遊,1,0,,H3
3,表,0,0,1,false,false,false,土合章太,右,浜野大輝,左,ストレート,,5,3,見送,false,,,,,0,0,,
3,表,0,1,1,false,false,false,土合章太,右,浜野大輝,左,フォーク,,14,3,ボール,false,,,,,0,0,,
3,表,1,1,1,false,false,false,土合章太,右,浜野大輝,左,ストレート,,13,3,ボール,false,,,,,0,0,,
3,表,2,1,1,false,false,false,土合章太,右,浜野大輝,左,ストレート,,13,3,ボール,false,,,,,0,0,,
3,表,3,1,1,false,false,false,土合章太,右,浜野大輝,左,カット,,6,2,見送,false,,,,,0,0,,
3,表,3,2,1,false,false,false,土合章太,右,浜野大輝,左,ストレート,,9,1,ファール,false,,,,,0,0,,
3,表,3,2,1,false,false,false,土合章太,右,浜野大輝,左,ストレート,,4,1,インプレー,false,,凡打,ゴロ,三,1,0,,F2
3,表,0,0,2,false,false,false,土合章太,右,道下柚希,左,スライダー,,13,3,ボール,false,,,,,0,0,,
3,表,1,0,2,false,false,false,土合章太,右,道下柚希,左,ストレート,,13,3,ボール,false,,,,,0,0,,
3,表,2,0,2,false,false,false,土合章太,右,道下柚希,左,ストレート,,8,3,ファール,false,,,,,0,0,,
3,表,2,1,2,false,false,false,土合章太,右,道下柚希,左,ストレート,,11,2,ボール,false,,,,,0,0,,
3,表,3,1,2,false,false,false,土合章太,右,道下柚希,左,カット,,5,1,見送,false,,,,,0,0,,
3,表,3,2,2,false,false,false,土合章太,右,道下柚希,左,カット,,5,1,ファール,false,,,,,0,0,,
3,表,3,2,2,false,false,false,土合章太,右,道下柚希,左,ストレート,,6,3,ファール,false,,,,,0,0,,
3,表,3,2,2,false,false,false,土合章太,右,道下柚希,左,スライダー,,4,3,空振,false,空三振,,,,1,0,,
3,裏,0,0,0,false,false,false,濵名壱晴,右,河村利毅,左,ストレート,,11,3,ボール,false,,,,,0,0,,
3,裏,1,0,0,false,false,false,濵名壱晴,右,河村利毅,左,スライダー,,11,1,ボール,false,,,,,0,0,,
3,裏,2,0,0,false,false,false,濵名壱晴,右,河村利毅,左,スライダー,,9,1,見送,false,,,,,0,0,,
3,裏,2,1,0,false,false,false,濵名壱晴,右,河村利毅,左,ストレート,,14,3,ボール,false,,,,,0,0,,
3,裏,3,1,0,false,false,false,濵名壱晴,右,河村利毅,左,ストレート,,14,1,ボール,false,四球,,,,0,0,,
3,裏,0,0,0,true,false,false,濵名壱晴,右,山川宗慶,右,スライダー,,13,3,ボール,false,,,,,0,0,,
3,裏,1,0,0,true,false,false,濵名壱晴,右,山川宗慶,右,ストレート,,14,1,ボール,false,,,,,0,0,,
3,裏,2,0,0,true,false,false,濵名壱晴,右,山川宗慶,右,ストレート,,4,1,インプレー,false,,犠打,ゴロ,投,0,0,,
3,裏,0,0,1,false,true,false,濵名壱晴,右,伊藤風嘉,右,スライダー,,7,1,見送,false,,,,,0,0,,
3,裏,0,1,1,false,true,false,濵名壱晴,右,伊藤風嘉,右,ストレート,,13,3,ボール,false,,,,,0,0,,
3,裏,1,1,1,false,true,false,濵名壱晴,右,伊藤風嘉,右,スライダー,,13,1,ボール,false,,,,,0,0,,
3,裏,2,1,1,false,true,false,濵名壱晴,右,伊藤風嘉,右,ストレート,,4,3,インプレー,false,,凡打,ライナー,左,1,0,,G7
3,裏,0,0,2,false,true,false,濵名壱晴,右,池邉　翔,右,ストレート,,13,3,ボール,false,,,,,0,0,,
3,裏,1,0,2,false,true,false,濵名壱晴,右,池邉　翔,右,スライダー,,11,1,ボール,false,,,,,0,0,,
3,裏,2,0,2,false,true,false,濵名壱晴,右,池邉　翔,右,スライダー,,6,1,ファール,false,,,,,0,0,,
3,裏,2,1,2,false,true,false,濵名壱晴,右,池邉　翔,右,スライダー,,4,1,インプレー,false,,凡打,フライ,中,1,0,,Q6
4,表,0,0,0,false,false,false,土合章太,右,竹田龍汰,右,ストレート,,9,1,ファール,false,,,,,0,0,,
4,表,0,1,0,false,false,false,土合章太,右,竹田龍汰,右,スライダー,,5,1,インプレー,false,,凡打,ライナー,投,1,0,,N2
4,表,0,0,1,false,false,false,土合章太,右,加納誠琉,右,スライダー,,11,1,ボール,false,,,,,0,0,,
4,表,1,0,1,false,false,false,土合章太,右,加納誠琉,右,カット,,6,1,見送,false,,,,,0,0,,
4,表,1,1,1,false,false,false,土合章太,右,加納誠琉,右,ストレート,,14,1,ボール,false,,,,,0,0,,
4,表,2,1,1,false,false,false,土合章太,右,加納誠琉,右,ストレート,,9,1,空振,false,,,,,0,0,,
4,表,2,2,1,false,false,false,土合章太,右,加納誠琉,右,スライダー,,4,1,空振,false,空三振,,,,1,0,,
4,表,0,0,2,false,false,false,土合章太,右,藤浦未来洋,右,スライダー,,9,3,見送,false,,,,,0,0,,
4,表,0,1,2,false,false,false,土合章太,右,藤浦未来洋,右,スライダー,,7,3,見送,false,,,,,0,0,,
4,表,0,2,2,false,false,false,土合章太,右,藤浦未来洋,右,ストレート,,13,3,ボール,false,,,,,0,0,,
4,表,1,2,2,false,false,false,土合章太,右,藤浦未来洋,右,ストレート,,4,3,ファール,false,,,,,0,0,,
4,表,1,2,2,false,false,false,土合章太,右,藤浦未来洋,右,フォーク,,8,3,空振,false,空三振,,,,1,0,,
4,裏,0,0,0,false,false,false,濵名壱晴,右,岩見　柊,右,ストレート,,4,1,見送,false,,,,,0,0,,
4,裏,0,1,0,false,false,false,濵名壱晴,右,岩見　柊,右,スライダー,,14,1,ボール,false,,,,,0,0,,
4,裏,1,1,0,false,false,false,濵名壱晴,右,岩見　柊,右,ストレート,,7,2,空振,false,,,,,0,0,,
4,裏,1,2,0,false,false,false,濵名壱晴,右,岩見　柊,右,スライダー,,11,1,ボール,false,,,,,0,0,,
4,裏,2,2,0,false,false,false,濵名壱晴,右,岩見　柊,右,スライダー,,1,1,見送,false,見三振,,,,1,0,,
4,裏,0,0,1,false,false,false,濵名壱晴,右,大西良来,右,ストレート,,11,2,ボール,false,,,,,0,0,,
4,裏,1,0,1,false,false,false,濵名壱晴,右,大西良来,右,スライダー,,11,1,ボール,false,,,,,0,0,,
4,裏,2,0,1,false,false,false,濵名壱晴,右,大西良来,右,スライダー,,11,1,ボール,false,,,,,0,0,,
4,裏,3,0,1,false,false,false,濵名壱晴,右,大西良来,右,スライダー,,8,1,見送,false,,,,,0,0,,
4,裏,3,1,1,false,false,false,濵名壱晴,右,大西良来,右,ストレート,,14,1,ボール,false,四球,,,,0,0,,
4,裏,0,0,1,true,false,false,濵名壱晴,右,山本侑汰,左,ストレート,,14,1,ボール,false,,,,,0,0,,
4,裏,1,0,1,true,false,false,濵名壱晴,右,山本侑汰,左,ストレート,,13,3,ボール,false,,,,,0,0,,
4,裏,2,0,1,true,false,false,濵名壱晴,右,山本侑汰,左,スライダー,,8,2,見送,false,,,,,0,0,,
4,裏,2,1,1,true,false,false,濵名壱晴,右,山本侑汰,左,スライダー,,11,1,ボール,false,,,,,0,0,,盗塁成功
4,裏,3,1,1,false,true,false,濵名壱晴,右,山本侑汰,左,ストレート,,2,3,ファール,false,,,,,0,0,,
4,裏,3,2,1,false,true,false,濵名壱晴,右,山本侑汰,左,スライダー,,4,3,ファール,false,,,,,0,0,,
4,裏,3,2,1,false,true,false,濵名壱晴,右,山本侑汰,左,スライダー,,1,3,インプレー,false,,凡打,フライ,中,1,0,,M7
4,裏,0,0,2,false,false,true,濵名壱晴,右,辻本匡登,右,スライダー,,9,3,インプレー,false,,凡打,ゴロ,遊,1,0,,G3
5,表,0,0,0,false,false,false,土合章太,右,小山裕太郎,右,ストレート,,5,1,ファール,false,,,,,0,0,,
5,表,0,1,0,false,false,false,土合章太,右,小山裕太郎,右,カット,,13,1,ボール,false,,,,,0,0,,
5,表,1,1,0,false,false,false,土合章太,右,小山裕太郎,右,ストレート,,5,2,ファール,false,,,,,0,0,,
5,表,1,2,0,false,false,false,土合章太,右,小山裕太郎,右,カット,,4,1,見送,false,見三振,,,,1,0,,
5,表,0,0,1,false,false,false,土合章太,右,淀川理久,左,ストレート,,4,3,インプレー,false,,単打,ライナー,右,0,0,,S4
5,表,0,0,1,true,false,false,土合章太,右,渡辺健太郎,右,スライダー,,11,1,ボール,false,,,,,0,0,,
5,表,1,0,1,true,false,false,土合章太,右,渡辺健太郎,右,,,0,1,牽制,false,,,,,0,0,,
5,表,1,0,1,true,false,false,土合章太,右,渡辺健太郎,右,ストレート,,1,1,空振,false,,,,,0,0,,盗塁失敗
5,表,1,1,2,false,false,false,土合章太,右,渡辺健太郎,右,ストレート,,12,1,空振,false,,,,,0,0,,
5,表,1,2,2,false,false,false,土合章太,右,渡辺健太郎,右,スライダー,,14,1,ボール,false,,,,,0,0,,
5,表,2,2,2,false,false,false,土合章太,右,渡辺健太郎,右,カット,,9,1,空振,false,空三振,,,,1,0,,
5,裏,0,0,0,false,false,false,濵名壱晴,右,武元翔吾,右,ストレート,,7,2,見送,false,,,,,0,0,,
5,裏,0,1,0,false,false,false,濵名壱晴,右,武元翔吾,右,スライダー,,14,1,ボール,false,,,,,0,0,,
5,裏,1,1,0,false,false,false,濵名壱晴,右,武元翔吾,右,スライダー,,14,1,ボール,false,,,,,0,0,,
5,裏,2,1,0,false,false,false,濵名壱晴,右,武元翔吾,右,ストレート,,14,1,ボール,false,,,,,0,0,,
5,裏,3,1,0,false,false,false,濵名壱晴,右,武元翔吾,右,ストレート,,2,1,空振,false,,,,,0,0,,
5,裏,3,2,0,false,false,false,濵名壱晴,右,武元翔吾,右,ストレート,,2,1,インプレー,false,,単打,フライ,中,0,0,,O7
5,裏,0,0,0,true,false,false,濵名壱晴,右,河村利毅,左,ストレート,,12,3,ボール,false,,,,,0,0,,
5,裏,1,0,0,true,false,false,濵名壱晴,右,河村利毅,左,ストレート,,1,3,インプレー,false,,単打,ライナー,右,0,0,,T6
5,裏,0,0,0,true,true,false,濵名壱晴,右,山川宗慶,右,ストレート,,6,1,インプレー,false,,犠打,ゴロ,投,1,0,,
5,裏,0,0,1,true,true,false,濵名壱晴,右,伊藤風嘉,右,スライダー,,13,1,空振,false,,,,,0,0,,
5,裏,0,1,1,true,true,false,濵名壱晴,右,伊藤風嘉,右,ストレート,,13,3,ボール,false,,,,,0,0,,
5,裏,1,1,1,true,true,false,濵名壱晴,右,伊藤風嘉,右,スライダー,,4,1,インプレー,false,,凡打,フライ,捕,1,0,,
5,裏,0,0,2,true,true,false,濵名壱晴,右,池邉　翔,右,ストレート,,13,3,ボール,false,,,,,0,0,,
5,裏,1,0,2,true,true,false,濵名壱晴,右,池邉　翔,右,スライダー,,13,1,ボール,false,,,,,0,0,,
5,裏,2,0,2,true,true,false,濵名壱晴,右,池邉　翔,右,スライダー,,5,1,インプレー,false,,凡打,フライ,中,1,0,,Q7
6,表,0,0,0,false,false,false,土合章太,右,山本優人,右,ストレート,,4,1,見送,false,,,,,0,0,,
6,表,0,1,0,false,false,false,土合章太,右,山本優人,右,スライダー,,11,2,ボール,false,,,,,0,0,,
6,表,1,1,0,false,false,false,土合章太,右,山本優人,右,ストレート,,14,1,ボール,false,,,,,0,0,,
6,表,2,1,0,false,false,false,土合章太,右,山本優人,右,ストレート,,5,2,インプレー,false,,二塁打,フライ,中,0,0,,L7
