Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
1,表,0,0,0,false,false,false,大槇優斗,右,中野佑哉,右,ストレート,,11,3,ボール,false,,,,,0,0,,
1,表,1,0,0,false,false,false,大槇優斗,右,中野佑哉,右,ストレート,,8,3,インプレー,false,,凡打,ゴロ,三,1,0,,E2
1,表,0,0,1,false,false,false,大槇優斗,右,原口晋作,右,ストレート,,2,1,ファール,false,,,,,0,0,,
1,表,0,1,1,false,false,false,大槇優斗,右,原口晋作,右,カット,,2,1,見送,false,,,,,0,0,,
1,表,0,2,1,false,false,false,大槇優斗,右,原口晋作,右,ストレート,,8,1,空振,false,空三振,,,,1,0,,
1,表,0,0,2,false,false,false,大槇優斗,右,渡辺雄介,左,ストレート,,4,3,見送,false,,,,,0,0,,
1,表,0,1,2,false,false,false,大槇優斗,右,渡辺雄介,左,ストレート,,7,3,ファール,false,,,,,0,0,,
1,表,0,2,2,false,false,false,大槇優斗,右,渡辺雄介,左,ストレート,,13,3,ボール,false,,,,,0,0,,
1,表,1,2,2,false,false,false,大槇優斗,右,渡辺雄介,左,ストレート,,4,3,ファール,false,,,,,0,0,,
1,表,1,2,2,false,false,false,大槇優斗,右,渡辺雄介,左,ストレート,,11,2,ボール,false,,,,,0,0,,
1,表,2,2,2,false,false,false,大槇優斗,右,渡辺雄介,左,ストレート,,1,1,ファール,false,,,,,0,0,,
1,表,0,0,2,false,false,false,大槇優斗,右,渡辺雄介,左,ストレート,,11,1,インプレー,false,,凡打,フライ,遊,1,0,,F3
1,裏,0,0,0,false,false,false,荒井京介,右,南　早羽己,左,スライダー,,11,3,ボール,false,,,,,0,0,,
1,裏,1,0,0,false,false,false,荒井京介,右,南　早羽己,左,ストレート,,4,3,ファール,false,,,,,0,0,,
1,裏,1,1,0,false,false,false,荒井京介,右,南　早羽己,左,ストレート,,4,3,ファール,false,,,,,0,0,,
1,裏,1,2,0,false,false,false,荒井京介,右,南　早羽己,左,ストレート,,11,1,ボール,false,,,,,0,0,,
1,裏,2,2,0,false,false,false,荒井京介,右,南　早羽己,左,ストレート,,1,3,ファール,false,,,,,0,0,,
1,裏,2,2,0,false,false,false,荒井京介,右,南　早羽己,左,スライダー,,11,3,ボール,false,,,,,0,0,,
1,裏,3,2,0,false,false,false,荒井京介,右,南　早羽己,左,ストレート,,5,3,インプレー,false,,単打,ゴロ,一,0,0,,U2
1,裏,0,0,0,true,false,false,荒井京介,右,木越達也,右,,,0,0,牽制,false,,,,,0,0,,
1,裏,0,0,0,true,false,false,荒井京介,右,木越達也,右,ストレート,,4,1,見送,false,,,,,0,0,,
1,裏,0,1,0,true,false,false,荒井京介,右,木越達也,右,,,0,1,牽制,false,,,,,0,0,,
1,裏,0,1,0,true,false,false,荒井京介,右,木越達也,右,ストレート,,8,1,インプレー,false,,犠打,ゴロ,投,1,0,,
1,裏,0,0,1,false,true,false,荒井京介,右,新田恭也,左,ストレート,,13,3,ボール,false,,,,,0,0,,
1,裏,1,0,1,false,true,false,荒井京介,右,新田恭也,左,ストレート,,11,3,ボール,false,,,,,0,0,,
1,裏,2,0,1,false,true,false,荒井京介,右,新田恭也,左,ストレート,,4,3,インプレー,false,,凡打,ゴロ,遊,1,0,,I3
1,裏,0,0,2,false,false,true,荒井京介,右,井上幹太,左,ストレート,,7,3,見送,false,,,,,0,0,,
1,裏,0,1,2,false,false,true,荒井京介,右,井上幹太,左,ストレート,,13,3,ボール,false,,,,,0,0,,
1,裏,1,1,2,false,false,true,荒井京介,右,井上幹太,左,ストレート,,11,3,ボール,false,,,,,0,0,,
