Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
1,表,0,0,0,false,false,false,小野颯太,右,伊藤航太,左,スライダー,,7,3,見送,false,,,,,0,0,,
1,表,0,1,0,false,false,false,小野颯太,右,伊藤航太,左,スライダー,,14,1,ボール,false,,,,,0,0,,
1,表,1,1,0,false,false,false,小野颯太,右,伊藤航太,左,ストレート,,4,3,インプレー,false,,凡打,ゴロ,二,1,0,,T3
1,表,0,0,1,false,false,false,小野颯太,右,山田久敬,左,スライダー,,14,1,ボール,false,,,,,0,0,,
1,表,1,0,1,false,false,false,小野颯太,右,山田久敬,左,チェンジ,,13,3,ボール,false,,,,,0,0,,
1,表,2,0,1,false,false,false,小野颯太,右,山田久敬,左,スライダー,,13,2,ボール,false,,,,,0,0,,
1,表,3,0,1,false,false,false,小野颯太,右,山田久敬,左,スライダー,,7,3,見送,false,,,,,0,0,,
1,表,3,1,1,false,false,false,小野颯太,右,山田久敬,左,ストレート,,4,3,インプレー,false,,凡打,ゴロ,一,1,0,,W2
1,表,0,0,2,false,false,false,小野颯太,右,佐藤隼太,右,スライダー,,8,1,見送,false,,,,,0,0,,
1,表,0,1,2,false,false,false,小野颯太,右,佐藤隼太,右,スライダー,,14,1,ボール,false,,,,,0,0,,
1,表,1,1,2,false,false,false,小野颯太,右,佐藤隼太,右,ストレート,,7,1,ファール,false,,,,,0,0,,
1,表,1,2,2,false,false,false,小野颯太,右,佐藤隼太,右,ストレート,,1,1,ファール,false,,,,,0,0,,
1,表,1,2,2,false,false,false,小野颯太,右,佐藤隼太,右,ストレート,,3,1,インプレー,false,,単打,ライナー,中,0,0,,O5
1,表,0,0,2,true,false,false,小野颯太,右,山本侑汰,左,ストレート,,9,1,見送,false,,,,,0,0,,
1,表,0,1,2,true,false,false,小野颯太,右,山本侑汰,左,スライダー,,11,3,ボール,false,,,,,0,0,,
1,表,1,1,2,true,false,false,小野颯太,右,山本侑汰,左,,,0,0,牽制,false,,,,,0,0,,
1,表,1,1,2,true,false,false,小野颯太,右,山本侑汰,左,スライダー,,7,1,インプレー,false,,単打,ゴロ,右,0,0,,
1,表,0,0,2,true,true,false,小野颯太,右,髙松紳志,左,スライダー,,13,1,ボール,false,,,,,0,0,,
1,表,1,0,2,true,true,false,小野颯太,右,髙松紳志,左,スライダー,,7,1,見送,false,,,,,0,0,,
1,表,1,1,2,true,true,false,小野颯太,右,髙松紳志,左,スライダー,,14,1,ボール,false,,,,,0,0,,
1,表,2,1,2,true,true,false,小野颯太,右,髙松紳志,左,スライダー,,14,1,空振,false,,,,,0,0,,
1,表,2,2,2,true,true,false,小野颯太,右,髙松紳志,左,スライダー,,5,2,インプレー,false,,凡打,ゴロ,一,1,0,,
1,裏,0,0,0,false,false,false,中田　順,右,浜野大輝,左,ストレート,,11,3,ボール,false,,,,,0,0,,
1,裏,1,0,0,false,false,false,中田　順,右,浜野大輝,左,ストレート,,5,2,インプレー,false,,単打,ライナー,中,0,0,,M3
1,裏,0,0,0,true,false,false,中田　順,右,道下柚希,左,ストレート,,7,3,見送,false,,,,,0,0,,
1,裏,0,1,0,true,false,false,中田　順,右,道下柚希,左,,,0,0,牽制,false,,,,,0,0,,
1,裏,0,1,0,true,false,false,中田　順,右,道下柚希,左,,,0,0,牽制,false,,,,,0,0,,
1,裏,0,1,0,true,false,false,中田　順,右,道下柚希,左,スライダー,,13,3,ボール,false,,,,,0,0,,盗塁成功
1,裏,1,1,0,false,true,false,中田　順,右,道下柚希,左,ストレート,,1,3,ファール,false,,,,,0,0,,
1,裏,1,2,0,false,true,false,中田　順,右,道下柚希,左,スライダー,,11,3,ボール,false,,,,,0,0,,
1,裏,2,2,0,false,true,false,中田　順,右,道下柚希,左,ストレート,,1,3,インプレー,false,,凡打,フライ,左,1,0,,F7
1,裏,0,0,1,false,true,false,中田　順,右,竹田龍汰,右,ストレート,,11,1,ボール,false,,,,,0,0,,
1,裏,1,0,1,false,true,false,中田　順,右,竹田龍汰,右,ストレート,,11,3,ボール,false,,,,,0,0,,
1,裏,2,0,1,false,true,false,中田　順,右,竹田龍汰,右,ストレート,,7,1,見送,false,,,,,0,0,,
1,裏,2,1,1,false,true,false,中田　順,右,竹田龍汰,右,スライダー,,11,1,ボール,false,,,,,0,0,,
1,裏,3,1,1,false,true,false,中田　順,右,竹田龍汰,右,ストレート,,1,1,空振,false,,,,,0,0,,
1,裏,3,2,1,false,true,false,中田　順,右,竹田龍汰,右,ストレート,,1,3,空振,false,空三振,,,,1,0,,
1,裏,0,0,2,false,true,false,中田　順,右,加納誠琉,右,ストレート,,12,1,ボール,false,,,,,0,0,,
1,裏,1,0,2,false,true,false,中田　順,右,加納誠琉,右,スライダー,,14,1,空振,false,,,,,0,0,,
1,裏,1,1,2,false,true,false,中田　順,右,加納誠琉,右,スライダー,,14,1,ボール,false,,,,,0,0,,
1,裏,2,1,2,false,true,false,中田　順,右,加納誠琉,右,ストレート,,6,1,見送,false,,,,,0,0,,
1,裏,2,2,2,false,true,false,中田　順,右,加納誠琉,右,カーブ,,3,3,インプレー,false,,本塁打,フライ,左,0,2,,G8
1,裏,0,0,2,false,false,false,中田　順,右,藤浦未来洋,右,スライダー,,7,3,見送,false,,,,,0,0,,
1,裏,0,1,2,false,false,false,中田　順,右,藤浦未来洋,右,ストレート,,11,3,ボール,false,,,,,0,0,,
1,裏,1,1,2,false,false,false,中田　順,右,藤浦未来洋,右,スライダー,,11,1,ボール,false,,,,,0,0,,
1,裏,2,1,2,false,false,false,中田　順,右,藤浦未来洋,右,ストレート,,7,3,空振,false,,,,,0,0,,
1,裏,2,2,2,false,false,false,中田　順,右,藤浦未来洋,右,スライダー,,13,3,ボール,false,,,,,0,0,,
1,裏,3,2,2,false,false,false,中田　順,右,藤浦未来洋,右,カーブ,,14,2,空振,false,空三振,,,,1,0,,
2,表,0,0,0,false,false,false,小野颯太,右,池邉由伸,左,スライダー,,13,1,ボール,false,,,,,0,0,,
2,表,1,0,0,false,false,false,小野颯太,右,池邉由伸,左,スライダー,,9,1,インプレー,false,,凡打,ゴロ,一,1,0,,V2
2,表,0,0,1,false,false,false,小野颯太,右,武元翔吾,右,ストレート,,12,1,ボール,false,,,,,0,0,,
2,表,1,0,1,false,false,false,小野颯太,右,武元翔吾,右,スライダー,,14,1,ボール,false,,,,,0,0,,
2,表,2,0,1,false,false,false,小野颯太,右,武元翔吾,右,スライダー,,14,1,ボール,false,,,,,0,0,,
2,表,3,0,1,false,false,false,小野颯太,右,武元翔吾,右,スライダー,,14,1,ボール,false,四球,,,,0,0,,
2,表,0,0,1,true,false,false,小野颯太,右,野口恭平,左,,,0,3,牽制,false,,,,,0,0,,
2,表,0,0,1,true,false,false,小野颯太,右,野口恭平,左,,,0,3,牽制,false,,,,,0,0,,
2,表,0,0,1,true,false,false,小野颯太,右,野口恭平,左,スライダー,,13,3,ボール,false,,,,,0,0,,
2,表,1,0,1,true,false,false,小野颯太,右,野口恭平,左,スライダー,,13,2,ボール,false,,,,,0,0,,
2,表,2,0,1,true,false,false,小野颯太,右,野口恭平,左,スライダー,,6,2,インプレー,false,,併殺,ゴロ,一,2,0,,W2
2,裏,0,0,0,false,false,false,中田　順,右,小山裕太郎,右,スライダー,,9,1,見送,false,,,,,0,0,,
2,裏,0,1,0,false,false,false,中田　順,右,小山裕太郎,右,チェンジ,,2,1,ファール,false,,,,,0,0,,
2,裏,0,2,0,false,false,false,中田　順,右,小山裕太郎,右,スライダー,,8,1,ファール,false,,,,,0,0,,
2,裏,0,2,0,false,false,false,中田　順,右,小山裕太郎,右,ストレート,,12,1,ボール,false,,,,,0,0,,
2,裏,1,2,0,false,false,false,中田　順,右,小山裕太郎,右,スライダー,,5,1,インプレー,false,,凡打,ゴロ,二,1,0,,S3
2,裏,0,0,1,false,false,false,中田　順,右,淀川理久,左,ストレート,,4,3,インプレー,false,,凡打,フライ,三,1,0,,J2
2,裏,0,0,2,false,false,false,中田　順,右,渡辺健太郎,右,チェンジ,,4,1,空振,false,,,,,0,0,,
2,裏,0,1,2,false,false,false,中田　順,右,渡辺健太郎,右,ストレート,,6,1,見送,false,,,,,0,0,,
2,裏,0,2,2,false,false,false,中田　順,右,渡辺健太郎,右,スライダー,,14,2,空振,false,空三振,,,,1,0,,
3,表,0,0,0,false,false,false,小野颯太,右,山川宗慶,右,カーブ,,11,1,ボール,false,,,,,0,0,,
3,表,1,0,0,false,false,false,小野颯太,右,山川宗慶,右,スライダー,,9,1,見送,false,,,,,0,0,,
3,表,1,1,0,false,false,false,小野颯太,右,山川宗慶,右,カーブ,,7,1,見送,false,,,,,0,0,,
3,表,1,2,0,false,false,false,小野颯太,右,山川宗慶,右,ストレート,,12,1,ボール,false,,,,,0,0,,
3,表,2,2,0,false,false,false,小野颯太,右,山川宗慶,右,カーブ,,3,1,ファール,false,,,,,0,0,,
3,表,2,2,0,false,false,false,小野颯太,右,山川宗慶,右,カーブ,,13,1,ボール,false,,,,,0,0,,
3,表,3,2,0,false,false,false,小野颯太,右,山川宗慶,右,カーブ,,11,1,ボール,false,四球,,,,0,0,,
3,表,0,0,0,true,false,false,小野颯太,右,伊藤航太,左,スライダー,,13,3,ボール,false,,,,,0,0,,
3,表,1,0,0,true,false,false,小野颯太,右,伊藤航太,左,,,0,3,牽制,false,,,,,0,0,,
3,表,1,0,0,true,false,false,小野颯太,右,伊藤航太,左,カーブ,,13,2,ボール,false,,,,,0,0,,
3,表,2,0,0,true,false,false,小野颯太,右,伊藤航太,左,カーブ,,11,3,ボール,false,,,,,0,0,,
3,表,3,0,0,true,false,false,小野颯太,右,伊藤航太,左,カーブ,,14,3,ボール,false,四球,,,,0,0,,
3,表,0,0,0,true,true,false,小野颯太,右,山田久敬,左,スライダー,,11,3,ボール,false,,,,,0,0,,
3,表,1,0,0,true,true,false,小野颯太,右,山田久敬,左,スライダー,,4,3,インプレー,false,,犠打,ゴロ,投,1,0,,
3,表,0,0,1,false,true,true,小野颯太,右,佐藤隼太,右,スライダー,,7,1,見送,false,,,,,0,0,,
3,表,0,1,1,false,true,true,小野颯太,右,佐藤隼太,右,スライダー,,14,1,ボール,false,,,,,0,0,,
3,表,1,1,1,false,true,true,小野颯太,右,佐藤隼太,右,スライダー,,9,1,インプレー,false,,凡打,ゴロ,三,1,0,,C2
3,表,0,0,2,true,false,true,小野颯太,右,山本侑汰,左,スライダー,,13,3,ボール,false,,,,,0,0,,
3,表,1,0,2,true,false,true,小野颯太,右,山本侑汰,左,スライダー,,11,2,ボール,false,,,,,0,0,,
3,表,2,0,2,true,false,true,小野颯太,右,山本侑汰,左,スライダー,,7,3,見送,false,,,,,0,0,,
3,表,2,1,2,true,false,true,小野颯太,右,山本侑汰,左,,,0,0,牽制,false,,,,,0,0,,
3,表,2,1,2,true,false,true,小野颯太,右,山本侑汰,左,カーブ,,13,3,ボール,false,,,,,0,0,,
3,表,3,1,2,true,false,true,小野颯太,右,山本侑汰,左,スライダー,,6,2,ファール,false,,,,,0,0,,
3,表,3,2,2,true,false,true,小野颯太,右,山本侑汰,左,,,0,2,牽制,false,,,,,0,0,,
3,表,3,2,2,true,false,true,小野颯太,右,山本侑汰,左,カーブ,,11,2,ボール,false,四球,,,,0,0,,
3,表,0,0,2,true,true,true,小野颯太,右,髙松紳志,左,カーブ,,8,2,見送,false,,,,,0,0,,
3,表,0,1,2,true,true,true,小野颯太,右,髙松紳志,左,スライダー,,11,2,ボール,false,,,,,0,0,,
3,表,1,1,2,true,true,true,小野颯太,右,髙松紳志,左,カーブ,,4,2,インプレー,false,,単打,ゴロ,中,1,2,,走塁死　P3
3,裏,0,0,0,false,false,false,中田　順,右,山本優人,右,ストレート,,1,1,見送,false,,,,,0,0,,
