Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
1,表,0,0,0,false,false,false,古舘大空,右,南　早羽己,左,チェンジ,,13,3,ボール,false,,,,,0,0,,
1,表,1,0,0,false,false,false,古舘大空,右,南　早羽己,左,カーブ,,14,1,死球,false,,,,,0,0,,
1,表,0,0,0,true,false,false,古舘大空,右,木越達也,右,ストレート,,14,1,ボール,false,,,,,0,0,,
1,表,1,0,0,true,false,false,古舘大空,右,木越達也,右,ストレート,,12,1,ボール,false,,,,,0,0,,
1,表,2,0,0,true,false,false,古舘大空,右,木越達也,右,ストレート,,8,2,見送,false,,,,,0,0,,
1,表,2,1,0,true,false,false,古舘大空,右,木越達也,右,カーブ,,11,2,ボール,false,,,,,0,0,,
1,表,3,1,0,true,false,false,古舘大空,右,木越達也,右,スライダー,,6,2,見送,false,,,,,0,0,,盗塁成功
1,表,3,2,0,false,true,false,古舘大空,右,木越達也,右,ストレート,,4,2,ファール,false,,,,,0,0,,
1,表,3,2,0,false,true,false,古舘大空,右,木越達也,右,ストレート,,4,2,ファール,false,,,,,0,0,,
1,表,3,2,0,false,true,false,古舘大空,右,木越達也,右,ストレート,,12,2,ボール,false,四球,,,,0,0,,
1,表,0,0,0,true,true,false,古舘大空,右,新田恭也,左,ストレート,,7,3,インプレー,false,,犠打,ゴロ,投,1,0,,
1,表,0,0,1,false,true,true,古舘大空,右,井上幹太,左,スライダー,,9,1,見送,false,,,,,0,0,,
1,表,0,1,1,false,true,true,古舘大空,右,井上幹太,左,ストレート,,1,1,見送,false,,,,,0,0,,
1,表,0,2,1,false,true,true,古舘大空,右,井上幹太,左,スライダー,,11,3,ボール,false,,,,,0,0,,
1,表,1,2,1,false,true,true,古舘大空,右,井上幹太,左,ストレート,,14,1,ボール,false,,,,,0,0,,
1,表,2,2,1,false,true,true,古舘大空,右,井上幹太,左,スライダー,,12,1,ボール,false,,,,,0,0,,
1,表,3,2,1,false,true,true,古舘大空,右,井上幹太,左,ストレート,,6,1,ファール,false,,,,,0,0,,
1,表,3,2,1,false,true,true,古舘大空,右,井上幹太,左,ストレート,,1,1,ファール,false,,,,,0,0,,
1,表,3,2,1,false,true,true,古舘大空,右,井上幹太,左,ストレート,,5,3,ファール,false,,,,,0,0,,
1,表,3,2,1,false,true,true,古舘大空,右,井上幹太,左,スライダー,,11,1,ボール,false,四球,,,,0,0,,
1,表,0,0,1,true,true,true,古舘大空,右,川合錬磨,右,ストレート,,4,1,見送,false,,,,,0,0,,
1,表,0,1,1,true,true,true,古舘大空,右,川合錬磨,右,ストレート,,2,1,見送,false,,,,,0,0,,
1,表,0,2,1,true,true,true,古舘大空,右,川合錬磨,右,スライダー,,14,1,ボール,false,,,,,0,0,,
