Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
1,表,0,0,0,false,false,false,藤井大智,右,辻坂光聖,左,スライダー,,8,3,見送,false,,,,,0,0,,
1,表,0,1,0,false,false,false,藤井大智,右,辻坂光聖,左,ストレート,,11,3,ボール,false,,,,,0,0,,
1,表,1,1,0,false,false,false,藤井大智,右,辻坂光聖,左,ストレート,,11,1,ボール,false,,,,,0,0,,
1,表,2,1,0,false,false,false,藤井大智,右,辻坂光聖,左,スライダー,,11,1,ボール,false,,,,,0,0,,
1,表,3,1,0,false,false,false,藤井大智,右,辻坂光聖,左,ストレート,,5,1,見送,false,,,,,0,0,,
1,表,3,2,0,false,false,false,藤井大智,右,辻坂光聖,左,ストレート,,11,1,空振,false,空三振,,,,1,0,,
1,表,0,0,1,false,false,false,藤井大智,右,前谷内琉斗,左,ストレート,,2,1,ファール,false,,,,,0,0,,
1,表,0,1,1,false,false,false,藤井大智,右,前谷内琉斗,左,スライダー,,8,1,見送,false,,,,,0,0,,
1,表,0,2,1,false,false,false,藤井大智,右,前谷内琉斗,左,カーブ,,7,1,インプレー,false,,凡打,ゴロ,二,1,0,,T3
1,表,0,0,2,false,false,false,藤井大智,右,中野心惇,右,カーブ,,11,1,ボール,false,,,,,0,0,,
1,表,1,0,2,false,false,false,藤井大智,右,中野心惇,右,ストレート,,14,1,ボール,false,,,,,0,0,,
1,表,2,0,2,false,false,false,藤井大智,右,中野心惇,右,スライダー,,12,1,ボール,false,,,,,0,0,,
1,表,3,0,2,false,false,false,藤井大智,右,中野心惇,右,ストレート,,1,2,見送,false,,,,,0,0,,
1,表,3,1,2,false,false,false,藤井大智,右,中野心惇,右,ストレート,,8,2,空振,false,,,,,0,0,,
1,表,3,2,2,false,false,false,藤井大智,右,中野心惇,右,ストレート,,0,1,空振,false,空三振,,,,1,0,,
1,裏,0,0,0,false,false,false,野﨑勇一郎,右,脇坂颯来,左,,,0,0,見送,false,,,,,0,0,,
1,裏,0,1,0,false,false,false,野﨑勇一郎,右,脇坂颯来,左,,,0,0,ボール,false,,,,,0,0,,
1,裏,1,1,0,false,false,false,野﨑勇一郎,右,脇坂颯来,左,,,0,0,インプレー,false,,凡打,ゴロ,二,1,0,,U3
1,裏,0,0,1,false,false,false,野﨑勇一郎,右,菊岡愛輝,左,ストレート,,7,3,見送,false,,,,,0,0,,
1,裏,0,1,1,false,false,false,野﨑勇一郎,右,菊岡愛輝,左,ストレート,,5,1,インプレー,false,,凡打,フライ,右,1,0,,W7
1,裏,0,0,2,false,false,false,野﨑勇一郎,右,藤田海輝,右,ストレート,,11,1,死球,false,,,,,0,0,,
1,裏,0,0,2,true,false,false,野﨑勇一郎,右,久保田大成,右,ストレート,,2,1,見送,false,,,,,0,0,,
1,裏,0,1,2,true,false,false,野﨑勇一郎,右,久保田大成,右,カット,,12,1,インプレー,false,,凡打,フライ,中,1,0,,P5
2,表,0,0,0,false,false,false,藤井大智,右,津澤泰成,左,スライダー,,11,1,ボール,false,,,,,0,0,,
2,表,1,0,0,false,false,false,藤井大智,右,津澤泰成,左,ストレート,,3,1,ファール,false,,,,,0,0,,
2,表,1,1,0,false,false,false,藤井大智,右,津澤泰成,左,ストレート,,11,3,ボール,false,,,,,0,0,,
2,表,2,1,0,false,false,false,藤井大智,右,津澤泰成,左,ストレート,,11,1,ボール,false,,,,,0,0,,
2,表,3,1,0,false,false,false,藤井大智,右,津澤泰成,左,ストレート,,2,1,インプレー,false,,凡打,フライ,一,1,0,,W3
2,表,0,0,1,false,false,false,藤井大智,右,山田遥斗,右,ストレート,,11,1,ボール,false,,,,,0,0,,
2,表,1,0,1,false,false,false,藤井大智,右,山田遥斗,右,ストレート,,6,1,インプレー,false,,凡打,フライ,右,1,0,,V6
2,表,0,0,2,false,false,false,藤井大智,右,細川太志,左,ストレート,,13,3,ボール,false,,,,,0,0,,
2,表,1,0,2,false,false,false,藤井大智,右,細川太志,左,ストレート,,8,1,見送,false,,,,,0,0,,
2,表,1,1,2,false,false,false,藤井大智,右,細川太志,左,ストレート,,14,1,ボール,false,,,,,0,0,,
2,表,2,1,2,false,false,false,藤井大智,右,細川太志,左,スライダー,,7,1,見送,false,,,,,0,0,,
2,表,2,2,2,false,false,false,藤井大智,右,細川太志,左,カーブ,,13,1,空振,false,空三振,,,,1,0,,
2,裏,0,0,0,false,false,false,野﨑勇一郎,右,植松健太,左,チェンジ,,9,3,見送,false,,,,,0,0,,
2,裏,0,1,0,false,false,false,野﨑勇一郎,右,植松健太,左,スライダー,,11,3,ボール,false,,,,,0,0,,
2,裏,1,1,0,false,false,false,野﨑勇一郎,右,植松健太,左,チェンジ,,14,3,空振,false,,,,,0,0,,
