Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
1,裏,0,0,0,false,false,false,小平　祥,右,大西良来,右,チェンジ,,13,1,ボール,false,,,,,0,0,,
1,裏,1,0,0,false,false,false,小平　祥,右,大西良来,右,ストレート,,1,1,見送,false,,,,,0,0,,
1,裏,1,1,0,false,false,false,小平　祥,右,大西良来,右,ストレート,,11,1,ボール,false,,,,,0,0,,
1,裏,2,1,0,false,false,false,小平　祥,右,大西良来,右,ストレート,,12,1,ボール,false,,,,,0,0,,
1,裏,3,1,0,false,false,false,小平　祥,右,大西良来,右,ストレート,,1,2,見送,false,,,,,0,0,,
1,裏,3,2,0,false,false,false,小平　祥,右,大西良来,右,ストレート,,12,0,ボール,false,四球,,,,0,0,,
1,裏,0,0,0,false,false,false,小平　祥,右,河村利毅,左,ストレート,,4,0,見送,false,,,,,0,0,,
1,裏,0,1,0,false,false,false,小平　祥,右,河村利毅,左,チェンジ,,13,3,ボール,false,,,,,0,0,,
1,裏,1,1,0,true,false,false,小平　祥,右,河村利毅,左,ストレート,,1,3,凡打,false,,凡打,ゴロ,一,1,0,,W2
1,裏,0,0,1,false,true,false,小平　祥,右,佐藤隼太,右,スライダー,,14,1,ボール,false,,,,,0,0,,
1,裏,1,0,1,false,true,false,小平　祥,右,佐藤隼太,右,スライダー,,13,1,ボール,false,,,,,0,0,,
1,裏,2,0,1,false,true,false,小平　祥,右,佐藤隼太,右,ストレート,,6,1,見送,false,,,,,0,0,,
1,裏,2,1,1,false,true,false,小平　祥,右,佐藤隼太,右,ストレート,,4,1,空振,false,,,,,0,0,,
1,裏,2,2,1,false,true,false,小平　祥,右,佐藤隼太,右,チェンジ,,14,1,ボール,false,,,,,0,0,,
1,裏,3,2,1,false,true,false,小平　祥,右,佐藤隼太,右,ストレート,,12,1,ボール,false,四球,,,,0,0,,
1,裏,0,0,1,true,true,false,小平　祥,右,山本侑汰,左,ストレート,,5,3,見送,false,,,,,0,0,,
1,裏,0,1,1,true,true,false,小平　祥,右,山本侑汰,左,スライダー,,11,3,ボール,false,,,,,0,0,,
1,裏,1,1,1,true,true,false,小平　祥,右,山本侑汰,左,ストレート,,12,3,ボール,false,,,,,0,0,,
1,裏,2,1,1,true,true,false,小平　祥,右,山本侑汰,左,ストレート,,4,3,ファール,false,,,,,0,0,,
1,裏,2,2,1,true,true,false,小平　祥,右,山本侑汰,左,チェンジ,,3,3,インプレー,false,,凡打,フライ,右,1,0,,W7
1,裏,0,0,2,true,false,true,小平　祥,右,髙松紳志,左,ストレート,,11,3,ボール,false,,,,,0,0,,
1,裏,1,0,2,true,false,true,小平　祥,右,髙松紳志,左,,,0,3,牽制,false,,,,,0,0,,
1,裏,1,0,2,true,false,true,小平　祥,右,髙松紳志,左,チェンジ,,11,3,ボール,false,,,,,0,0,,
1,裏,2,0,2,true,false,true,小平　祥,右,髙松紳志,左,ストレート,,2,3,インプレー,false,,単打,ゴロ,右,0,1,,U3
1,裏,0,0,2,true,true,false,小平　祥,右,岩見　柊,右,チェンジ,,11,1,ボール,false,,,,,0,0,,
1,裏,1,0,2,true,true,false,小平　祥,右,岩見　柊,右,チェンジ,,11,1,ボール,false,,,,,0,0,,
1,裏,2,0,2,true,true,false,小平　祥,右,岩見　柊,右,ストレート,,6,1,見送,false,,,,,0,0,,
1,裏,2,1,2,true,true,false,小平　祥,右,岩見　柊,右,ストレート,,2,1,インプレー,false,,失策,ゴロ,三,0,0,,C3
1,裏,0,0,2,true,true,true,小平　祥,右,武元翔吾,右,スライダー,,13,1,ボール,false,,,,,0,0,,
1,裏,1,0,2,true,true,true,小平　祥,右,武元翔吾,右,スライダー,,6,1,インプレー,false,,単打,ゴロ,左,0,2,,F3
