Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
1,表,0,0,0,false,false,false,藤井大智,右,南　早羽己,左,チェンジ,,14,1,ボール,false,,,,,0,0,,
1,表,1,0,0,false,false,false,藤井大智,右,南　早羽己,左,ストレート,,9,3,見送,false,,,,,0,0,,
1,表,1,1,0,false,false,false,藤井大智,右,南　早羽己,左,スライダー,,6,3,インプレー,false,,凡打,フライ,三,1,0,,
1,表,0,0,1,false,false,false,藤井大智,右,新田恭也,左,ストレート,,12,2,ボール,false,,,,,0,0,,
1,表,1,0,1,false,false,false,藤井大智,右,新田恭也,左,スライダー,,14,1,ボール,false,,,,,0,0,,
1,表,2,0,1,false,false,false,藤井大智,右,新田恭也,左,ストレート,,8,3,見送,false,,,,,0,0,,
1,表,2,1,1,false,false,false,藤井大智,右,新田恭也,左,ストレート,,7,3,ファール,false,,,,,0,0,,
1,表,2,2,1,false,false,false,藤井大智,右,新田恭也,左,チェンジ,,14,2,ボール,false,,,,,0,0,,
1,表,3,2,1,false,false,false,藤井大智,右,新田恭也,左,スライダー,,11,1,ファール,false,,,,,0,0,,
1,表,3,2,1,false,false,false,藤井大智,右,新田恭也,左,ストレート,,11,3,ボール,false,四球,,,,0,0,,
1,表,0,0,1,true,false,false,藤井大智,右,原　健心,左,スライダー,,4,1,見送,false,,,,,0,0,,盗塁成功
1,表,0,1,1,false,true,false,藤井大智,右,原　健心,左,チェンジ,,11,1,ボール,false,,,,,0,0,,
1,表,1,1,1,false,true,false,藤井大智,右,原　健心,左,ストレート,,3,3,インプレー,false,,凡打,フライ,左,1,0,,I5
1,表,0,0,2,false,true,false,藤井大智,右,井上幹太,左,スライダー,,14,1,ボール,false,,,,,0,0,,
1,表,1,0,2,false,true,false,藤井大智,右,井上幹太,左,スライダー,,9,1,見送,false,,,,,0,0,,
1,表,1,1,2,false,true,false,藤井大智,右,井上幹太,左,ストレート,,11,3,ボール,false,,,,,0,0,,
1,表,2,1,2,false,true,false,藤井大智,右,井上幹太,左,スライダー,,14,1,ボール,false,,,,,0,0,,
1,表,3,1,2,false,true,false,藤井大智,右,井上幹太,左,ストレート,,9,1,見送,false,,,,,0,0,,
1,表,3,2,2,false,true,false,藤井大智,右,井上幹太,左,チェンジ,,5,1,ファール,false,,,,,0,0,,
1,表,3,2,2,false,true,false,藤井大智,右,井上幹太,左,ストレート,,12,1,ボール,false,四球,,,,0,0,,
1,表,0,0,2,true,true,false,藤井大智,右,吉田陸人,左,チェンジ,,14,1,ボール,false,,,,,0,0,,
1,表,1,0,2,true,true,false,藤井大智,右,吉田陸人,左,チェンジ,,3,1,見送,false,,,,,0,0,,
1,表,1,1,2,true,true,false,藤井大智,右,吉田陸人,左,ストレート,,13,3,ボール,false,,,,,0,0,,
1,表,2,1,2,true,true,false,藤井大智,右,吉田陸人,左,ストレート,,1,1,インプレー,false,,三塁打,フライ,中,0,2,,P7
1,表,0,0,2,true,true,false,藤井大智,右,川合錬磨,右,スライダー,,14,1,ボール,false,,,,,0,0,,
1,表,1,0,2,true,true,false,藤井大智,右,川合錬磨,右,スライダー,,14,1,ボール,false,,,,,0,0,,
1,表,2,0,2,true,true,false,藤井大智,右,川合錬磨,右,ストレート,,8,1,見送,false,,,,,0,0,,
1,表,2,1,2,true,true,false,藤井大智,右,川合錬磨,右,ストレート,,5,1,インプレー,false,,凡打,フライ,中,1,0,,T6
1,裏,0,0,0,false,false,false,大槇優斗,右,脇坂颯来,左,ストレート,,1,3,ファール,false,,,,,0,0,,
1,裏,0,1,0,false,false,false,大槇優斗,右,脇坂颯来,左,シュート,,13,3,ボール,false,,,,,0,0,,
1,裏,1,1,0,false,false,false,大槇優斗,右,脇坂颯来,左,スライダー,,14,2,空振,false,,,,,0,0,,
1,裏,1,2,0,false,false,false,大槇優斗,右,脇坂颯来,左,ストレート,,2,1,インプレー,false,,単打,ライナー,左,0,0,,E2
1,裏,0,0,0,true,false,false,大槇優斗,右,澤田虹希,左,,,0,1,牽制,false,,,,,0,0,,
1,裏,0,0,0,true,false,false,大槇優斗,右,澤田虹希,左,ストレート,,4,3,見送,false,,,,,0,0,,
1,裏,0,1,0,true,false,false,大槇優斗,右,澤田虹希,左,ストレート,,11,3,ボール,false,,,,,0,0,,
1,裏,1,1,0,true,false,false,大槇優斗,右,澤田虹希,左,,,0,0,牽制,false,,,,,0,0,,
1,裏,1,1,0,true,false,false,大槇優斗,右,澤田虹希,左,ストレート,,2,2,インプレー,false,,凡打,フライ,遊,1,0,,H4
1,裏,0,0,1,true,false,false,大槇優斗,右,藤田海輝,右,ストレート,,13,1,ボール,false,,,,,0,0,,
1,裏,1,0,1,true,false,false,大槇優斗,右,藤田海輝,右,,,0,1,牽制,false,,,,,0,0,,
1,裏,1,0,1,true,false,false,大槇優斗,右,藤田海輝,右,ストレート,,4,1,ファール,false,,,,,0,0,,
1,裏,1,1,1,true,false,false,大槇優斗,右,藤田海輝,右,,,0,1,牽制,false,,,,,0,0,,
1,裏,1,1,1,true,false,false,大槇優斗,右,藤田海輝,右,スライダー,,8,1,ファール,false,,,,,0,0,,
1,裏,1,2,1,true,false,false,大槇優斗,右,藤田海輝,右,スライダー,,14,1,ボール,false,,,,,0,0,,
1,裏,2,2,1,true,false,false,大槇優斗,右,藤田海輝,右,,,0,1,牽制,false,,,,,0,0,,
1,裏,2,2,1,true,false,false,大槇優斗,右,藤田海輝,右,ストレート,,4,1,インプレー,false,,凡打,フライ,一,1,0,,
1,裏,0,0,2,true,false,false,大槇優斗,右,久保田大成,右,ストレート,,5,1,インプレー,false,,凡打,フライ,遊,1,0,,F4
2,表,0,0,0,false,false,false,藤井大智,右,山川悟輝,左,スライダー,,9,1,見送,false,,,,,0,0,,
2,表,0,1,0,false,false,false,藤井大智,右,山川悟輝,左,スライダー,,11,2,ボール,false,,,,,0,0,,
2,表,1,1,0,false,false,false,藤井大智,右,山川悟輝,左,スライダー,,14,3,ファール,false,,,,,0,0,,
2,表,1,2,0,false,false,false,藤井大智,右,山川悟輝,左,チェンジ,,8,1,ファール,false,,,,,0,0,,
2,表,1,2,0,false,false,false,藤井大智,右,山川悟輝,左,ストレート,,2,3,ファール,false,,,,,0,0,,
2,表,1,2,0,false,false,false,藤井大智,右,山川悟輝,左,ストレート,,1,2,インプレー,false,,凡打,ゴロ,遊,1,0,,K3
2,表,0,0,1,false,false,false,藤井大智,右,木越達也,右,スライダー,,14,1,空振,false,,,,,0,0,,
2,表,0,1,1,false,false,false,藤井大智,右,木越達也,右,チェンジ,,14,1,ボール,false,,,,,0,0,,
2,表,1,1,1,false,false,false,藤井大智,右,木越達也,右,チェンジ,,14,1,空振,false,,,,,0,0,,
2,表,1,2,1,false,false,false,藤井大智,右,木越達也,右,ストレート,,14,1,ボール,false,,,,,0,0,,
2,表,2,2,1,false,false,false,藤井大智,右,木越達也,右,スライダー,,14,1,ファール,false,,,,,0,0,,
2,表,2,2,1,false,false,false,藤井大智,右,木越達也,右,スライダー,,12,1,ファール,false,,,,,0,0,,
2,表,2,2,1,false,false,false,藤井大智,右,木越達也,右,チェンジ,,12,1,ボール,false,,,,,0,0,,
2,表,3,2,1,false,false,false,藤井大智,右,木越達也,右,ストレート,,2,1,ファール,false,,,,,0,0,,
