Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
1,表,0,0,0,false,false,false,近藤春希,左,脇坂颯来,左,,,0,0,インプレー,true,,凡打,ゴロ,遊,1,0,,K3
1,表,0,0,1,false,false,false,近藤春希,左,中村康太,右,ストレート,,7,3,見送,false,,,,,0,0,,
1,表,0,1,1,false,false,false,近藤春希,左,中村康太,右,ストレート,,13,3,ボール,false,,,,,0,0,,
1,表,1,1,1,false,false,false,近藤春希,左,中村康太,右,チェンジ,,1,1,インプレー,false,,凡打,ライナー,三,1,0,,D3
1,表,1,1,1,false,false,false,近藤春希,左,中村康太,右,チェンジ,,1,1,インプレー,false,,凡打,ライナー,三,1,0,,D3
1,表,0,0,2,false,false,false,近藤春希,左,藤田海輝,右,スライダー,,13,1,ボール,false,,,,,0,0,,
1,表,1,0,2,false,false,false,近藤春希,左,藤田海輝,右,スライダー,,8,3,空振,false,,,,,0,0,,
1,表,1,1,2,false,false,false,近藤春希,左,藤田海輝,右,ストレート,,9,1,見送,false,,,,,0,0,,
1,表,1,2,2,false,false,false,近藤春希,左,藤田海輝,右,チェンジ,,14,1,空振,false,空三振,,,,1,0,,
1,裏,0,0,0,false,false,false,小橋拓己,右,南　早羽己,左,,,4,2,ファール,false,,,,,0,0,,
1,裏,0,1,0,false,false,false,小橋拓己,右,南　早羽己,左,ストレート,,1,3,ファール,false,,,,,0,0,,
1,裏,0,2,0,false,false,false,小橋拓己,右,南　早羽己,左,ストレート,,11,3,ファール,false,,,,,0,0,,
1,裏,0,2,0,false,false,false,小橋拓己,右,南　早羽己,左,スライダー,,4,1,インプレー,false,,凡打,フライ,遊,1,0,,I4
1,裏,0,0,1,false,false,false,小橋拓己,右,新田恭也,左,ストレート,,11,3,ボール,false,,,,,0,0,,
1,裏,1,0,1,false,false,false,小橋拓己,右,新田恭也,左,ストレート,,1,3,ファール,false,,,,,0,0,,
1,裏,1,1,1,false,false,false,小橋拓己,右,新田恭也,左,カット,,4,1,インプレー,false,,凡打,フライ,左,1,0,,H6
1,裏,0,0,2,false,false,false,小橋拓己,右,原　健心,左,スライダー,,5,1,見送,false,,,,,0,0,,
1,裏,0,1,2,false,false,false,小橋拓己,右,原　健心,左,スライダー,,11,3,ボール,false,,,,,0,0,,
1,裏,1,1,2,false,false,false,小橋拓己,右,原　健心,左,カット,,14,1,ボール,false,,,,,0,0,,
1,裏,2,1,2,false,false,false,小橋拓己,右,原　健心,左,,,1,2,インプレー,false,,単打,ゴロ,中,0,0,,N3
1,裏,0,0,2,true,false,false,小橋拓己,右,井上幹太,左,ストレート,,11,1,ボール,false,,,,,0,0,,
1,裏,1,0,2,true,false,false,小橋拓己,右,井上幹太,左,,,0,0,牽制,false,,,,,0,0,,
1,裏,1,0,2,true,false,false,小橋拓己,右,井上幹太,左,ストレート,,9,1,見送,false,,,,,0,0,,
1,裏,1,1,2,true,false,false,小橋拓己,右,井上幹太,左,,,0,0,牽制,false,,,,,0,0,,
1,裏,1,1,2,true,false,false,小橋拓己,右,井上幹太,左,カット,,14,1,ボール,false,,,,,0,0,,
1,裏,2,1,2,true,false,false,小橋拓己,右,井上幹太,左,ストレート,,7,3,インプレー,false,,凡打,ゴロ,二,1,0,,P3
2,表,0,0,0,false,false,false,近藤春希,左,久保田大成,右,ストレート,,9,1,見送,false,,,,,0,0,,
2,表,0,1,0,false,false,false,近藤春希,左,久保田大成,右,カーブ,,8,1,インプレー,false,,凡打,フライ,一,1,0,,
2,表,0,0,1,false,false,false,近藤春希,左,植松健太,左,ストレート,,4,3,見送,false,,,,,0,0,,
2,表,0,1,1,false,false,false,近藤春希,左,植松健太,左,ストレート,,11,3,ボール,false,,,,,0,0,,
2,表,1,1,1,false,false,false,近藤春希,左,植松健太,左,スライダー,,13,3,ボール,false,,,,,0,0,,
2,表,2,1,1,false,false,false,近藤春希,左,植松健太,左,ストレート,,1,2,空振,false,,,,,0,0,,
2,表,2,2,1,false,false,false,近藤春希,左,植松健太,左,ストレート,,11,3,ファール,false,,,,,0,0,,
2,表,2,2,1,false,false,false,近藤春希,左,植松健太,左,ストレート,,13,2,ボール,false,,,,,0,0,,
2,表,3,2,1,false,false,false,近藤春希,左,植松健太,左,ストレート,,13,1,インプレー,false,,凡打,ゴロ,投,1,0,,M2
2,表,0,0,2,false,false,false,近藤春希,左,櫻井伯斗,右,スライダー,,13,2,ボール,false,,,,,0,0,,
2,表,1,0,2,false,false,false,近藤春希,左,櫻井伯斗,右,スライダー,,13,2,ボール,false,,,,,0,0,,
2,表,2,0,2,false,false,false,近藤春希,左,櫻井伯斗,右,ストレート,,2,1,インプレー,false,,凡打,フライ,遊,1,0,,J2
2,裏,0,0,0,false,false,false,小橋拓己,右,吉田陸人,左,スライダー,,11,1,ボール,false,,,,,0,0,,
2,裏,1,0,0,false,false,false,小橋拓己,右,吉田陸人,左,ストレート,,5,1,見送,false,,,,,0,0,,
2,裏,1,1,0,false,false,false,小橋拓己,右,吉田陸人,左,ストレート,,5,3,インプレー,false,,凡打,フライ,中,1,0,,Q7
2,裏,0,0,1,false,false,false,小橋拓己,右,川合錬磨,右,スライダー,,9,1,見送,false,,,,,0,0,,
2,裏,0,1,1,false,false,false,小橋拓己,右,川合錬磨,右,スライダー,,8,1,見送,false,,,,,0,0,,
2,裏,0,2,1,false,false,false,小橋拓己,右,川合錬磨,右,ストレート,,2,2,インプレー,false,,凡打,ゴロ,二,1,0,,Q3
2,裏,0,0,2,false,false,false,小橋拓己,右,山川悟輝,左,カット,,9,1,見送,false,,,,,0,0,,
2,裏,0,1,2,false,false,false,小橋拓己,右,山川悟輝,左,ストレート,,11,3,ボール,false,,,,,0,0,,
2,裏,1,1,2,false,false,false,小橋拓己,右,山川悟輝,左,ストレート,,12,3,ボール,false,,,,,0,0,,
2,裏,2,1,2,false,false,false,小橋拓己,右,山川悟輝,左,チェンジ,,6,1,見送,false,,,,,0,0,,
2,裏,2,2,2,false,false,false,小橋拓己,右,山川悟輝,左,ストレート,,14,1,死球,false,,,,,0,0,,
2,裏,0,0,2,true,false,false,小橋拓己,右,土井研照,右,,,0,1,牽制,false,,,,,0,0,,
2,裏,0,0,2,true,false,false,小橋拓己,右,土井研照,右,スライダー,,11,1,ボール,false,,,,,0,0,,
2,裏,1,0,2,true,false,false,小橋拓己,右,土井研照,右,カット,,14,1,ボール,false,,,,,0,0,,
2,裏,2,0,2,true,false,false,小橋拓己,右,土井研照,右,スライダー,,6,1,見送,false,,,,,0,0,,
2,裏,2,1,2,true,false,false,小橋拓己,右,土井研照,右,チェンジ,,14,1,ボール,false,,,,,0,0,,盗塁成功
2,裏,3,1,2,false,true,false,小橋拓己,右,土井研照,右,チェンジ,,9,1,見送,false,,,,,0,0,,
2,裏,3,2,2,false,true,false,小橋拓己,右,土井研照,右,ストレート,,1,1,インプレー,false,,凡打,フライ,中,1,0,,O6
3,表,0,0,0,false,false,false,近藤春希,左,荒木陽翔,右,チェンジ,,9,1,見送,false,,,,,0,0,,
3,表,0,1,0,false,false,false,近藤春希,左,荒木陽翔,右,ストレート,,6,1,インプレー,false,,凡打,ゴロ,二,1,0,,P3
