Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
1,表,0,0,0,false,false,false,水口和優,右,浜野大輝,左,ストレート,,11,3,ボール,false,,,,,0,0,,
1,表,1,0,0,false,false,false,水口和優,右,浜野大輝,左,ストレート,,13,3,ボール,false,,,,,0,0,,
1,表,2,0,0,false,false,false,水口和優,右,浜野大輝,左,ストレート,,5,2,ファール,false,,,,,0,0,,
1,表,2,1,0,false,false,false,水口和優,右,浜野大輝,左,ストレート,,11,1,ボール,false,,,,,0,0,,
1,表,3,1,0,false,false,false,水口和優,右,浜野大輝,左,ストレート,,2,3,ファール,false,,,,,0,0,,
1,表,3,2,0,false,false,false,水口和優,右,浜野大輝,左,ストレート,,4,2,インプレー,false,,三塁打,ライナー,右,0,0,,W4
1,表,0,0,0,false,false,true,水口和優,右,道下柚希,左,ストレート,,13,3,ボール,false,,,,,0,0,,
1,表,1,0,0,false,false,true,水口和優,右,道下柚希,左,スライダー,,14,2,ボール,false,,,,,0,0,,
1,表,2,0,0,false,false,true,水口和優,右,道下柚希,左,ストレート,,11,3,ファール,false,,,,,0,0,,
1,表,2,1,0,false,false,true,水口和優,右,道下柚希,左,ストレート,,14,2,ボール,false,,,,,0,0,,
1,表,3,1,0,false,false,true,水口和優,右,道下柚希,左,ストレート,,11,3,空振,false,,,,,0,0,,
1,表,3,2,0,false,false,true,水口和優,右,道下柚希,左,ストレート,,11,3,ファール,false,,,,,0,0,,
1,表,3,2,0,false,false,true,水口和優,右,道下柚希,左,ストレート,,1,1,インプレー,false,,凡打,ゴロ,一,1,0,,W2
1,表,0,0,1,true,false,false,水口和優,右,竹田龍汰,右,スライダー,,7,1,見送,false,,,,,0,0,,
1,表,0,1,1,true,false,false,水口和優,右,竹田龍汰,右,,,0,1,牽制,false,,,,,0,0,,
1,表,0,1,1,true,false,false,水口和優,右,竹田龍汰,右,ストレート,,9,1,見送,false,,,,,0,0,,
1,表,0,2,1,true,false,false,水口和優,右,竹田龍汰,右,チェンジ,,14,1,空振,false,空三振,,,,1,0,,
1,表,0,0,2,true,false,false,水口和優,右,加納誠琉,右,カット,,11,1,ボール,false,,,,,0,0,,
1,表,1,0,2,true,false,false,水口和優,右,加納誠琉,右,チェンジ,,9,1,空振,false,,,,,0,0,,
1,表,1,1,2,true,false,false,水口和優,右,加納誠琉,右,チェンジ,,6,1,インプレー,false,,二塁打,フライ,右,0,1,,
1,表,0,0,2,true,false,false,水口和優,右,藤浦未来洋,右,チェンジ,,13,3,空振,false,,,,,0,0,,
1,表,0,1,2,true,false,false,水口和優,右,藤浦未来洋,右,スライダー,,7,3,見送,false,,,,,0,0,,
1,表,0,2,2,true,false,false,水口和優,右,藤浦未来洋,右,ストレート,,14,1,ボール,false,,,,,0,0,,
1,表,0,2,2,true,false,false,水口和優,右,藤浦未来洋,右,ストレート,,14,1,ボール,false,,,,,0,0,,
1,表,1,2,2,true,false,false,水口和優,右,藤浦未来洋,右,チェンジ,,13,3,空振,false,空三振,,,,1,0,,
