Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
1,表,0,0,0,false,false,false,小野颯太,右,新田恭也,左,,,0,0,見送,false,,,,,0,0,,
1,表,0,1,0,false,false,false,小野颯太,右,新田恭也,左,ストレート,,12,1,ボール,false,,,,,0,0,,
1,表,1,1,0,false,false,false,小野颯太,右,新田恭也,左,スライダー,,9,1,見送,false,,,,,0,0,,
1,表,1,2,0,false,false,false,小野颯太,右,新田恭也,左,ストレート,,3,1,インプレー,false,,凡打,ゴロ,二,1,0,,T3
1,表,0,0,1,false,false,false,小野颯太,右,木越達也,右,スライダー,,4,1,見送,false,,,,,0,0,,
1,表,0,1,1,false,false,false,小野颯太,右,木越達也,右,スライダー,,13,1,ボール,false,,,,,0,0,,
1,表,1,1,1,false,false,false,小野颯太,右,木越達也,右,ストレート,,14,2,ボール,false,,,,,0,0,,
1,表,2,1,1,false,false,false,小野颯太,右,木越達也,右,ストレート,,11,1,ボール,false,,,,,0,0,,
1,表,3,1,1,false,false,false,小野颯太,右,木越達也,右,スライダー,,14,1,ボール,false,四球,,,,0,0,,
1,表,0,0,1,true,false,false,小野颯太,右,南　早羽己,左,,,0,3,牽制,false,,,,,0,0,,
1,表,0,0,1,true,false,false,小野颯太,右,南　早羽己,左,スライダー,,7,1,見送,false,,,,,0,0,,
1,表,0,1,1,true,false,false,小野颯太,右,南　早羽己,左,,,0,1,牽制,false,,,,,0,0,,
1,表,0,1,1,true,false,false,小野颯太,右,南　早羽己,左,ストレート,,5,1,ファール,false,,,,,0,0,,
1,表,0,2,1,true,false,false,小野颯太,右,南　早羽己,左,,,0,1,牽制,false,,,,,0,0,,
1,表,0,2,1,true,false,false,小野颯太,右,南　早羽己,左,,,0,0,牽制,false,,,,,0,0,,
1,表,0,2,1,true,false,false,小野颯太,右,南　早羽己,左,ストレート,,4,1,ファール,false,,,,,0,0,,
1,表,0,2,1,true,false,false,小野颯太,右,南　早羽己,左,スライダー,,11,1,インプレー,false,,凡打,ゴロ,三,1,0,,C2
1,表,0,0,2,false,false,true,小野颯太,右,井上幹太,左,スライダー,,6,1,見送,false,,,,,0,0,,
1,表,0,1,2,false,false,true,小野颯太,右,井上幹太,左,ストレート,,11,1,ボール,false,,,,,0,0,,
1,表,1,1,2,false,false,true,小野颯太,右,井上幹太,左,スライダー,,13,1,ボール,false,,,,,0,0,,
1,表,2,1,2,false,false,true,小野颯太,右,井上幹太,左,ストレート,,1,1,インプレー,false,,凡打,ゴロ,二,1,0,,T3
1,裏,0,0,0,false,false,false,近藤春希,左,浜野大輝,左,ストレート,,12,3,ファール,false,,,,,0,0,,
1,裏,0,1,0,false,false,false,近藤春希,左,浜野大輝,左,ストレート,,12,3,ボール,false,,,,,0,0,,
1,裏,1,1,0,false,false,false,近藤春希,左,浜野大輝,左,チェンジ,,9,0,見送,false,,,,,0,0,,
1,裏,1,2,0,false,false,false,近藤春希,左,浜野大輝,左,ストレート,,13,3,ボール,false,,,,,0,0,,
1,裏,2,2,0,false,false,false,近藤春希,左,浜野大輝,左,ストレート,,5,2,インプレー,false,,凡打,ゴロ,投,1,0,,N2
1,裏,0,0,1,false,false,false,近藤春希,左,道下柚希,左,カーブ,,2,3,インプレー,false,,凡打,フライ,中,1,0,,M5
1,裏,0,0,2,false,false,false,近藤春希,左,竹田龍汰,右,ストレート,,5,2,見送,false,,,,,0,0,,
1,裏,0,1,2,false,false,false,近藤春希,左,竹田龍汰,右,ストレート,,13,3,ボール,false,,,,,0,0,,
1,裏,1,1,2,false,false,false,近藤春希,左,竹田龍汰,右,ストレート,,12,1,ボール,false,,,,,0,0,,
1,裏,2,1,2,false,false,false,近藤春希,左,竹田龍汰,右,ストレート,,13,3,ボール,false,,,,,0,0,,
1,裏,3,1,2,false,false,false,近藤春希,左,竹田龍汰,右,ストレート,,6,1,空振,false,,,,,0,0,,
1,裏,3,2,2,false,false,false,近藤春希,左,竹田龍汰,右,ストレート,,11,2,ファール,false,,,,,0,0,,
1,裏,3,2,2,false,false,false,近藤春希,左,竹田龍汰,右,チェンジ,,13,1,ファール,false,,,,,0,0,,
1,裏,3,2,2,false,false,false,近藤春希,左,竹田龍汰,右,ストレート,,4,3,ファール,false,,,,,0,0,,
1,裏,3,2,2,false,false,false,近藤春希,左,竹田龍汰,右,ストレート,,13,1,ファール,false,,,,,0,0,,
1,裏,3,2,2,false,false,false,近藤春希,左,竹田龍汰,右,ストレート,,8,2,ファール,false,,,,,0,0,,
1,裏,3,2,2,false,false,false,近藤春希,左,竹田龍汰,右,カーブ,,13,0,ボール,false,四球,,,,0,0,,
1,裏,0,0,2,true,false,false,近藤春希,左,加納誠琉,右,ストレート,,13,1,ボール,false,,,,,0,0,,
1,裏,1,0,2,true,false,false,近藤春希,左,加納誠琉,右,スライダー,,6,3,ファール,false,,,,,0,0,,
1,裏,1,1,2,true,false,false,近藤春希,左,加納誠琉,右,ストレート,,3,3,インプレー,false,,凡打,フライ,二,1,0,,P3
2,表,0,0,0,false,false,false,小野颯太,右,吉田陸人,左,スライダー,,4,3,見送,false,,,,,0,0,,
2,表,0,1,0,false,false,false,小野颯太,右,吉田陸人,左,ストレート,,14,1,ボール,false,,,,,0,0,,
2,表,1,1,0,false,false,false,小野颯太,右,吉田陸人,左,スライダー,,9,1,見送,false,,,,,0,0,,
2,表,1,2,0,false,false,false,小野颯太,右,吉田陸人,左,スライダー,,11,1,ボール,false,,,,,0,0,,
2,表,2,2,0,false,false,false,小野颯太,右,吉田陸人,左,ストレート,,1,1,ファール,false,,,,,0,0,,
2,表,2,2,0,false,false,false,小野颯太,右,吉田陸人,左,スライダー,,13,1,ボール,false,,,,,0,0,,
2,表,3,2,0,false,false,false,小野颯太,右,吉田陸人,左,ストレート,,4,1,ファール,false,,,,,0,0,,
2,表,3,2,0,false,false,false,小野颯太,右,吉田陸人,左,スライダー,,13,1,インプレー,false,,凡打,フライ,中,1,0,,M6
2,表,0,0,1,false,false,false,小野颯太,右,川合錬磨,右,ストレート,,14,1,ボール,false,,,,,0,0,,
2,表,1,0,1,false,false,false,小野颯太,右,川合錬磨,右,ストレート,,14,1,ボール,false,,,,,0,0,,
2,表,2,0,1,false,false,false,小野颯太,右,川合錬磨,右,ストレート,,2,2,インプレー,false,,凡打,フライ,中,1,0,,K7
2,表,0,0,2,false,false,false,小野颯太,右,原　健心,左,ストレート,,5,1,見送,false,,,,,0,0,,
2,表,0,1,2,false,false,false,小野颯太,右,原　健心,左,スライダー,,11,1,ボール,false,,,,,0,0,,
2,表,1,1,2,false,false,false,小野颯太,右,原　健心,左,ストレート,,1,1,インプレー,false,,二塁打,フライ,左,0,0,,E6
2,表,0,0,2,false,true,false,小野颯太,右,内藤　颯,左,スライダー,,2,3,インプレー,false,,凡打,フライ,右,1,0,,S5
2,裏,0,0,0,false,false,false,近藤春希,左,淀川理久,左,カーブ,,1,3,インプレー,false,,単打,フライ,左,0,0,,F5
2,裏,0,0,0,true,false,false,近藤春希,左,小山裕太郎,右,,,0,1,牽制,false,,,,,0,0,,
2,裏,0,0,0,true,false,false,近藤春希,左,小山裕太郎,右,ストレート,,13,1,ボール,false,,,,,0,0,,
2,裏,1,0,0,true,false,false,近藤春希,左,小山裕太郎,右,ストレート,,11,3,ファール,false,,,,,0,0,,
2,裏,1,1,0,true,false,false,近藤春希,左,小山裕太郎,右,ストレート,,12,1,ボール,false,,,,,0,0,,
2,裏,2,1,0,true,false,false,近藤春希,左,小山裕太郎,右,,,5,1,インプレー,false,,凡打,ゴロ,遊,1,0,,J3
2,裏,0,0,1,true,false,false,近藤春希,左,藤浦未来洋,右,ストレート,,7,3,見送,false,,,,,0,0,,
2,裏,0,1,1,true,false,false,近藤春希,左,藤浦未来洋,右,,,0,0,牽制,false,,,,,0,0,,
2,裏,0,1,1,true,false,false,近藤春希,左,藤浦未来洋,右,,,4,3,ファール,false,,,,,0,0,,
2,裏,0,2,1,true,false,false,近藤春希,左,藤浦未来洋,右,ストレート,,11,3,ボール,false,,,,,0,0,,
2,裏,1,2,1,true,false,false,近藤春希,左,藤浦未来洋,右,チェンジ,,13,3,空振,false,空三振,,,,1,0,,
2,裏,0,0,2,true,false,false,近藤春希,左,渡辺健太郎,右,ストレート,,3,0,見送,false,,,,,0,0,,
2,裏,0,1,2,true,false,false,近藤春希,左,渡辺健太郎,右,チェンジ,,14,1,ボール,false,,,,,0,0,,
2,裏,1,1,2,true,false,false,近藤春希,左,渡辺健太郎,右,チェンジ,,5,1,インプレー,false,,凡打,ゴロ,三,1,0,,D2
3,表,0,0,0,false,false,false,小野颯太,右,岸田脩汰,右,スライダー,,12,1,ボール,false,,,,,0,0,,
3,表,1,0,0,false,false,false,小野颯太,右,岸田脩汰,右,スライダー,,4,1,見送,false,,,,,0,0,,
3,表,1,1,0,false,false,false,小野颯太,右,岸田脩汰,右,スライダー,,11,1,インプレー,false,,失策,ゴロ,遊,0,0,,G3
3,表,0,0,0,true,false,false,小野颯太,右,新田恭也,左,スライダー,,4,3,インプレー,false,,単打,ゴロ,三,0,0,,C2
3,表,0,0,0,true,true,false,小野颯太,右,木越達也,右,チェンジ,,13,1,ファール,false,,,,,0,0,,
3,表,0,1,0,true,true,false,小野颯太,右,木越達也,右,ストレート,,2,1,インプレー,false,,犠打,ゴロ,投,1,0,,
3,表,0,0,1,false,true,true,小野颯太,右,南　早羽己,左,スライダー,,13,3,ボール,false,,,,,0,0,,
3,表,1,0,1,false,true,true,小野颯太,右,南　早羽己,左,スライダー,,14,1,ボール,false,,,,,0,0,,
3,表,2,0,1,false,true,true,小野颯太,右,南　早羽己,左,スライダー,,7,0,インプレー,false,,凡打,ゴロ,二,1,1,,U2
3,表,0,0,2,false,false,true,小野颯太,右,井上幹太,左,チェンジ,,13,3,ボール,false,,,,,0,0,,
3,表,1,0,2,false,false,true,小野颯太,右,井上幹太,左,スライダー,,14,1,ボール,false,,,,,0,0,,
3,表,2,0,2,false,false,true,小野颯太,右,井上幹太,左,スライダー,,6,1,見送,false,,,,,0,0,,
3,表,2,1,2,false,false,true,小野颯太,右,井上幹太,左,ストレート,,3,1,インプレー,false,,単打,ライナー,右,0,1,,W4
3,表,0,0,2,true,false,false,小野颯太,右,吉田陸人,左,チェンジ,,7,1,ファール,false,,,,,0,0,,
3,表,0,1,2,true,false,false,小野颯太,右,吉田陸人,左,,,0,1,牽制,false,,,,,0,0,,
