Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
1,表,0,0,0,false,false,false,蔵口　敦,右,長谷川楓太,右,ストレート,,3,1,ファール,false,,,,,0,0,,
1,表,0,1,0,false,false,false,蔵口　敦,右,長谷川楓太,右,ストレート,,12,1,ボール,false,,,,,0,0,,
1,表,1,1,0,false,false,false,蔵口　敦,右,長谷川楓太,右,スライダー,,11,1,ボール,false,,,,,0,0,,
1,表,2,1,0,false,false,false,蔵口　敦,右,長谷川楓太,右,ストレート,,12,1,ボール,false,,,,,0,0,,
1,表,3,1,0,false,false,false,蔵口　敦,右,長谷川楓太,右,ストレート,,5,1,見送,false,,,,,0,0,,
1,表,3,2,0,false,false,false,蔵口　敦,右,長谷川楓太,右,ストレート,,1,1,見送,false,見三振,,,,1,0,,
1,表,0,0,1,false,false,false,蔵口　敦,右,原口晋作,右,チェンジ,,9,1,見送,false,,,,,0,0,,
1,表,0,1,1,false,false,false,蔵口　敦,右,原口晋作,右,スライダー,,4,1,見送,false,,,,,0,0,,
1,表,0,2,1,false,false,false,蔵口　敦,右,原口晋作,右,ストレート,,12,1,ボール,false,,,,,0,0,,
1,表,1,2,1,false,false,false,蔵口　敦,右,原口晋作,右,ストレート,,11,3,インプレー,false,,凡打,フライ,二,1,0,,O2
1,表,0,0,2,false,false,false,蔵口　敦,右,今村　耀,左,スライダー,,13,1,ボール,false,,,,,0,0,,
1,表,1,0,2,false,false,false,蔵口　敦,右,今村　耀,左,スライダー,,4,1,インプレー,false,,凡打,フライ,中,1,0,,M6
1,裏,0,0,0,false,false,false,荒井京介,右,清水快真,左,ストレート,,9,3,見送,false,,,,,0,0,,
1,裏,0,1,0,false,false,false,荒井京介,右,清水快真,左,チェンジ,,13,3,ボール,false,,,,,0,0,,
1,裏,1,1,0,false,false,false,荒井京介,右,清水快真,左,ストレート,,2,2,インプレー,false,,凡打,ゴロ,一,1,0,,W3
1,裏,0,0,1,false,false,false,荒井京介,右,前谷内琉斗,左,ストレート,,13,3,ボール,false,,,,,0,0,,
1,裏,1,0,1,false,false,false,荒井京介,右,前谷内琉斗,左,ストレート,,3,2,ボール,false,,,,,0,0,,
1,裏,2,0,1,false,false,false,荒井京介,右,前谷内琉斗,左,ストレート,,4,2,見送,false,,,,,0,0,,
1,裏,2,1,1,false,false,false,荒井京介,右,前谷内琉斗,左,ストレート,,11,2,ボール,false,,,,,0,0,,
1,裏,3,1,1,false,false,false,荒井京介,右,前谷内琉斗,左,スライダー,,1,2,見送,false,,,,,0,0,,
1,裏,3,2,1,false,false,false,荒井京介,右,前谷内琉斗,左,チェンジ,,11,2,ファール,false,,,,,0,0,,
1,裏,3,2,1,false,false,false,荒井京介,右,前谷内琉斗,左,ストレート,,11,1,ボール,false,四球,,,,0,0,,
1,裏,0,0,1,true,false,false,荒井京介,右,辻坂光聖,左,,,0,3,牽制,false,,,,,0,0,,
1,裏,0,0,1,true,false,false,荒井京介,右,辻坂光聖,左,ストレート,,11,3,ボール,false,,,,,0,0,,
1,裏,1,0,1,true,false,false,荒井京介,右,辻坂光聖,左,ストレート,,1,3,ファール,false,,,,,0,0,,
1,裏,1,1,1,true,false,false,荒井京介,右,辻坂光聖,左,スライダー,,13,3,ボール,false,,,,,0,0,,
1,裏,2,1,1,true,false,false,荒井京介,右,辻坂光聖,左,スライダー,,2,1,インプレー,false,,単打,ライナー,右,0,0,,U5
1,裏,0,0,1,true,false,true,荒井京介,右,中野心惇,右,スライダー,,14,1,ボール,false,,,,,0,0,,
1,裏,1,0,1,true,false,true,荒井京介,右,中野心惇,右,スライダー,,5,1,ファール,false,,,,,0,0,,
1,裏,1,1,1,true,false,true,荒井京介,右,中野心惇,右,チェンジ,,2,1,インプレー,false,,凡打,フライ,一,1,0,,
1,裏,0,0,2,true,false,true,荒井京介,右,細川太志,左,スライダー,,8,1,見送,false,,,,,0,0,,
1,裏,0,1,2,false,true,true,荒井京介,右,細川太志,左,スライダー,,5,1,インプレー,false,,単打,ライナー,中,0,1,,P5
1,裏,0,0,2,true,false,true,荒井京介,右,山田遥斗,右,ストレート,,4,1,ファール,false,,,,,0,0,,
1,裏,0,1,2,true,false,true,荒井京介,右,山田遥斗,右,ストレート,,12,1,ボール,false,,,,,0,0,,
1,裏,1,1,2,false,true,true,荒井京介,右,山田遥斗,右,ストレート,,6,1,ファール,false,,,,,0,0,,
1,裏,1,2,2,false,true,true,荒井京介,右,山田遥斗,右,ストレート,,12,1,ボール,false,,,,,0,0,,
1,裏,2,2,2,false,true,true,荒井京介,右,山田遥斗,右,チェンジ,,11,1,ファール,false,,,,,0,0,,
1,裏,2,2,2,false,true,true,荒井京介,右,山田遥斗,右,ストレート,,11,3,ファール,false,,,,,0,0,,
