Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
1,表,1,0,0,false,false,false,荒井京介,右,浜野大輝,左,ストレート,,2,3,インプレー,false,,凡打,ゴロ,一,1,0,,W2
1,表,0,0,1,false,false,false,荒井京介,右,浜野大輝,左,チェンジ,,7,0,見送,false,,,,,0,0,,
1,表,0,1,1,false,false,false,荒井京介,右,浜野大輝,左,ストレート,,6,3,ファール,false,,,,,0,0,,
1,表,0,2,1,false,false,false,荒井京介,右,浜野大輝,左,チェンジ,,13,3,ボール,false,,,,,0,0,,
1,表,1,2,1,false,false,false,荒井京介,右,浜野大輝,左,スライダー,,7,3,見送,false,見三振,,,,1,0,,
1,表,0,0,2,false,false,false,荒井京介,右,浜野大輝,左,チェンジ,,11,1,死球,false,,,,,0,0,,
1,表,0,0,0,false,false,false,荒井京介,右,道下柚希,左,ストレート,,13,3,ボール,false,,,,,0,0,,
1,表,0,0,1,false,false,false,荒井京介,右,道下柚希,左,チェンジ,,7,3,見送,false,,,,,0,0,,
1,表,0,1,1,false,false,false,荒井京介,右,道下柚希,左,ストレート,,6,3,ファール,false,,,,,0,0,,
1,表,0,2,1,false,false,false,荒井京介,右,道下柚希,左,チェンジ,,13,3,ボール,false,,,,,0,0,,
1,表,1,2,1,false,false,false,荒井京介,右,道下柚希,左,スライダー,,7,3,見送,false,見三振,,,,1,0,,
1,表,0,0,2,false,false,false,荒井京介,右,竹田龍汰,右,スライダー,,11,1,死球,false,,,,,0,0,,
1,表,0,0,2,true,false,false,荒井京介,右,加納誠琉,右,スライダー,,9,1,見送,false,,,,,0,0,,
1,表,0,1,2,true,false,false,荒井京介,右,加納誠琉,右,チェンジ,,1,1,見送,false,,,,,0,0,,
1,表,0,2,2,true,false,false,荒井京介,右,加納誠琉,右,ストレート,,1,1,インプレー,false,,失策,ゴロ,遊,0,0,,K3
1,表,0,0,2,true,false,true,荒井京介,右,山本優人,右,スライダー,,8,1,見送,false,,,,,0,0,,
1,表,0,1,2,true,false,true,荒井京介,右,山本優人,右,チェンジ,,14,1,空振,false,,,,,0,0,,
1,表,0,2,2,true,false,true,荒井京介,右,山本優人,右,ストレート,,9,1,見送,false,見三振,,,,1,0,,
1,裏,0,0,0,false,false,false,濵名壱晴,右,中野佑哉,右,ストレート,,1,1,インプレー,false,,単打,ゴロ,遊,0,0,,F3
1,裏,0,0,0,true,false,false,濵名壱晴,右,長谷川楓太,右,フォーク,,1,1,インプレー,false,,犠打,ゴロ,一,1,0,,
1,裏,0,0,1,false,true,false,濵名壱晴,右,今村　耀,左,スライダー,,13,3,ボール,false,,,,,0,0,,
1,裏,1,0,1,false,true,false,濵名壱晴,右,今村　耀,左,ストレート,,13,3,ボール,false,,,,,0,0,,
1,裏,2,0,1,false,true,false,濵名壱晴,右,今村　耀,左,ストレート,,14,1,ボール,false,,,,,0,0,,
1,裏,3,0,1,false,true,false,濵名壱晴,右,今村　耀,左,ストレート,,7,3,見送,false,,,,,0,0,,
1,裏,3,1,1,false,true,false,濵名壱晴,右,今村　耀,左,フォーク,,5,1,ファール,false,,,,,0,0,,
1,裏,3,2,1,false,true,false,濵名壱晴,右,今村　耀,左,ストレート,,13,1,ボール,false,四球,,,,0,0,,
1,裏,0,0,1,true,true,false,濵名壱晴,右,秋元　陸,右,フォーク,,8,1,見送,false,,,,,0,0,,
1,裏,0,1,1,true,true,false,濵名壱晴,右,秋元　陸,右,スライダー,,1,1,インプレー,false,,凡打,ゴロ,遊,1,0,,F3
1,裏,0,0,2,false,true,true,濵名壱晴,右,町野輝弥,右,ストレート,,9,1,見送,false,,,,,0,0,,
1,裏,0,1,2,false,true,true,濵名壱晴,右,町野輝弥,右,スライダー,,2,1,インプレー,false,,失策,ゴロ,遊,0,2,,G3
1,裏,0,0,2,false,true,false,濵名壱晴,右,原口晋作,右,ストレート,,9,1,見送,false,,,,,0,0,,
1,裏,0,1,2,false,true,false,濵名壱晴,右,原口晋作,右,ストレート,,6,1,ファール,false,,,,,0,0,,
1,裏,0,2,2,false,true,false,濵名壱晴,右,原口晋作,右,スライダー,,11,1,インプレー,false,,凡打,フライ,左,1,0,,F6
2,表,0,0,0,false,false,false,荒井京介,右,相上征士郎,右,ストレート,,6,1,ファール,false,,,,,0,0,,
2,表,0,1,0,false,false,false,荒井京介,右,相上征士郎,右,チェンジ,,14,1,空振,false,,,,,0,0,,
2,表,0,2,0,false,false,false,荒井京介,右,相上征士郎,右,スライダー,,14,1,ボール,false,,,,,0,0,,
2,表,1,2,0,false,false,false,荒井京介,右,相上征士郎,右,ストレート,,8,1,空振,false,空三振,,,,1,0,,
2,表,0,0,1,false,false,false,荒井京介,右,淀川理久,左,ストレート,,7,3,見送,false,,,,,0,0,,
2,表,0,1,1,false,false,false,荒井京介,右,淀川理久,左,ストレート,,13,3,ボール,false,,,,,0,0,,
2,表,1,1,1,false,false,false,荒井京介,右,淀川理久,左,ストレート,,13,3,ボール,false,,,,,0,0,,
2,表,2,1,1,false,false,false,荒井京介,右,淀川理久,左,ストレート,,2,3,ファール,false,,,,,0,0,,
2,表,2,2,1,false,false,false,荒井京介,右,淀川理久,左,カーブ,,8,3,ファール,false,,,,,0,0,,
2,表,2,2,1,false,false,false,荒井京介,右,淀川理久,左,ストレート,,8,3,インプレー,false,,単打,フライ,中,0,0,,M5
2,表,0,0,1,false,false,false,荒井京介,右,渡辺健太郎,右,スライダー,,9,1,空振,false,,,,,0,0,,
2,表,0,1,1,false,false,false,荒井京介,右,渡辺健太郎,右,ストレート,,12,1,空振,false,,,,,1,0,,守妨
2,表,0,0,2,true,false,false,荒井京介,右,藤浦未来洋,右,ストレート,,13,3,ボール,false,,,,,0,0,,
2,表,1,0,2,true,false,false,荒井京介,右,藤浦未来洋,右,チェンジ,,8,3,見送,false,,,,,0,0,,
2,表,1,1,2,true,false,false,荒井京介,右,藤浦未来洋,右,ストレート,,7,3,インプレー,false,,凡打,ゴロ,投,1,0,,N2
2,裏,0,0,0,false,false,false,濵名壱晴,右,白井琉聖,右,スライダー,,13,1,ボール,false,,,,,0,0,,
2,裏,1,0,0,false,false,false,濵名壱晴,右,白井琉聖,右,ストレート,,11,3,インプレー,false,,凡打,フライ,左,1,0,,C6
2,裏,0,0,1,false,false,false,濵名壱晴,右,山口怜人,右,スライダー,,4,1,見送,false,,,,,0,0,,
2,裏,0,1,1,false,false,false,濵名壱晴,右,山口怜人,右,スライダー,,9,1,見送,false,,,,,0,0,,
2,裏,0,2,1,false,false,false,濵名壱晴,右,山口怜人,右,ストレート,,1,1,インプレー,false,,凡打,フライ,遊,1,0,,P2
2,裏,0,0,2,false,false,false,濵名壱晴,右,渡辺雄介,左,ストレート,,13,3,ボール,false,,,,,0,0,,
2,裏,1,0,2,false,false,false,濵名壱晴,右,渡辺雄介,左,スライダー,,4,1,インプレー,false,,単打,フライ,中,0,0,,K4
2,裏,0,0,2,true,false,false,濵名壱晴,右,中野佑哉,右,ストレート,,11,1,インプレー,false,,凡打,フライ,投,1,0,,C1
4,裏,0,0,0,false,false,false,濵名壱晴,右,白井琉聖,右,ストレート,,12,1,ボール,false,,,,,0,0,,
4,裏,1,0,0,false,false,false,濵名壱晴,右,白井琉聖,右,ストレート,,7,1,見送,false,,,,,0,0,,
4,裏,1,1,0,false,false,false,濵名壱晴,右,白井琉聖,右,ストレート,,3,1,ファール,false,,,,,0,0,,
4,裏,1,2,0,false,false,false,濵名壱晴,右,白井琉聖,右,ストレート,,3,1,インプレー,false,,凡打,フライ,遊,1,0,,H4
4,裏,0,0,1,false,false,false,濵名壱晴,右,山口怜人,右,ストレート,,14,0,ボール,false,,,,,0,0,,
4,裏,1,0,1,false,false,false,濵名壱晴,右,山口怜人,右,ストレート,,3,1,ファール,false,,,,,0,0,,
4,裏,1,1,1,false,false,false,濵名壱晴,右,山口怜人,右,スライダー,,8,1,見送,false,,,,,0,0,,
4,裏,1,2,1,false,false,false,濵名壱晴,右,山口怜人,右,スライダー,,11,1,ボール,false,,,,,0,0,,
4,裏,2,2,1,false,false,false,濵名壱晴,右,山口怜人,右,ストレート,,2,2,インプレー,false,,単打,フライ,中,0,0,,P5
4,裏,0,0,1,true,false,false,濵名壱晴,右,渡辺雄介,左,ストレート,,7,3,見送,false,,,,,0,0,,
