Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
1,表,0,0,0,true,false,false,大槇優斗,右,前谷内琉斗,左,スライダー,,14,3,ボール,false,,,,,0,0,,
1,表,1,0,0,true,false,false,大槇優斗,右,前谷内琉斗,左,ストレート,,12,3,ボール,false,,,,,0,0,,
1,表,2,0,0,true,false,false,大槇優斗,右,前谷内琉斗,左,ストレート,,1,3,見送,false,,,,,0,0,,
1,表,2,1,0,true,false,false,大槇優斗,右,前谷内琉斗,左,,,0,3,牽制,false,,,,,0,0,,
1,表,2,1,0,true,false,false,大槇優斗,右,前谷内琉斗,左,ストレート,,1,3,インプレー,false,,犠打,ゴロ,投,1,0,,
1,表,0,0,1,false,true,false,大槇優斗,右,辻坂光聖,左,カット,,14,3,ボール,false,,,,,0,0,,
1,表,1,0,1,false,true,false,大槇優斗,右,辻坂光聖,左,ストレート,,9,3,インプレー,false,,凡打,ゴロ,二,1,0,,T3
1,表,0,0,2,false,false,true,大槇優斗,右,津澤泰成,左,カーブ,,7,3,見送,false,,,,,0,0,,
1,表,0,1,2,false,false,true,大槇優斗,右,津澤泰成,左,スライダー,,11,3,ボール,false,,,,,0,0,,
1,表,1,1,2,false,false,true,大槇優斗,右,津澤泰成,左,ストレート,,11,3,ボール,false,,,,,0,0,,
1,表,2,1,2,false,false,true,大槇優斗,右,津澤泰成,左,ストレート,,11,3,インプレー,false,,凡打,ゴロ,一,1,0,,W2
1,裏,0,0,0,false,false,false,蔵口　敦,右,南　早羽己,左,ストレート,,9,3,見送,false,,,,,0,0,,
1,裏,0,1,0,false,false,false,蔵口　敦,右,南　早羽己,左,スライダー,,13,1,ボール,false,,,,,0,0,,
1,裏,1,1,0,false,false,false,蔵口　敦,右,南　早羽己,左,チェンジ,,1,1,空振,false,,,,,0,0,,
1,裏,1,2,0,false,false,false,蔵口　敦,右,南　早羽己,左,スライダー,,5,1,インプレー,false,,凡打,フライ,右,1,0,,S6
1,裏,0,0,1,false,false,false,蔵口　敦,右,木越達也,右,ストレート,,14,1,ボール,false,,,,,0,0,,
1,裏,1,0,1,false,false,false,蔵口　敦,右,木越達也,右,スライダー,,14,1,ボール,false,,,,,0,0,,
1,裏,2,0,1,false,false,false,蔵口　敦,右,木越達也,右,ストレート,,9,1,見送,false,,,,,0,0,,
1,裏,2,1,1,false,false,false,蔵口　敦,右,木越達也,右,チェンジ,,5,1,インプレー,false,,単打,フライ,中,1,0,,O6
1,裏,0,0,1,true,false,false,蔵口　敦,右,新田恭也,左,スライダー,,7,1,見送,false,,,,,0,0,,
1,裏,0,1,1,true,false,false,蔵口　敦,右,新田恭也,左,ストレート,,4,3,ファール,false,,,,,0,0,,
1,裏,0,2,1,true,false,false,蔵口　敦,右,新田恭也,左,ストレート,,12,1,ボール,false,,,,,0,0,,
1,裏,1,2,1,true,false,false,蔵口　敦,右,新田恭也,左,,,0,3,牽制,false,,,,,0,0,,
1,裏,1,2,1,true,false,false,蔵口　敦,右,新田恭也,左,ストレート,,11,3,ボール,false,,,,,0,0,,
1,裏,2,2,1,true,false,false,蔵口　敦,右,新田恭也,左,ストレート,,14,1,ボール,false,,,,,0,0,,盗塁成功
1,裏,3,2,1,false,true,false,蔵口　敦,右,新田恭也,左,ストレート,,3,1,インプレー,false,,二塁打,フライ,右,0,1,,Q7
1,裏,0,0,1,false,false,true,蔵口　敦,右,井上幹太,左,スライダー,,11,1,ボール,false,,,,,0,0,,
1,裏,1,0,1,false,false,true,蔵口　敦,右,井上幹太,左,ストレート,,13,1,空振,false,,,,,0,0,,
1,裏,1,1,1,false,false,true,蔵口　敦,右,井上幹太,左,ストレート,,13,3,ボール,false,,,,,0,0,,
1,裏,2,1,1,false,false,true,蔵口　敦,右,井上幹太,左,カーブ,,14,1,ボール,false,,,,,0,0,,
1,裏,3,1,1,false,false,true,蔵口　敦,右,井上幹太,左,ストレート,,9,1,見送,false,,,,,0,0,,
1,裏,3,2,1,false,false,true,蔵口　敦,右,井上幹太,左,スライダー,,9,1,空振,false,空三振,,,,1,0,,
1,裏,0,0,2,false,false,true,蔵口　敦,右,吉田陸人,左,ストレート,,13,3,ボール,false,,,,,0,0,,
1,裏,1,0,2,false,false,true,蔵口　敦,右,吉田陸人,左,スライダー,,14,1,ボール,false,,,,,0,0,,
1,裏,2,0,2,false,false,true,蔵口　敦,右,吉田陸人,左,カーブ,,7,1,見送,false,,,,,0,0,,
1,裏,2,1,2,false,false,true,蔵口　敦,右,吉田陸人,左,ストレート,,7,1,インプレー,false,,単打,ゴロ,三,0,1,,N3
1,裏,0,0,2,true,false,false,蔵口　敦,右,角尾頼尊,右,ストレート,,12,1,ボール,false,,,,,0,0,,
1,裏,1,0,2,true,false,false,蔵口　敦,右,角尾頼尊,右,ストレート,,6,1,ファール,false,,,,,0,0,,
1,裏,1,1,2,true,false,false,蔵口　敦,右,角尾頼尊,右,スライダー,,14,1,空振,false,,,,,0,0,,
1,裏,1,2,2,true,false,false,蔵口　敦,右,角尾頼尊,右,チェンジ,,14,1,ボール,false,,,,,0,0,,盗塁成功
1,裏,2,2,2,false,false,true,蔵口　敦,右,角尾頼尊,右,チェンジ,,3,1,インプレー,false,,凡打,フライ,左,1,0,,J6
2,表,0,0,0,false,false,false,大槇優斗,右,細川太志,左,カット,,14,1,ボール,false,,,,,0,0,,
2,表,1,0,0,false,false,false,大槇優斗,右,細川太志,左,ストレート,,7,3,空振,false,,,,,0,0,,
2,表,1,1,0,false,false,false,大槇優斗,右,細川太志,左,ストレート,,1,3,インプレー,false,,単打,ゴロ,右,0,0,,U3
2,表,0,0,0,true,false,false,大槇優斗,右,山田遥斗,右,,,0,1,牽制,false,,,,,0,0,,
2,表,0,0,0,true,false,false,大槇優斗,右,山田遥斗,右,チェンジ,,6,1,ファール,false,,,,,0,0,,
2,表,0,1,0,true,false,false,大槇優斗,右,山田遥斗,右,スライダー,,9,1,インプレー,false,,犠打,ゴロ,捕,1,0,,
2,表,0,0,1,false,true,false,大槇優斗,右,山本翔士,左,スライダー,,7,3,空振,false,,,,,0,0,,
2,表,0,1,1,false,true,false,大槇優斗,右,山本翔士,左,スライダー,,12,3,ボール,false,,,,,0,0,,
2,表,1,1,1,false,true,false,大槇優斗,右,山本翔士,左,ストレート,,7,3,見送,false,,,,,0,0,,
2,表,1,2,1,false,true,false,大槇優斗,右,山本翔士,左,ストレート,,1,3,インプレー,false,,凡打,ゴロ,二,1,0,,U3
2,表,0,0,2,false,false,true,大槇優斗,右,苅安　陸,右,カット,,14,1,ボール,false,,,,,0,0,,
2,表,1,0,2,false,false,true,大槇優斗,右,苅安　陸,右,スライダー,,9,1,見送,false,,,,,0,0,,
2,表,1,1,2,false,false,true,大槇優斗,右,苅安　陸,右,スライダー,,8,1,見送,false,,,,,0,0,,
2,表,1,2,2,false,false,true,大槇優斗,右,苅安　陸,右,ストレート,,14,1,ボール,false,,,,,0,0,,
2,表,2,2,2,false,false,true,大槇優斗,右,苅安　陸,右,スライダー,,14,1,ボール,false,,,,,0,0,,
2,表,3,2,2,false,false,true,大槇優斗,右,苅安　陸,右,ストレート,,1,1,インプレー,false,,凡打,ゴロ,投,1,0,,N2
2,裏,0,0,0,false,false,false,蔵口　敦,右,原　健心,左,カーブ,,11,1,ボール,false,,,,,0,0,,
2,裏,1,0,0,false,false,false,蔵口　敦,右,原　健心,左,ストレート,,14,1,ボール,false,,,,,0,0,,
2,裏,2,0,0,false,false,false,蔵口　敦,右,原　健心,左,ストレート,,3,1,見送,false,,,,,0,0,,
2,裏,2,1,0,false,false,false,蔵口　敦,右,原　健心,左,スライダー,,4,1,見送,false,,,,,0,0,,
2,裏,2,2,0,false,false,false,蔵口　敦,右,原　健心,左,ストレート,,3,1,ファール,false,,,,,0,0,,
2,裏,2,2,0,false,false,false,蔵口　敦,右,原　健心,左,ストレート,,13,1,インプレー,false,,単打,フライ,右,0,0,,V6
2,裏,0,0,0,true,false,false,蔵口　敦,右,川合錬磨,右,ストレート,,9,1,見送,false,,,,,0,0,,
2,裏,0,1,0,true,false,false,蔵口　敦,右,川合錬磨,右,ストレート,,12,1,ボール,false,,,,,0,0,,
2,裏,1,1,0,true,false,false,蔵口　敦,右,川合錬磨,右,チェンジ,,12,1,インプレー,false,,犠打,ゴロ,投,1,0,,
2,裏,0,0,1,false,true,false,蔵口　敦,右,田畑僚太,右,スライダー,,9,1,見送,false,,,,,0,0,,
2,裏,0,1,1,false,true,false,蔵口　敦,右,田畑僚太,右,スライダー,,12,1,ボール,false,,,,,0,0,,
2,裏,1,1,1,false,true,false,蔵口　敦,右,田畑僚太,右,,,0,1,牽制,false,,,,,0,0,,
2,裏,1,1,1,false,true,false,蔵口　敦,右,田畑僚太,右,スライダー,,9,1,ファール,false,,,,,0,0,,
2,裏,1,2,1,false,true,false,蔵口　敦,右,田畑僚太,右,ストレート,,12,1,空振,false,空三振,,,,1,0,,
2,裏,0,0,2,false,true,false,蔵口　敦,右,南　早羽己,左,ストレート,,11,3,ボール,false,,,,,0,0,,
2,裏,1,0,2,false,true,false,蔵口　敦,右,南　早羽己,左,ストレート,,7,3,空振,false,,,,,0,0,,
2,裏,1,1,2,false,true,false,蔵口　敦,右,南　早羽己,左,スライダー,,4,1,見送,false,,,,,0,0,,
2,裏,1,2,2,false,true,false,蔵口　敦,右,南　早羽己,左,ストレート,,12,3,インプレー,false,,二塁打,フライ,中,0,1,,Q5
2,裏,0,0,2,false,true,false,蔵口　敦,右,木越達也,右,ストレート,,12,1,ボール,false,,,,,0,0,,
2,裏,1,0,2,false,true,false,蔵口　敦,右,木越達也,右,ストレート,,12,1,ボール,false,,,,,0,0,,
2,裏,2,0,2,false,true,false,蔵口　敦,右,木越達也,右,スライダー,,7,1,見送,false,,,,,0,0,,
2,裏,2,1,2,false,true,false,蔵口　敦,右,木越達也,右,スライダー,,14,1,ファール,false,,,,,0,0,,
2,裏,2,2,2,false,true,false,蔵口　敦,右,木越達也,右,スライダー,,13,3,インプレー,false,,単打,ゴロ,三,0,1,,C3
2,裏,0,0,2,false,true,false,蔵口　敦,右,新田恭也,左,スライダー,,13,1,ボール,false,,,,,0,0,,
2,裏,1,0,2,false,true,false,蔵口　敦,右,新田恭也,左,スライダー,,11,1,ボール,false,,,,,0,0,,
2,裏,2,0,2,false,true,false,蔵口　敦,右,新田恭也,左,チェンジ,,4,3,ファール,false,,,,,0,0,,
