Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
1,表,0,0,0,false,false,false,野﨑勇一郎,右,山本優人,右,ストレート,,9,1,見送,false,,,,,0,0,,
1,表,0,1,0,false,false,false,野﨑勇一郎,右,山本優人,右,スライダー,,4,1,ファール,false,,,,,0,0,,
1,表,0,2,0,false,false,false,野﨑勇一郎,右,山本優人,右,ストレート,,14,1,ボール,false,,,,,0,0,,
1,表,1,2,0,false,false,false,野﨑勇一郎,右,山本優人,右,ストレート,,6,1,見送,false,見三振,,,,1,0,,
1,表,0,0,1,false,false,false,野﨑勇一郎,右,道下柚希,左,スライダー,,7,3,見送,false,,,,,0,0,,
1,表,0,1,1,false,false,false,野﨑勇一郎,右,道下柚希,左,カーブ,,7,3,見送,false,,,,,0,0,,
1,表,0,2,1,false,false,false,野﨑勇一郎,右,道下柚希,左,チェンジ,,13,3,空振,false,空三振,,,,1,0,,
1,表,0,0,2,false,false,false,野﨑勇一郎,右,竹田龍汰,右,ストレート,,6,1,見送,false,,,,,0,0,,
1,表,0,1,2,false,false,false,野﨑勇一郎,右,竹田龍汰,右,ストレート,,9,1,空振,false,,,,,0,0,,
1,表,0,2,2,false,false,false,野﨑勇一郎,右,竹田龍汰,右,カーブ,,14,1,ボール,false,,,,,0,0,,
1,表,1,2,2,false,false,false,野﨑勇一郎,右,竹田龍汰,右,ストレート,,12,1,ボール,false,,,,,0,0,,
1,表,2,2,2,false,false,false,野﨑勇一郎,右,竹田龍汰,右,スライダー,,7,1,インプレー,false,,凡打,ゴロ,三,1,0,,
1,裏,0,0,0,false,false,false,小野颯太,右,清水快真,左,スライダー,,14,1,ボール,false,,,,,0,0,,
1,裏,1,0,0,false,false,false,小野颯太,右,清水快真,左,スライダー,,14,1,ボール,false,,,,,0,0,,
1,裏,2,0,0,false,false,false,小野颯太,右,清水快真,左,スライダー,,14,1,ボール,false,,,,,0,0,,
1,裏,3,0,0,false,false,false,小野颯太,右,清水快真,左,スライダー,,14,1,ボール,false,四球,,,,0,0,,
1,裏,0,0,0,true,false,false,小野颯太,右,細川太志,左,スライダー,,11,3,ボール,false,,,,,0,0,,
1,裏,1,0,0,true,false,false,小野颯太,右,細川太志,左,スライダー,,11,1,ボール,false,,,,,0,0,,盗塁成功
1,裏,2,0,0,false,true,false,小野颯太,右,細川太志,左,スライダー,,14,3,ボール,false,,,,,0,0,,
1,裏,3,0,0,false,true,false,小野颯太,右,細川太志,左,スライダー,,4,1,見送,false,,,,,0,0,,
1,裏,3,1,0,false,true,false,小野颯太,右,細川太志,左,ストレート,,9,1,見送,false,,,,,0,0,,
1,裏,3,2,0,false,true,false,小野颯太,右,細川太志,左,スライダー,,7,0,インプレー,false,,凡打,ゴロ,三,1,0,,E2
1,裏,0,0,1,false,false,true,小野颯太,右,中野心惇,右,ストレート,,12,1,ボール,false,,,,,0,0,,
1,裏,1,0,1,false,false,true,小野颯太,右,中野心惇,右,スライダー,,11,1,死球,false,,,,,0,0,,
1,裏,0,0,1,true,false,true,小野颯太,右,清水翔音,右,スライダー,,14,1,ボール,false,,,,,0,0,,盗塁成功
1,裏,1,0,1,false,true,true,小野颯太,右,清水翔音,右,スライダー,,6,1,見送,false,,,,,0,0,,
1,裏,1,1,1,false,true,true,小野颯太,右,清水翔音,右,スライダー,,8,1,見送,false,,,,,0,0,,
1,裏,1,2,1,false,true,true,小野颯太,右,清水翔音,右,ストレート,,6,3,ファール,false,,,,,0,0,,
1,裏,1,2,1,false,true,true,小野颯太,右,清水翔音,右,ストレート,,12,1,ボール,false,,,,,0,0,,
1,裏,2,2,1,false,true,true,小野颯太,右,清水翔音,右,スライダー,,1,1,インプレー,false,,本塁打,フライ,左,0,3,,H7
1,裏,0,0,1,false,false,false,小野颯太,右,架谷　岳,右,スライダー,,13,1,ボール,false,,,,,0,0,,
1,裏,1,0,1,false,false,false,小野颯太,右,架谷　岳,右,スライダー,,8,1,インプレー,false,,凡打,ゴロ,二,1,0,,T3
1,裏,0,0,2,false,false,false,小野颯太,右,竹内勇輝,左,スライダー,,13,1,ボール,false,,,,,0,0,,
1,裏,1,0,2,false,false,false,小野颯太,右,竹内勇輝,左,スライダー,,5,1,ファール,false,,,,,0,0,,
1,裏,1,1,2,false,false,false,小野颯太,右,竹内勇輝,左,スライダー,,14,1,ボール,false,,,,,0,0,,
1,裏,2,1,2,false,false,false,小野颯太,右,竹内勇輝,左,ストレート,,1,3,インプレー,false,,凡打,ゴロ,投,1,0,,W2
2,表,0,0,0,false,false,false,野﨑勇一郎,右,加納誠琉,右,カーブ,,13,1,ボール,false,,,,,0,0,,
2,表,1,0,0,false,false,false,野﨑勇一郎,右,加納誠琉,右,ストレート,,8,1,ファール,false,,,,,0,0,,
2,表,1,1,0,false,false,false,野﨑勇一郎,右,加納誠琉,右,カーブ,,11,1,ボール,false,,,,,0,0,,
2,表,2,1,0,false,false,false,野﨑勇一郎,右,加納誠琉,右,ストレート,,12,1,ボール,false,,,,,0,0,,
2,表,3,1,0,false,false,false,野﨑勇一郎,右,加納誠琉,右,ストレート,,4,3,見送,false,,,,,0,0,,
2,表,3,2,0,false,false,false,野﨑勇一郎,右,加納誠琉,右,カーブ,,1,1,ファール,false,,,,,0,0,,
2,表,3,2,0,false,false,false,野﨑勇一郎,右,加納誠琉,右,ストレート,,12,1,ボール,false,四球,,,,0,0,,
2,表,0,0,0,true,false,false,野﨑勇一郎,右,相上征士郎,右,,,0,1,牽制,false,,,,,0,0,,
2,表,0,0,0,true,false,false,野﨑勇一郎,右,相上征士郎,右,スライダー,,4,1,見送,false,,,,,0,0,,
2,表,0,1,0,true,false,false,野﨑勇一郎,右,相上征士郎,右,カーブ,,13,1,ボール,false,,,,,0,0,,
2,表,1,1,0,true,false,false,野﨑勇一郎,右,相上征士郎,右,ストレート,,9,1,空振,false,,,,,0,0,,
2,表,1,2,0,true,false,false,野﨑勇一郎,右,相上征士郎,右,ストレート,,14,1,ボール,false,,,,,0,0,,
2,表,2,2,0,true,false,false,野﨑勇一郎,右,相上征士郎,右,カーブ,,4,1,ファール,false,,,,,0,0,,
2,表,2,2,0,true,false,false,野﨑勇一郎,右,相上征士郎,右,ストレート,,3,1,ファール,false,,,,,0,0,,
2,表,2,2,0,true,false,false,野﨑勇一郎,右,相上征士郎,右,カーブ,,1,1,ファール,false,,,,,0,0,,
2,表,2,2,0,true,false,false,野﨑勇一郎,右,相上征士郎,右,,,0,1,牽制,false,,,,,0,0,,
2,表,2,2,0,true,false,false,野﨑勇一郎,右,相上征士郎,右,ストレート,,2,1,インプレー,false,,本塁打,フライ,左,0,2,,
2,表,0,0,0,false,false,false,野﨑勇一郎,右,越野虎次郎,右,カーブ,,14,1,ボール,false,,,,,0,0,,
2,表,1,0,0,false,false,false,野﨑勇一郎,右,越野虎次郎,右,スライダー,,9,1,見送,false,,,,,0,0,,
2,表,1,1,0,false,false,false,野﨑勇一郎,右,越野虎次郎,右,ストレート,,4,0,インプレー,false,,二塁打,ライナー,右,0,0,,
2,表,0,0,0,false,true,false,野﨑勇一郎,右,藤浦未来洋,右,カーブ,,7,3,見送,false,,,,,0,0,,
2,表,0,1,0,false,true,false,野﨑勇一郎,右,藤浦未来洋,右,カーブ,,13,3,ボール,false,,,,,0,0,,
2,表,1,1,0,false,true,false,野﨑勇一郎,右,藤浦未来洋,右,ストレート,,14,1,ボール,false,,,,,0,0,,
2,表,2,1,0,false,true,false,野﨑勇一郎,右,藤浦未来洋,右,,,13,2,ファール,false,,,,,0,0,,
2,表,2,2,0,false,true,false,野﨑勇一郎,右,藤浦未来洋,右,チェンジ,,1,1,ファール,false,,,,,0,0,,
2,表,2,2,0,false,true,false,野﨑勇一郎,右,藤浦未来洋,右,ストレート,,12,1,ボール,false,,,,,0,0,,
2,表,3,2,0,false,true,false,野﨑勇一郎,右,藤浦未来洋,右,チェンジ,,3,1,ファール,false,,,,,0,0,,
2,表,3,2,0,false,true,false,野﨑勇一郎,右,藤浦未来洋,右,スライダー,,2,1,ファール,false,,,,,0,0,,
2,表,3,2,0,false,true,false,野﨑勇一郎,右,藤浦未来洋,右,ストレート,,9,1,インプレー,false,,凡打,フライ,右,1,0,,
2,表,0,0,1,false,false,true,野﨑勇一郎,右,淀川理久,左,チェンジ,,13,3,空振,false,,,,,0,0,,
2,表,0,1,1,false,false,true,野﨑勇一郎,右,淀川理久,左,ストレート,,7,3,見送,false,,,,,0,0,,
2,表,0,2,1,false,false,true,野﨑勇一郎,右,淀川理久,左,チェンジ,,13,3,ボール,false,,,,,0,0,,
2,表,1,2,1,false,false,true,野﨑勇一郎,右,淀川理久,左,ストレート,,12,1,ボール,false,,,,,0,0,,
2,表,1,2,1,false,false,true,野﨑勇一郎,右,淀川理久,左,ストレート,,12,1,ボール,false,,,,,0,0,,
2,表,2,2,1,false,false,true,野﨑勇一郎,右,淀川理久,左,スライダー,,2,3,ファール,false,,,,,0,0,,
2,表,2,2,1,false,false,true,野﨑勇一郎,右,淀川理久,左,ストレート,,5,3,空振,false,空三振,,,,1,0,,
2,表,0,0,2,false,false,true,野﨑勇一郎,右,渡辺健太郎,右,スライダー,,2,1,見送,false,,,,,0,0,,
2,表,0,1,2,false,false,true,野﨑勇一郎,右,渡辺健太郎,右,ストレート,,12,1,ボール,false,,,,,0,0,,
2,表,1,1,2,false,false,true,野﨑勇一郎,右,渡辺健太郎,右,カーブ,,14,1,ボール,false,,,,,0,0,,
2,表,2,1,2,false,false,true,野﨑勇一郎,右,渡辺健太郎,右,チェンジ,,4,3,ファール,false,,,,,0,0,,
2,表,2,2,2,false,false,true,野﨑勇一郎,右,渡辺健太郎,右,ストレート,,12,1,ボール,false,,,,,0,0,,
2,表,3,2,2,false,false,true,野﨑勇一郎,右,渡辺健太郎,右,ストレート,,14,1,ボール,false,四球,,,,0,0,,
2,表,0,0,2,true,false,true,野﨑勇一郎,右,山本優人,右,カーブ,,13,1,ボール,false,,,,,0,0,,
2,表,1,0,2,true,false,true,野﨑勇一郎,右,山本優人,右,スライダー,,13,1,空振,false,,,,,0,0,,
2,表,1,1,2,true,false,true,野﨑勇一郎,右,山本優人,右,チェンジ,,6,1,インプレー,false,,凡打,ライナー,遊,1,0,,
2,裏,0,0,0,false,false,false,小野颯太,右,苅安　陸,右,ストレート,,6,1,見送,false,,,,,0,0,,
2,裏,0,1,0,false,false,false,小野颯太,右,苅安　陸,右,スライダー,,14,1,ボール,false,,,,,0,0,,
2,裏,1,1,0,false,false,false,小野颯太,右,苅安　陸,右,ストレート,,6,1,ファール,false,,,,,0,0,,
2,裏,1,2,0,false,false,false,小野颯太,右,苅安　陸,右,スライダー,,5,1,インプレー,false,,凡打,ゴロ,二,1,0,,P3
2,裏,0,0,1,false,false,false,小野颯太,右,桜打楓我,右,ストレート,,14,1,ボール,false,,,,,0,0,,
2,裏,1,0,1,false,false,false,小野颯太,右,桜打楓我,右,ストレート,,9,1,見送,false,,,,,0,0,,
2,裏,1,1,1,false,false,false,小野颯太,右,桜打楓我,右,スライダー,,6,1,見送,false,,,,,0,0,,
2,裏,1,2,1,false,false,false,小野颯太,右,桜打楓我,右,スライダー,,12,1,ボール,false,,,,,0,0,,
2,裏,2,2,1,false,false,false,小野颯太,右,桜打楓我,右,スライダー,,14,1,ファール,false,,,,,0,0,,
2,裏,2,2,1,false,false,false,小野颯太,右,桜打楓我,右,ストレート,,2,1,ファール,false,,,,,0,0,,
2,裏,2,2,1,false,false,false,小野颯太,右,桜打楓我,右,スライダー,,11,1,ボール,false,,,,,0,0,,
2,裏,3,2,1,false,false,false,小野颯太,右,桜打楓我,右,スライダー,,14,1,空振,false,空三振,,,,1,0,,
2,裏,0,0,2,false,false,false,小野颯太,右,前谷内琉斗,左,スライダー,,5,1,見送,false,,,,,0,0,,
2,裏,0,1,2,false,false,false,小野颯太,右,前谷内琉斗,左,ストレート,,14,1,ボール,false,,,,,0,0,,
2,裏,1,1,2,false,false,false,小野颯太,右,前谷内琉斗,左,スライダー,,6,3,見送,false,,,,,0,0,,
2,裏,1,2,2,false,false,false,小野颯太,右,前谷内琉斗,左,ストレート,,7,0,ファール,false,,,,,0,0,,
2,裏,1,2,2,false,false,false,小野颯太,右,前谷内琉斗,左,ストレート,,5,3,ファール,false,,,,,0,0,,
2,裏,1,2,2,false,false,false,小野颯太,右,前谷内琉斗,左,ストレート,,3,1,インプレー,false,,単打,ゴロ,右,0,0,,V3
2,裏,0,0,2,true,false,false,小野颯太,右,清水快真,左,ストレート,,11,1,ファール,false,,,,,0,0,,
2,裏,0,1,2,true,false,false,小野颯太,右,清水快真,左,スライダー,,11,1,ボール,false,,,,,0,0,,
2,裏,1,1,2,true,false,false,小野颯太,右,清水快真,左,ストレート,,6,1,見送,false,,,,,0,0,,
2,裏,1,2,2,true,false,false,小野颯太,右,清水快真,左,ストレート,,1,0,空振,false,空三振,,,,1,0,,
3,表,0,0,0,false,false,false,野﨑勇一郎,右,道下柚希,左,スライダー,,4,3,ファール,false,,,,,0,0,,
3,表,0,1,0,false,false,false,野﨑勇一郎,右,道下柚希,左,カーブ,,1,3,インプレー,false,,凡打,ゴロ,二,1,0,,
3,表,0,0,1,false,false,false,野﨑勇一郎,右,竹田龍汰,右,カーブ,,9,1,見送,false,,,,,0,0,,
