Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
1,表,0,0,0,false,false,false,藤川泰斗,左,楠脇智樹,右,ストレート,,13,1,ボール,false,,,,,0,0,,
1,表,1,0,0,false,false,false,藤川泰斗,左,楠脇智樹,右,ストレート,,6,1,インプレー,false,,凡打,ゴロ,二,1,0,,S3
1,表,0,0,1,false,false,false,藤川泰斗,左,加藤遥人,右,ストレート,,12,3,ボール,false,,,,,0,0,,
1,表,1,0,1,false,false,false,藤川泰斗,左,加藤遥人,右,ストレート,,7,3,見送,false,,,,,0,0,,
1,表,1,1,1,false,false,false,藤川泰斗,左,加藤遥人,右,ストレート,,1,3,インプレー,false,,凡打,フライ,右,1,0,,S6
1,表,0,0,2,false,false,false,藤川泰斗,左,亀澤祐貴,右,ストレート,,13,1,ボール,false,,,,,0,0,,
1,表,1,0,2,false,false,false,藤川泰斗,左,亀澤祐貴,右,ストレート,,7,3,見送,false,,,,,0,0,,
1,表,1,1,2,false,false,false,藤川泰斗,左,亀澤祐貴,右,ストレート,,7,3,見送,false,,,,,0,0,,
1,表,1,2,2,false,false,false,藤川泰斗,左,亀澤祐貴,右,ストレート,,14,1,ボール,false,,,,,0,0,,
1,表,2,2,2,false,false,false,藤川泰斗,左,亀澤祐貴,右,ストレート,,5,2,インプレー,false,,凡打,フライ,右,1,0,,R5
1,裏,0,0,0,false,false,false,的場洸稀,右,渡部千博,左,ストレート,,8,3,見送,false,,,,,0,0,,
1,裏,0,1,0,false,false,false,的場洸稀,右,渡部千博,左,ストレート,,7,1,見送,false,,,,,0,0,,
1,裏,0,2,0,false,false,false,的場洸稀,右,渡部千博,左,ストレート,,11,1,ボール,false,,,,,0,0,,
1,裏,1,2,0,false,false,false,的場洸稀,右,渡部千博,左,カーブ,,11,1,ボール,false,,,,,0,0,,
1,裏,2,2,0,false,false,false,的場洸稀,右,渡部千博,左,ストレート,,11,3,ボール,false,,,,,0,0,,
1,裏,3,2,0,false,false,false,的場洸稀,右,渡部千博,左,ストレート,,12,1,インプレー,false,,凡打,フライ,左,1,0,,H6
1,裏,0,0,1,false,false,false,的場洸稀,右,池邉由伸,左,チェンジ,,7,2,見送,false,,,,,0,0,,
1,裏,0,1,1,false,false,false,的場洸稀,右,池邉由伸,左,チェンジ,,12,1,ボール,false,,,,,0,0,,
1,裏,1,1,1,false,false,false,的場洸稀,右,池邉由伸,左,ストレート,,13,1,ファール,false,,,,,0,0,,
1,裏,1,2,1,false,false,false,的場洸稀,右,池邉由伸,左,ストレート,,1,3,インプレー,false,,単打,ゴロ,中,0,0,,L3
1,裏,0,0,1,true,false,false,的場洸稀,右,佐藤隼太,右,チェンジ,,12,1,ボール,false,,,,,0,0,,
1,裏,1,0,1,true,false,false,的場洸稀,右,佐藤隼太,右,,,0,1,牽制,false,,,,,0,0,,
1,裏,1,0,1,true,false,false,的場洸稀,右,佐藤隼太,右,ストレート,,12,1,ボール,false,,,,,0,0,,
