Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
1,裏,0,0,0,false,false,false,大槇優斗,右,山本優人,右,スライダー,,14,1,ボール,false,,,,,0,0,,
1,裏,1,0,0,false,false,false,大槇優斗,右,山本優人,右,ストレート,,3,1,インプレー,false,,凡打,ゴロ,遊,1,0,,H3
1,裏,0,0,1,false,false,false,大槇優斗,右,竹田龍汰,右,カーブ,,11,2,ボール,false,,,,,0,0,,
1,裏,1,0,1,false,false,false,大槇優斗,右,竹田龍汰,右,スライダー,,4,2,見送,false,,,,,0,0,,
1,裏,1,1,1,false,false,false,大槇優斗,右,竹田龍汰,右,ストレート,,3,1,インプレー,false,,凡打,ライナー,遊,1,0,,G3
1,裏,0,0,2,false,false,false,大槇優斗,右,道下柚希,左,カーブ,,13,3,ボール,false,,,,,0,0,,
1,裏,1,0,2,false,false,false,大槇優斗,右,道下柚希,左,ストレート,,5,0,見送,false,,,,,0,0,,
1,裏,1,1,2,false,false,false,大槇優斗,右,道下柚希,左,ストレート,,13,3,空振,false,,,,,0,0,,
1,裏,1,2,2,false,false,false,大槇優斗,右,道下柚希,左,フォーク,,7,3,空振,false,空三振,,,,1,0,,
2,表,0,0,0,false,false,false,濵名壱晴,右,眞木佳唯斗,右,ストレート,,2,1,インプレー,false,,凡打,ゴロ,投,1,0,,M2
2,表,0,0,1,false,false,false,濵名壱晴,-,古俣　秀,右,ストレート,,12,0,インプレー,false,,単打,ゴロ,中,0,0,,M3
2,表,0,0,1,true,false,false,濵名壱晴,右,田畑僚太,右,スライダー,,11,0,ボール,false,,,,,0,0,,
2,表,1,0,1,true,false,false,濵名壱晴,右,田畑僚太,右,ストレート,,9,1,見送,false,,,,,0,0,,
2,表,1,1,1,true,false,false,濵名壱晴,右,田畑僚太,右,,,0,1,ボール,false,,,,,0,0,,
2,表,2,1,1,true,false,false,濵名壱晴,右,田畑僚太,右,ストレート,,12,0,ボール,false,,,,,0,0,,
2,表,3,1,1,false,true,false,濵名壱晴,右,田畑僚太,右,ストレート,,5,0,インプレー,false,,凡打,フライ,左,1,0,,F5
2,表,0,0,2,false,true,false,濵名壱晴,右,今岡歩夢,左,スライダー,,4,1,見送,false,,,,,0,0,,
2,表,0,1,2,false,true,false,濵名壱晴,右,今岡歩夢,左,ストレート,,9,1,見送,false,,,,,0,0,,
2,表,0,2,2,false,true,false,濵名壱晴,右,今岡歩夢,左,ストレート,,14,1,ボール,false,,,,,0,0,,
2,表,1,2,2,false,true,false,濵名壱晴,-,今岡歩夢,左,スライダー,,1,3,ファール,false,,,,,0,0,,
2,表,1,2,2,false,true,false,濵名壱晴,右,今岡歩夢,左,ストレート,,14,1,ボール,false,,,,,0,0,,
2,表,2,2,2,false,true,false,濵名壱晴,右,今岡歩夢,左,スライダー,,7,3,インプレー,false,,凡打,フライ,右,1,0,,S5
2,裏,0,0,0,false,false,false,大槇優斗,右,加納誠琉,右,カーブ,,8,1,見送,false,,,,,0,0,,
2,裏,0,1,0,false,false,false,大槇優斗,右,加納誠琉,右,ストレート,,12,1,ボール,false,,,,,0,0,,
2,裏,1,1,0,false,false,false,大槇優斗,右,加納誠琉,右,カット,,14,1,ボール,false,,,,,0,0,,
2,裏,2,1,0,false,false,false,大槇優斗,右,加納誠琉,右,カット,,3,1,インプレー,false,,単打,ゴロ,左,0,0,,E3
2,裏,0,0,0,true,false,false,大槇優斗,右,相上征士郎,右,,,0,1,牽制,false,,,,,0,0,,
2,裏,0,0,0,true,false,false,大槇優斗,右,相上征士郎,右,スライダー,,14,1,ボール,false,,,,,0,0,,
2,裏,1,0,0,true,false,false,大槇優斗,右,相上征士郎,右,スライダー,,9,1,見送,false,,,,,0,0,,
2,裏,1,1,0,true,false,false,大槇優斗,右,相上征士郎,右,ストレート,,4,3,空振,false,,,,,0,0,,
2,裏,1,2,0,true,false,false,大槇優斗,右,相上征士郎,右,ストレート,,4,3,ファール,false,,,,,0,0,,
2,裏,1,2,0,true,false,false,大槇優斗,右,相上征士郎,右,ストレート,,11,1,空振,false,空三振,,,,1,0,,
2,裏,0,0,1,true,false,false,大槇優斗,右,越野虎次郎,右,ストレート,,5,1,ファール,false,,,,,0,0,,
2,裏,0,1,1,true,false,false,大槇優斗,右,越野虎次郎,右,ストレート,,14,1,ボール,false,,,,,0,0,,
2,裏,1,1,1,true,false,false,大槇優斗,右,越野虎次郎,右,スライダー,,4,1,インプレー,false,,単打,ライナー,左,0,0,,F4
2,裏,0,0,1,true,true,false,大槇優斗,右,藤浦未来洋,右,ストレート,,1,3,インプレー,false,,失策,ゴロ,投,0,0,,
2,裏,0,0,1,true,true,true,大槇優斗,右,淀川理久,左,ストレート,,2,3,インプレー,false,,犠飛,フライ,中,2,1,,N6
3,表,0,0,0,false,false,false,濵名壱晴,右,三上武流,右,ストレート,,13,3,ボール,false,,,,,0,0,,
