Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
1,表,0,0,0,false,false,false,藤川泰斗,左,山本優人,右,ストレート,,9,1,見送,false,,,,,0,0,,
1,表,0,1,0,false,false,false,藤川泰斗,左,山本優人,右,ストレート,,14,1,ボール,false,,,,,0,0,,
1,表,1,1,0,false,false,false,藤川泰斗,左,山本優人,右,ストレート,,4,1,ファール,false,,,,,0,0,,
1,表,1,2,0,false,false,false,藤川泰斗,左,山本優人,右,チェンジ,,6,1,ファール,false,,,,,0,0,,
1,表,1,2,0,false,false,false,藤川泰斗,左,山本優人,右,ストレート,,3,1,ファール,false,,,,,0,0,,
1,表,1,2,0,false,false,false,藤川泰斗,左,山本優人,右,チェンジ,,14,1,空振,false,空三振,,,,1,0,,
1,表,0,0,1,false,false,false,藤川泰斗,左,竹田龍汰,右,ストレート,,12,1,ボール,false,,,,,0,0,,
1,表,1,0,1,false,false,false,藤川泰斗,左,竹田龍汰,右,ストレート,,6,1,ファール,false,,,,,0,0,,
1,表,1,1,1,false,false,false,藤川泰斗,左,竹田龍汰,右,ストレート,,9,1,空振,false,,,,,0,0,,
1,表,1,2,1,false,false,false,藤川泰斗,左,竹田龍汰,右,スライダー,,12,1,ボール,false,,,,,0,0,,
1,表,2,2,1,false,false,false,藤川泰斗,左,竹田龍汰,右,ストレート,,1,3,インプレー,false,,二塁打,フライ,左,0,0,,D7
1,表,0,0,1,false,true,false,藤川泰斗,左,道下柚希,左,ストレート,,7,3,見送,false,,,,,0,0,,
1,表,0,1,1,false,true,false,藤川泰斗,左,道下柚希,左,ストレート,,3,3,インプレー,false,,凡打,ゴロ,二,1,0,,
1,表,0,0,2,false,false,true,藤川泰斗,左,加納誠琉,右,ストレート,,11,1,ボール,false,,,,,0,0,,
1,表,1,0,2,false,false,true,藤川泰斗,左,加納誠琉,右,ストレート,,12,1,ボール,false,,,,,0,0,,
1,表,2,0,2,false,false,true,藤川泰斗,左,加納誠琉,右,ストレート,,5,1,見送,false,,,,,0,0,,
1,表,2,1,2,false,false,true,藤川泰斗,左,加納誠琉,右,ストレート,,14,1,ボール,false,,,,,0,0,,
1,表,3,1,2,false,false,true,藤川泰斗,左,加納誠琉,右,ストレート,,6,2,ファール,false,,,,,0,0,,
1,表,3,2,2,false,false,true,藤川泰斗,左,加納誠琉,右,カーブ,,14,3,インプレー,false,,凡打,ゴロ,三,1,0,,H2
1,裏,0,0,0,false,false,false,石浦吉人,右,渡部千博,左,ストレート,,13,3,ボール,false,,,,,0,0,,
1,裏,1,0,0,false,false,false,石浦吉人,右,渡部千博,左,ストレート,,12,1,ボール,false,,,,,0,0,,
1,裏,2,0,0,false,false,false,石浦吉人,右,渡部千博,左,ストレート,,6,3,見送,false,,,,,0,0,,
1,裏,2,1,0,false,false,false,石浦吉人,右,渡部千博,左,ストレート,,2,2,ファール,false,,,,,0,0,,
1,裏,2,2,0,false,false,false,石浦吉人,右,渡部千博,左,ストレート,,14,1,ボール,false,,,,,0,0,,
1,裏,3,2,0,false,false,false,石浦吉人,右,渡部千博,左,ストレート,,3,2,ファール,false,,,,,0,0,,
1,裏,3,2,0,false,false,false,石浦吉人,右,渡部千博,左,ストレート,,2,2,インプレー,false,,凡打,フライ,左,1,0,,B6
1,裏,0,0,1,false,false,false,石浦吉人,右,池邉由伸,左,スライダー,,6,1,見送,false,,,,,0,0,,
1,裏,0,1,1,false,false,false,石浦吉人,右,池邉由伸,左,ストレート,,2,3,ファール,false,,,,,0,0,,
1,裏,0,2,1,false,false,false,石浦吉人,右,池邉由伸,左,スライダー,,12,3,ボール,false,,,,,0,0,,
1,裏,1,2,1,false,false,false,石浦吉人,右,池邉由伸,左,スライダー,,11,3,ボール,false,,,,,0,0,,
1,裏,2,2,1,false,false,false,石浦吉人,右,池邉由伸,左,ストレート,,14,3,ボール,false,,,,,0,0,,
1,裏,3,2,1,false,false,false,石浦吉人,右,池邉由伸,左,ストレート,,11,2,インプレー,false,,二塁打,ライナー,左,0,0,,D7
1,裏,0,0,1,false,true,false,石浦吉人,右,佐藤隼太,右,スライダー,,9,1,見送,false,,,,,0,0,,
1,裏,0,1,1,false,true,false,石浦吉人,右,佐藤隼太,右,ストレート,,9,1,見送,false,,,,,0,0,,
1,裏,0,2,1,false,true,false,石浦吉人,右,佐藤隼太,右,カーブ,,12,1,ボール,false,,,,,0,0,,
1,裏,1,2,1,false,true,false,石浦吉人,右,佐藤隼太,右,フォーク,,14,1,ボール,false,,,,,0,0,,
1,裏,2,2,1,false,true,false,石浦吉人,右,佐藤隼太,右,ストレート,,3,1,ファール,false,,,,,0,0,,
1,裏,2,2,1,false,true,false,石浦吉人,右,佐藤隼太,右,フォーク,,12,1,ボール,false,,,,,0,0,,
1,裏,3,2,1,false,true,false,石浦吉人,右,佐藤隼太,右,ストレート,,6,1,ファール,false,,,,,0,0,,
1,裏,3,2,1,false,true,false,石浦吉人,右,佐藤隼太,右,ストレート,,12,1,ボール,false,四球,,,,0,0,,
1,裏,0,0,1,true,true,false,石浦吉人,右,犬塚康誠,右,ストレート,,12,1,ボール,false,,,,,0,0,,
1,裏,1,0,1,true,true,false,石浦吉人,右,犬塚康誠,右,ストレート,,13,1,ファール,false,,,,,0,0,,
1,裏,1,1,1,true,true,false,石浦吉人,右,犬塚康誠,右,ストレート,,3,1,インプレー,false,,凡打,フライ,右,1,0,,R5
1,裏,0,0,2,true,true,false,石浦吉人,右,伊藤航太,左,ストレート,,12,1,死球,false,,,,,0,0,,
1,裏,0,0,2,true,true,true,石浦吉人,右,大江陸斗,右,ストレート,,3,1,ファール,false,,,,,0,0,,
1,裏,0,1,2,true,true,true,石浦吉人,右,大江陸斗,右,ストレート,,9,1,見送,false,,,,,0,0,,
1,裏,0,2,2,true,true,true,石浦吉人,右,大江陸斗,右,ストレート,,14,1,ボール,false,,,,,0,0,,
1,裏,1,2,2,true,true,true,石浦吉人,右,大江陸斗,右,スライダー,,14,1,ボール,false,,,,,0,0,,
1,裏,2,2,2,true,true,true,石浦吉人,右,大江陸斗,右,ストレート,,12,1,ファール,false,,,,,0,0,,
1,裏,2,2,2,true,true,true,石浦吉人,右,大江陸斗,右,ストレート,,3,1,ファール,false,,,,,0,0,,
1,裏,2,2,2,true,true,true,石浦吉人,右,大江陸斗,右,ストレート,,12,1,ファール,false,,,,,0,0,,
1,裏,2,2,2,true,true,true,石浦吉人,右,大江陸斗,右,ストレート,,5,1,ファール,false,,,,,0,0,,
1,裏,2,2,2,true,true,true,石浦吉人,右,大江陸斗,右,カーブ,,3,1,ファール,false,,,,,0,0,,
1,裏,2,2,2,true,true,true,石浦吉人,右,大江陸斗,右,ストレート,,12,1,インプレー,false,,二塁打,フライ,右,0,3,,X7
1,裏,0,0,2,false,true,false,石浦吉人,右,山田久敬,左,ストレート,,14,3,ボール,false,,,,,0,0,,
