Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
1,表,0,0,0,false,false,false,蔵口　敦,右,藤井　陸,右,スライダー,,11,1,ボール,false,,,,,0,0,,
1,表,1,0,0,false,false,false,蔵口　敦,右,藤井　陸,右,ストレート,,8,1,空振,false,,,,,0,0,,
1,表,1,1,0,false,false,false,蔵口　敦,右,藤井　陸,右,チェンジ,,11,1,インプレー,false,,凡打,ゴロ,三,1,0,,
1,表,0,0,1,false,false,false,蔵口　敦,右,吉田悠河,左,,,0,0,見送,false,,,,,0,0,,
1,表,0,1,1,false,false,false,蔵口　敦,右,吉田悠河,左,ストレート,,6,3,インプレー,false,,単打,ライナー,右,0,0,,U5
1,表,0,0,1,true,false,false,蔵口　敦,右,彦田瑛太,右,スライダー,,11,1,ボール,false,,,,,0,0,,
1,表,1,0,1,true,false,false,蔵口　敦,右,彦田瑛太,右,カーブ,,8,1,見送,false,,,,,0,0,,
1,表,1,1,1,true,false,false,蔵口　敦,右,彦田瑛太,右,スライダー,,14,1,空振,false,,,,,0,0,,
1,表,1,2,1,true,false,false,蔵口　敦,右,彦田瑛太,右,スライダー,,14,1,ボール,false,,,,,0,0,,
1,表,2,2,1,true,false,false,蔵口　敦,右,彦田瑛太,右,スライダー,,14,1,空振,false,空三振,,,,1,0,,
1,表,0,0,2,false,false,true,蔵口　敦,右,大宗拓夢,右,スライダー,,14,1,空振,false,,,,,0,0,,
1,表,0,1,2,false,false,true,蔵口　敦,右,大宗拓夢,右,スライダー,,14,1,ボール,false,,,,,0,0,,
1,表,1,1,2,false,false,true,蔵口　敦,右,大宗拓夢,右,チェンジ,,14,1,空振,false,,,,,0,0,,
1,表,1,2,2,false,false,true,蔵口　敦,右,大宗拓夢,右,スライダー,,14,1,空振,false,空三振,,,,1,0,,
1,裏,0,0,0,false,false,false,山口蒼介,-,清水快真,-,ストレート,,13,3,ボール,false,,,,,0,0,,
1,裏,1,0,0,false,false,false,山口蒼介,右,清水快真,左,ストレート,,4,3,見送,false,,,,,0,0,,
1,裏,1,1,0,false,false,false,山口蒼介,右,清水快真,左,チェンジ,,13,3,ボール,false,,,,,0,0,,
1,裏,2,1,0,false,false,false,山口蒼介,右,清水快真,左,ストレート,,9,1,見送,false,,,,,0,0,,
1,裏,2,2,0,false,false,false,山口蒼介,右,清水快真,左,チェンジ,,6,1,インプレー,false,,二塁打,ライナー,右,0,0,,
1,裏,0,0,0,false,true,false,山口蒼介,右,細川太志,左,カーブ,,11,3,ボール,false,,,,,0,0,,
1,裏,1,0,0,false,true,false,山口蒼介,右,細川太志,左,ストレート,,2,3,インプレー,false,,犠打,ゴロ,三,1,0,,
1,裏,0,0,1,false,false,true,山口蒼介,右,中野心惇,右,カーブ,,9,1,ファール,false,,,,,0,0,,
1,裏,0,1,1,false,false,true,山口蒼介,右,中野心惇,右,カーブ,,3,1,インプレー,false,,凡打,ゴロ,二,1,1,,S2
1,裏,0,0,2,false,false,false,山口蒼介,右,山本翔士,左,カーブ,,11,3,ボール,false,,,,,0,0,,
1,裏,1,0,2,false,false,false,山口蒼介,右,山本翔士,左,ストレート,,13,3,ボール,false,,,,,0,0,,
1,裏,2,0,2,false,false,false,山口蒼介,右,山本翔士,左,ストレート,,1,3,インプレー,false,,単打,ゴロ,右,0,0,,T3
1,裏,0,0,2,false,false,false,山口蒼介,右,東元龍成,右,,,0,0,見送,false,,,,,0,0,,
1,裏,0,1,2,false,false,false,山口蒼介,右,東元龍成,右,,,0,0,ボール,false,,,,,0,0,,
1,裏,1,1,2,false,false,false,山口蒼介,右,東元龍成,右,カーブ,,8,1,空振,false,,,,,0,0,,
1,裏,1,2,2,false,false,false,山口蒼介,右,東元龍成,右,スライダー,,2,1,インプレー,false,,凡打,ゴロ,遊,1,0,,H3
2,表,0,0,0,false,false,false,蔵口　敦,右,悟道大和,右,チェンジ,,9,1,空振,false,,,,,0,0,,
2,表,0,1,0,false,false,false,蔵口　敦,右,悟道大和,右,ストレート,,2,1,空振,false,,,,,0,0,,
2,表,0,2,0,false,false,false,蔵口　敦,右,悟道大和,右,ストレート,,4,1,インプレー,false,,凡打,ゴロ,二,1,0,,U3
2,表,0,0,1,false,false,false,蔵口　敦,右,堤　悠一朗,左,チェンジ,,12,1,死球,false,,,,,0,0,,
2,表,0,0,1,true,false,false,蔵口　敦,右,岡本旺大,右,ストレート,,11,1,ボール,false,,,,,0,0,,
2,表,1,0,1,true,false,false,蔵口　敦,右,岡本旺大,右,ストレート,,3,1,インプレー,false,,失策,ゴロ,投,0,0,,N2
2,表,0,0,1,true,false,true,蔵口　敦,右,中野栞汰,左,ストレート,,11,3,ボール,false,,,,,0,0,,
2,表,1,0,1,true,false,true,蔵口　敦,右,中野栞汰,左,ストレート,,2,1,見送,false,,,,,0,0,,
2,表,1,1,1,true,false,true,蔵口　敦,右,中野栞汰,左,ストレート,,12,1,空振,false,,,,,1,0,,
2,表,1,2,2,false,true,false,蔵口　敦,右,中野栞汰,左,ストレート,,12,1,ファール,false,,,,,0,0,,
2,表,1,2,2,false,true,false,蔵口　敦,右,中野栞汰,左,ストレート,,13,3,ボール,false,,,,,0,0,,
2,表,2,2,2,false,true,false,蔵口　敦,右,中野栞汰,左,ストレート,,12,1,空振,false,空三振,,,,1,0,,
2,裏,0,0,0,false,false,false,山口蒼介,右,苅安　陸,右,ストレート,,13,1,ボール,false,,,,,0,0,,
2,裏,1,0,0,false,false,false,山口蒼介,右,苅安　陸,右,ストレート,,11,1,ボール,false,,,,,0,0,,
2,裏,2,0,0,false,false,false,山口蒼介,右,苅安　陸,右,カット,,4,1,インプレー,false,,凡打,ゴロ,遊,1,0,,G3
2,裏,0,0,1,false,false,false,山口蒼介,右,架谷　岳,右,カーブ,,14,1,ボール,false,,,,,0,0,,
2,裏,1,0,1,false,false,false,山口蒼介,右,架谷　岳,右,スライダー,,3,1,空振,false,,,,,0,0,,
2,裏,1,1,1,false,false,false,山口蒼介,右,架谷　岳,右,ストレート,,14,1,ボール,false,,,,,0,0,,
2,裏,2,1,1,false,false,false,山口蒼介,右,架谷　岳,右,スライダー,,7,1,見送,false,,,,,0,0,,
2,裏,2,2,1,false,false,false,山口蒼介,右,架谷　岳,右,カーブ,,11,3,ボール,false,,,,,0,0,,
2,裏,3,2,1,false,false,false,山口蒼介,右,架谷　岳,右,ストレート,,8,1,インプレー,false,,単打,ゴロ,中,0,0,,N3
2,裏,0,0,1,true,false,false,山口蒼介,右,小川　剣,左,チェンジ,,1,3,見送,false,,,,,0,0,,
2,裏,0,1,1,true,false,false,山口蒼介,右,小川　剣,左,,,0,3,牽制,false,,,,,0,0,,
2,裏,0,1,1,true,false,false,山口蒼介,右,小川　剣,左,ストレート,,1,1,ファール,false,,,,,0,0,,
2,裏,0,2,1,true,false,false,山口蒼介,右,小川　剣,左,チェンジ,,14,3,ボール,false,,,,,0,0,,
2,裏,1,2,1,true,false,false,山口蒼介,右,小川　剣,左,ストレート,,11,3,ファール,false,,,,,0,0,,
2,裏,1,2,1,true,false,false,山口蒼介,右,小川　剣,左,カーブ,,2,2,ファール,false,,,,,0,0,,
2,裏,1,2,1,true,false,false,山口蒼介,右,小川　剣,左,ストレート,,4,3,ファール,false,,,,,0,0,,
2,裏,1,2,1,true,false,false,山口蒼介,右,小川　剣,左,チェンジ,,7,3,インプレー,false,,凡打,ゴロ,三,1,0,,D2
2,裏,0,0,2,true,false,false,山口蒼介,右,前谷内琉斗,左,チェンジ,,11,3,ボール,false,,,,,0,0,,
2,裏,1,0,2,true,false,false,山口蒼介,右,前谷内琉斗,左,ストレート,,11,1,ファール,false,,,,,0,0,,
2,裏,1,1,2,true,false,false,山口蒼介,右,前谷内琉斗,左,,,0,3,牽制,false,,,,,0,0,,
2,裏,1,1,2,true,false,false,山口蒼介,右,前谷内琉斗,左,チェンジ,,7,3,見送,false,,,,,0,0,,
2,裏,1,2,2,true,false,false,山口蒼介,右,前谷内琉斗,左,ストレート,,11,3,ボール,false,,,,,0,0,,
2,裏,2,2,2,false,true,false,山口蒼介,右,前谷内琉斗,左,スライダー,,14,3,ボール,false,,,,,0,0,,
