Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
1,表,0,0,0,false,false,false,濵名壱晴,右,渡部千博,左,ストレート,,11,1,ボール,false,,,,,0,0,,
1,表,1,0,0,false,false,false,濵名壱晴,右,渡部千博,左,ストレート,,1,1,ファール,false,,,,,0,0,,
1,表,1,1,0,false,false,false,濵名壱晴,右,渡部千博,左,スライダー,,1,1,見送,false,,,,,0,0,,
1,表,1,2,0,false,false,false,濵名壱晴,右,渡部千博,左,ストレート,,13,3,ボール,false,,,,,0,0,,
1,表,2,2,0,false,false,false,濵名壱晴,右,渡部千博,左,ストレート,,11,1,ボール,false,,,,,0,0,,
1,表,3,2,0,false,false,false,濵名壱晴,右,渡部千博,左,ストレート,,2,1,ファール,false,,,,,0,0,,
1,表,3,2,0,false,false,false,濵名壱晴,右,渡部千博,左,ストレート,,14,1,ボール,false,四球,,,,0,0,,
1,表,0,0,0,true,false,false,濵名壱晴,右,池邉由伸,左,ストレート,,5,1,見送,false,,,,,0,0,,
1,表,0,1,0,true,false,false,濵名壱晴,右,池邉由伸,左,,,0,1,牽制,false,,,,,0,0,,
1,表,0,1,0,true,false,false,濵名壱晴,右,池邉由伸,左,スライダー,,6,1,見送,false,,,,,0,0,,
1,表,0,2,0,true,false,false,濵名壱晴,右,池邉由伸,左,ストレート,,7,1,インプレー,false,,凡打,ゴロ,二,1,0,,
1,表,0,0,1,false,true,false,濵名壱晴,右,佐藤隼太,右,スライダー,,14,1,ボール,false,,,,,0,0,,
1,表,1,0,1,false,true,false,濵名壱晴,右,佐藤隼太,右,ストレート,,2,3,空振,false,,,,,0,0,,
1,表,1,1,1,false,true,false,濵名壱晴,右,佐藤隼太,右,ストレート,,13,3,ボール,false,,,,,0,0,,
1,表,2,1,1,false,true,false,濵名壱晴,右,佐藤隼太,右,スライダー,,1,1,見送,false,,,,,0,0,,
1,表,2,2,1,false,true,false,濵名壱晴,右,佐藤隼太,右,ストレート,,14,1,ボール,false,,,,,0,0,,
1,表,3,2,1,false,true,false,濵名壱晴,右,佐藤隼太,右,ストレート,,2,1,インプレー,false,,凡打,フライ,三,1,0,,
1,表,0,0,2,false,true,false,濵名壱晴,右,小谷真斗,左,スライダー,,13,3,ボール,false,,,,,0,0,,
1,表,1,0,2,false,true,false,濵名壱晴,右,小谷真斗,左,スライダー,,14,1,ボール,false,,,,,0,0,,
1,表,2,0,2,false,true,false,濵名壱晴,右,小谷真斗,左,ストレート,,12,1,ボール,false,,,,,0,0,,
1,表,3,0,2,false,true,false,濵名壱晴,右,小谷真斗,左,ストレート,,4,1,見送,false,,,,,0,0,,
1,表,3,1,2,false,true,false,濵名壱晴,右,小谷真斗,左,スライダー,,14,2,ボール,false,四球,,,,0,0,,
1,表,0,0,2,true,true,false,濵名壱晴,右,野口恭平,左,ストレート,,11,1,ボール,false,,,,,0,0,,
1,表,1,0,2,true,true,false,濵名壱晴,右,野口恭平,左,フォーク,,7,1,見送,false,,,,,0,0,,
1,表,1,1,2,true,true,false,濵名壱晴,右,野口恭平,左,スライダー,,13,1,ボール,false,,,,,0,0,,
1,表,2,1,2,true,true,false,濵名壱晴,右,野口恭平,左,ストレート,,11,1,ボール,false,,,,,0,0,,
1,表,3,1,2,true,true,false,濵名壱晴,右,野口恭平,左,ストレート,,4,1,見送,false,,,,,0,0,,
1,表,3,2,2,true,true,false,濵名壱晴,右,野口恭平,左,ストレート,,13,1,ボール,false,四球,,,,0,0,,
1,表,0,0,2,true,true,true,濵名壱晴,右,大江陸斗,右,ストレート,,12,1,ボール,false,,,,,0,0,,
1,表,1,0,2,true,true,true,濵名壱晴,右,大江陸斗,右,ストレート,,9,1,ファール,false,,,,,0,0,,
1,表,1,1,2,true,true,true,濵名壱晴,右,大江陸斗,右,ストレート,,4,3,インプレー,false,,凡打,ゴロ,遊,1,0,,I3
1,裏,0,0,0,false,false,false,向嶋大輔,右,山本優人,右,ストレート,,14,1,ボール,false,,,,,0,0,,
1,裏,1,0,0,false,false,false,向嶋大輔,右,山本優人,右,ストレート,,13,1,ボール,false,,,,,0,0,,
1,裏,2,0,0,false,false,false,向嶋大輔,右,山本優人,右,ストレート,,11,1,インプレー,false,,凡打,ゴロ,遊,1,0,,G3
1,裏,0,0,1,false,false,false,向嶋大輔,右,竹田龍汰,右,ストレート,,12,1,ボール,false,,,,,0,0,,
1,裏,1,0,1,false,false,false,向嶋大輔,右,竹田龍汰,右,ストレート,,14,1,ボール,false,,,,,0,0,,
1,裏,2,0,1,false,false,false,向嶋大輔,右,竹田龍汰,右,ストレート,,13,1,ボール,false,,,,,0,0,,
1,裏,3,0,1,false,false,false,向嶋大輔,右,竹田龍汰,右,ストレート,,14,1,ボール,false,四球,,,,0,0,,
1,裏,0,0,1,true,false,false,向嶋大輔,右,道下柚希,左,ストレート,,8,3,空振,false,,,,,0,0,,
1,裏,0,1,1,true,false,false,向嶋大輔,右,道下柚希,左,ストレート,,7,3,見送,false,,,,,0,0,,
1,裏,0,2,1,true,false,false,向嶋大輔,右,道下柚希,左,ストレート,,7,3,ファール,false,,,,,0,0,,
1,裏,0,2,1,true,false,false,向嶋大輔,右,道下柚希,左,,,0,2,牽制,false,,,,,0,0,,
1,裏,0,2,1,true,false,false,向嶋大輔,右,道下柚希,左,ストレート,,11,3,ボール,false,,,,,0,0,,
1,裏,1,2,1,true,false,false,向嶋大輔,右,道下柚希,左,ストレート,,12,1,ボール,false,,,,,0,0,,
1,裏,2,2,1,true,false,false,向嶋大輔,右,道下柚希,左,ストレート,,7,3,ファール,false,,,,,0,0,,
1,裏,2,2,1,true,false,false,向嶋大輔,右,道下柚希,左,カット,,1,3,インプレー,false,,凡打,フライ,二,1,0,,
1,裏,0,0,2,true,false,false,向嶋大輔,右,加納誠琉,右,ストレート,,11,1,ボール,false,,,,,0,0,,
1,裏,1,0,2,true,false,false,向嶋大輔,右,加納誠琉,右,ストレート,,8,1,見送,false,,,,,0,0,,
1,裏,1,1,2,true,false,false,向嶋大輔,右,加納誠琉,右,ストレート,,12,1,ボール,false,,,,,0,0,,
1,裏,2,1,2,true,false,false,向嶋大輔,右,加納誠琉,右,ストレート,,11,1,ボール,false,,,,,0,0,,
1,裏,3,1,2,true,false,false,向嶋大輔,右,加納誠琉,右,ストレート,,11,1,ボール,false,四球,,,,0,0,,
1,裏,0,0,2,true,true,false,向嶋大輔,右,相上征士郎,右,ストレート,,9,1,ファール,false,,,,,0,0,,
