Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
1,表,0,0,0,false,false,false,藤川泰斗,左,多賀健渡,右,ストレート,,1,3,ファール,false,,,,,0,0,,
1,表,0,1,0,false,false,false,藤川泰斗,左,多賀健渡,右,ストレート,,12,1,ボール,false,,,,,0,0,,
1,表,1,1,0,false,false,false,藤川泰斗,左,多賀健渡,右,ストレート,,6,1,ファール,false,,,,,0,0,,
1,表,1,2,0,false,false,false,藤川泰斗,左,多賀健渡,右,ストレート,,12,1,ボール,false,,,,,0,0,,
1,表,2,2,0,false,false,false,藤川泰斗,左,多賀健渡,右,スライダー,,13,3,ボール,false,,,,,0,0,,
1,表,3,2,0,false,false,false,藤川泰斗,左,多賀健渡,右,ストレート,,8,3,ファール,false,,,,,0,0,,
1,表,3,2,0,false,false,false,藤川泰斗,左,多賀健渡,右,ストレート,,7,3,ファール,false,,,,,0,0,,
1,表,3,2,0,false,false,false,藤川泰斗,左,多賀健渡,右,ストレート,,6,3,空振,false,空三振,,,,1,0,,
1,表,0,0,1,false,false,false,藤川泰斗,左,吉田悠河,左,ストレート,,6,3,見送,false,,,,,0,0,,
1,表,0,1,1,false,false,false,藤川泰斗,左,吉田悠河,左,ストレート,,13,3,ボール,false,,,,,0,0,,
1,表,1,1,1,false,false,false,藤川泰斗,左,吉田悠河,左,ストレート,,7,3,見送,false,,,,,0,0,,
1,表,1,2,1,false,false,false,藤川泰斗,左,吉田悠河,左,ストレート,,5,3,ファール,false,,,,,0,0,,
1,表,1,2,1,false,false,false,藤川泰斗,左,吉田悠河,左,スライダー,,11,3,空振,false,空三振,,,,1,0,,
1,表,0,0,2,false,false,false,藤川泰斗,左,藤井　陸,右,ストレート,,12,3,ボール,false,,,,,0,0,,
1,表,1,0,2,false,false,false,藤川泰斗,左,藤井　陸,右,ストレート,,7,3,見送,false,,,,,0,0,,
1,表,1,1,2,false,false,false,藤川泰斗,左,藤井　陸,右,ストレート,,12,3,空振,false,,,,,0,0,,
1,表,1,2,2,false,false,false,藤川泰斗,左,藤井　陸,右,チェンジ,,2,1,インプレー,false,,単打,ゴロ,左,0,0,,G3
1,表,0,0,2,true,false,false,藤川泰斗,左,大宗拓夢,右,ストレート,,13,3,ボール,false,,,,,0,0,,
1,表,1,0,2,true,false,false,藤川泰斗,左,大宗拓夢,右,ストレート,,9,3,空振,false,,,,,0,0,,
1,表,1,1,2,true,false,false,藤川泰斗,左,大宗拓夢,右,ストレート,,6,3,インプレー,false,,凡打,ゴロ,遊,1,0,,I3
1,裏,0,0,0,false,false,false,吉田唯登,右,渡部千博,左,ストレート,,13,3,ボール,false,,,,,0,0,,
1,裏,1,0,0,false,false,false,吉田唯登,右,渡部千博,左,ストレート,,12,3,ボール,false,,,,,0,0,,
1,裏,2,0,0,false,false,false,吉田唯登,右,渡部千博,左,ストレート,,14,3,ボール,false,,,,,0,0,,
1,裏,3,0,0,false,false,false,吉田唯登,右,渡部千博,左,ストレート,,4,0,見送,false,,,,,0,0,,
1,裏,3,1,0,false,false,false,吉田唯登,右,渡部千博,左,ストレート,,4,3,見送,false,,,,,0,0,,
1,裏,3,2,0,false,false,false,吉田唯登,右,渡部千博,左,ストレート,,4,3,空振,false,空三振,,,,1,0,,
1,裏,0,0,1,false,false,false,吉田唯登,右,池邉由伸,左,シュート,,7,3,見送,false,,,,,0,0,,
1,裏,0,1,1,false,false,false,吉田唯登,右,池邉由伸,左,スライダー,,11,0,ボール,false,,,,,0,0,,
1,裏,1,1,1,false,false,false,吉田唯登,右,池邉由伸,左,ストレート,,14,0,ボール,false,,,,,0,0,,
1,裏,2,1,1,false,false,false,吉田唯登,右,池邉由伸,左,ストレート,,5,3,インプレー,false,,単打,ゴロ,中,0,0,,N3
1,裏,0,0,1,true,false,false,吉田唯登,右,佐藤隼太,右,スライダー,,6,1,見送,false,,,,,0,0,,
1,裏,0,1,1,true,false,false,吉田唯登,右,佐藤隼太,右,ストレート,,2,1,インプレー,false,,凡打,フライ,中,1,0,,J7
1,裏,0,0,2,false,true,false,吉田唯登,右,髙松紳志,左,ストレート,,13,3,ボール,false,,,,,0,0,,
1,裏,1,0,2,false,true,false,吉田唯登,右,髙松紳志,左,ストレート,,7,3,インプレー,false,,凡打,ゴロ,二,1,0,,S3
2,表,0,0,0,false,false,false,藤川泰斗,左,悟道大和,右,ストレート,,14,1,ボール,false,,,,,0,0,,
2,表,1,0,0,false,false,false,藤川泰斗,左,悟道大和,右,シュート,,8,2,見送,false,,,,,0,0,,
2,表,1,1,0,false,false,false,藤川泰斗,左,悟道大和,右,ストレート,,9,0,空振,false,,,,,0,0,,
2,表,1,2,0,false,false,false,藤川泰斗,左,悟道大和,右,ストレート,,14,1,空振,false,空三振,,,,1,0,,
2,表,0,0,1,false,false,false,藤川泰斗,左,堤　悠一朗,左,ストレート,,5,3,見送,false,,,,,0,0,,
2,表,0,1,1,false,false,false,藤川泰斗,左,堤　悠一朗,左,ストレート,,6,3,ボール,false,,,,,0,0,,
2,表,1,1,1,false,false,false,藤川泰斗,左,堤　悠一朗,左,ストレート,,4,3,インプレー,false,,凡打,ゴロ,三,1,0,,D2
2,表,0,0,2,false,false,false,藤川泰斗,左,彦田瑛太,右,ストレート,,11,3,ボール,false,,,,,0,0,,
2,表,1,0,2,false,false,false,藤川泰斗,左,彦田瑛太,右,ストレート,,12,3,ファール,false,,,,,0,0,,
2,表,1,1,2,false,false,false,藤川泰斗,左,彦田瑛太,右,スライダー,,12,3,ボール,false,,,,,0,0,,
2,表,2,1,2,false,false,false,藤川泰斗,左,彦田瑛太,右,ストレート,,12,3,ボール,false,,,,,0,0,,
2,表,3,1,2,false,false,false,藤川泰斗,左,彦田瑛太,右,ストレート,,12,3,空振,false,,,,,0,0,,
2,表,3,2,2,false,false,false,藤川泰斗,左,彦田瑛太,右,ストレート,,2,0,インプレー,false,,凡打,フライ,遊,1,0,,H4
2,裏,0,0,0,false,false,false,吉田唯登,右,野口恭平,左,スライダー,,7,3,見送,false,,,,,0,0,,
2,裏,0,1,0,false,false,false,吉田唯登,右,野口恭平,左,ストレート,,13,3,ボール,false,,,,,0,0,,
2,裏,1,1,0,false,false,false,吉田唯登,右,野口恭平,左,フォーク,,13,0,ボール,false,,,,,0,0,,
2,裏,2,1,0,false,false,false,吉田唯登,右,野口恭平,左,ストレート,,4,3,空振,false,,,,,0,0,,
2,裏,2,2,0,false,false,false,吉田唯登,右,野口恭平,左,シュート,,11,3,インプレー,false,,失策,ゴロ,投,0,0,,N2
2,裏,0,0,0,false,false,true,吉田唯登,右,山田久敬,左,ストレート,,3,3,ファール,false,,,,,0,0,,
2,裏,0,1,0,false,false,true,吉田唯登,右,山田久敬,左,ストレート,,14,1,ボール,false,,,,,0,0,,
2,裏,1,1,0,false,false,true,吉田唯登,右,山田久敬,左,ストレート,,3,1,ファール,false,,,,,0,0,,
2,裏,1,2,0,false,false,true,吉田唯登,右,山田久敬,左,ストレート,,13,3,ボール,false,,,,,0,0,,
2,裏,2,2,0,false,false,true,吉田唯登,右,山田久敬,左,ストレート,,12,1,ファール,false,,,,,0,0,,
2,裏,2,2,0,false,false,true,吉田唯登,右,山田久敬,左,ストレート,,5,1,インプレー,false,,犠飛,フライ,中,1,1,,K6
2,裏,0,0,1,false,false,false,吉田唯登,右,大江陸斗,右,スライダー,,1,1,ファール,false,,,,,0,0,,
2,裏,0,1,1,false,false,false,吉田唯登,右,大江陸斗,右,ストレート,,14,1,ボール,false,,,,,0,0,,
2,裏,1,1,1,false,false,false,吉田唯登,右,大江陸斗,右,ストレート,,3,1,ファール,false,,,,,0,0,,
2,裏,1,2,1,false,false,false,吉田唯登,右,大江陸斗,右,スライダー,,11,1,ファール,false,,,,,0,0,,
2,裏,1,2,1,false,false,false,吉田唯登,右,大江陸斗,右,ストレート,,5,3,インプレー,false,,凡打,ゴロ,二,1,0,,P3
2,裏,0,0,2,false,false,false,吉田唯登,右,伊藤航太,左,フォーク,,7,3,見送,false,,,,,0,0,,
2,裏,0,1,2,false,false,false,吉田唯登,右,伊藤航太,左,スライダー,,2,0,インプレー,false,,単打,ゴロ,中,0,0,,L3
2,裏,0,0,2,true,false,false,吉田唯登,右,山川宗慶,右,ストレート,,5,1,見送,false,,,,,0,0,,
