Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
1,表,0,1,0,false,false,false,山口蒼介,右,渡部千博,左,ストレート,,4,0,ファール,false,,,,,0,0,,
1,表,0,2,0,false,false,false,山口蒼介,右,渡部千博,左,ストレート,,7,0,ファール,false,,,,,0,0,,
1,表,0,2,0,false,false,false,山口蒼介,右,渡部千博,左,ストレート,,11,0,ボール,false,,,,,0,0,,
1,表,1,2,0,false,false,false,山口蒼介,右,渡部千博,左,ストレート,,13,0,インプレー,false,,失策,ゴロ,遊,1,0,,J3
1,表,0,0,0,true,false,false,山口蒼介,右,池邉由伸,左,ストレート,,11,0,ボール,false,,,,,0,0,,
1,表,1,0,0,true,false,false,山口蒼介,右,池邉由伸,左,ストレート,,1,0,見送,false,,,,,0,0,,
1,表,1,1,0,false,true,false,山口蒼介,右,池邉由伸,左,フォーク,,13,0,ボール,false,,,,,0,0,,
1,表,2,1,0,false,false,true,山口蒼介,右,池邉由伸,左,スライダー,,7,0,見送,false,,,,,0,0,,
1,表,2,2,0,false,false,true,山口蒼介,右,池邉由伸,左,ストレート,,11,0,ファール,false,,,,,0,0,,
1,表,2,2,0,false,false,true,山口蒼介,右,池邉由伸,左,スライダー,,7,0,インプレー,false,,犠飛,フライ,中,1,1,,K5
1,表,0,0,1,false,false,false,山口蒼介,右,佐藤隼太,右,スライダー,,11,0,ボール,false,,,,,0,0,,
1,表,1,0,1,false,false,false,山口蒼介,右,佐藤隼太,右,ストレート,,11,0,ボール,false,,,,,0,0,,
1,表,2,0,1,false,false,false,山口蒼介,右,佐藤隼太,右,ストレート,,3,0,見送,false,,,,,0,0,,
1,表,2,1,1,false,false,false,山口蒼介,右,佐藤隼太,右,チェンジ,,7,0,見送,false,,,,,0,0,,
1,表,2,2,1,false,false,false,山口蒼介,右,佐藤隼太,右,スライダー,,14,0,ボール,false,,,,,0,0,,
1,表,3,2,1,false,false,false,山口蒼介,右,佐藤隼太,右,ストレート,,12,0,インプレー,false,,単打,ゴロ,遊,0,0,,G3
1,表,0,0,1,true,false,false,山口蒼介,右,髙松紳志,左,ストレート,,11,0,ボール,false,,,,,0,0,,
1,表,1,0,1,false,true,false,山口蒼介,右,髙松紳志,左,ストレート,,14,0,ボール,false,,,,,0,0,,
1,表,2,0,1,false,true,false,山口蒼介,右,髙松紳志,左,ストレート,,5,0,インプレー,false,,三塁打,ライナー,右,0,1,,T6
1,表,0,0,1,false,false,true,山口蒼介,右,伊藤航太,左,スライダー,,7,0,見送,false,,,,,0,0,,
1,表,0,1,1,false,false,true,山口蒼介,右,伊藤航太,左,ストレート,,1,0,インプレー,false,,犠飛,フライ,左,1,1,,G5
1,表,0,0,2,false,false,false,山口蒼介,右,野口恭平,左,スライダー,,7,0,見送,false,,,,,0,0,,
1,表,0,1,2,false,false,false,山口蒼介,右,野口恭平,左,ストレート,,7,0,見送,false,,,,,0,0,,
1,表,0,2,2,false,false,false,山口蒼介,右,野口恭平,左,フォーク,,14,0,ボール,false,,,,,0,0,,
1,表,1,2,2,false,false,false,山口蒼介,右,野口恭平,左,スライダー,,7,0,インプレー,false,,凡打,ゴロ,三,1,0,,E2
1,裏,0,0,0,false,false,false,中本伸太朗,右,多賀健渡,右,ストレート,,2,0,空振,false,,,,,0,0,,
1,裏,0,1,0,false,false,false,中本伸太朗,右,多賀健渡,右,ストレート,,12,0,ボール,false,,,,,0,0,,
1,裏,1,1,0,false,false,false,中本伸太朗,右,多賀健渡,右,ストレート,,3,0,インプレー,false,,凡打,ライナー,右,1,0,,T5
1,裏,0,0,1,false,false,false,中本伸太朗,右,吉田悠河,左,カーブ,,7,0,見送,false,,,,,0,0,,
1,裏,0,1,1,false,false,false,中本伸太朗,右,吉田悠河,左,ストレート,,8,0,ファール,false,,,,,0,0,,
1,裏,0,2,1,false,false,false,中本伸太朗,右,吉田悠河,左,ストレート,,4,0,ファール,false,,,,,0,0,,
