Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
1,表,0,0,0,false,false,false,仙石力也,右,山本優人,右,ストレート,,8,0,見送,false,,,,,0,0,,
1,表,0,1,0,false,false,false,仙石力也,右,山本優人,右,ストレート,,5,0,インプレー,false,,凡打,ライナー,投,1,0,,N2
1,表,0,0,1,false,false,false,仙石力也,右,竹田龍汰,右,チェンジ,,14,0,ボール,false,,,,,0,0,,
1,表,0,0,1,false,false,false,仙石力也,右,竹田龍汰,右,チェンジ,,14,0,ボール,false,,,,,0,0,,
1,表,1,0,1,false,false,false,仙石力也,右,竹田龍汰,右,ストレート,,6,0,インプレー,false,,凡打,ゴロ,三,1,0,,D2
1,表,0,0,2,false,false,false,仙石力也,右,道下柚希,左,ストレート,,7,0,見送,false,,,,,0,0,,
1,表,0,1,2,false,false,false,仙石力也,右,道下柚希,左,ストレート,,13,0,ボール,false,,,,,0,0,,
1,表,1,1,2,false,false,false,仙石力也,右,道下柚希,左,スライダー,,6,0,インプレー,false,,凡打,ライナー,一,1,0,,X2
1,裏,0,0,0,false,false,false,濵名壱晴,右,藤田海輝,右,ストレート,,13,0,ボール,false,,,,,0,0,,
1,裏,1,0,0,false,false,false,濵名壱晴,右,藤田海輝,右,ストレート,,14,0,ボール,false,,,,,0,0,,
1,裏,2,0,0,false,false,false,濵名壱晴,右,藤田海輝,右,ストレート,,4,0,インプレー,false,,凡打,ゴロ,遊,1,0,,I3
1,裏,0,0,1,false,false,false,濵名壱晴,右,唐澤　旬,左,スライダー,,13,0,ボール,false,,,,,0,0,,
1,裏,1,0,1,false,false,false,濵名壱晴,右,唐澤　旬,左,ストレート,,7,0,見送,false,,,,,0,0,,
1,裏,1,1,1,false,false,false,濵名壱晴,右,唐澤　旬,左,ストレート,,9,0,インプレー,false,,単打,フライ,左,0,0,,J4
1,裏,0,0,1,false,false,false,濵名壱晴,右,中村康太,右,ストレート,,6,0,インプレー,false,,凡打,ゴロ,遊,1,0,,L2
1,裏,0,0,2,false,false,false,濵名壱晴,右,亀澤祐貴,右,スライダー,,5,0,見送,false,,,,,0,0,,
1,裏,0,0,2,false,false,false,濵名壱晴,右,亀澤祐貴,右,スライダー,,5,0,見送,false,,,,,0,0,,
1,裏,0,1,2,false,false,false,濵名壱晴,右,亀澤祐貴,右,ストレート,,6,0,インプレー,false,,単打,ゴロ,右,1,0,,V3
2,表,0,0,0,false,false,false,仙石力也,右,加納誠琉,右,ストレート,,14,0,ボール,false,,,,,0,0,,
2,表,1,0,0,false,false,false,仙石力也,右,加納誠琉,右,ストレート,,14,2,ボール,false,,,,,0,0,,
2,表,2,0,0,false,false,false,仙石力也,右,加納誠琉,右,ストレート,,4,0,ファール,false,,,,,0,0,,
2,表,2,1,0,false,false,false,仙石力也,右,加納誠琉,右,チェンジ,,7,0,見送,false,,,,,0,0,,
2,表,2,2,0,false,false,false,仙石力也,右,加納誠琉,右,チェンジ,,8,0,空振,false,空三振,,,,1,0,,
2,表,0,0,1,false,false,false,仙石力也,右,相上征士郎,右,チェンジ,,13,0,ボール,false,,,,,0,0,,
2,表,1,0,1,false,false,false,仙石力也,右,相上征士郎,右,ストレート,,14,0,ボール,false,,,,,0,0,,
2,表,2,0,1,false,false,false,仙石力也,右,相上征士郎,右,ストレート,,13,0,ボール,false,,,,,0,0,,
2,表,3,0,1,false,false,false,仙石力也,右,相上征士郎,右,ストレート,,13,0,ボール,false,四球,,,,0,0,,
2,表,0,0,1,false,false,false,仙石力也,右,藤浦未来洋,右,チェンジ,,5,0,見送,false,,,,,0,0,,
2,表,0,1,1,false,false,false,仙石力也,右,藤浦未来洋,右,ストレート,,7,0,ファール,false,,,,,0,0,,
2,表,0,2,1,false,false,false,仙石力也,右,藤浦未来洋,右,スライダー,,6,0,見送,false,見三振,,,,1,0,,
2,表,0,0,2,false,false,false,仙石力也,右,林　恭太郎,右,スライダー,,6,0,見送,false,,,,,0,0,,
2,表,0,1,2,false,false,false,仙石力也,右,林　恭太郎,右,ストレート,,9,0,ファール,false,,,,,0,0,,
2,表,0,2,2,false,false,false,仙石力也,右,林　恭太郎,右,ストレート,,12,0,ボール,false,,,,,0,0,,
2,表,1,2,2,false,false,false,仙石力也,右,林　恭太郎,右,スライダー,,9,0,空振,false,空三振,,,,1,0,,
2,裏,0,0,0,false,false,false,濵名壱晴,右,植松健太,左,ストレート,,9,0,見送,false,,,,,0,0,,
2,裏,0,1,0,false,false,false,濵名壱晴,右,植松健太,左,ストレート,,6,0,インプレー,false,,単打,ライナー,右,0,0,,V4
2,裏,0,0,0,false,false,false,濵名壱晴,右,久保田大成,右,スライダー,,12,0,ボール,false,,,,,0,0,,
2,裏,0,0,0,false,false,false,濵名壱晴,右,久保田大成,右,スライダー,,12,0,ボール,false,,,,,0,0,,
2,裏,1,0,0,false,false,false,濵名壱晴,右,久保田大成,右,,,0,0,インプレー,false,,単打,ゴロ,一,0,0,,X2
