Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
1,表,0,0,0,false,false,false,吉野京士郎,右,吉田悠河,左,ストレート,,6,0,ファール,false,,,,,0,0,,
1,表,0,1,0,false,false,false,吉野京士郎,右,吉田悠河,左,ストレート,,13,0,ボール,false,,,,,0,0,,
1,表,1,1,0,false,false,false,吉野京士郎,右,吉田悠河,左,ストレート,,6,0,ファール,false,,,,,0,0,,
1,表,1,2,0,false,false,false,吉野京士郎,右,吉田悠河,左,ストレート,,13,0,ボール,false,,,,,0,0,,
1,表,2,2,0,false,false,false,吉野京士郎,右,吉田悠河,左,ストレート,,7,0,インプレー,false,,凡打,ライナー,遊,1,0,,F3
1,表,0,0,1,false,false,false,吉野京士郎,右,中野栞汰,左,ストレート,,5,0,見送,false,,,,,0,0,,
1,表,0,1,1,false,false,false,吉野京士郎,右,中野栞汰,左,ストレート,,13,0,ボール,false,,,,,0,0,,
1,表,1,1,1,false,false,false,吉野京士郎,右,中野栞汰,左,ストレート,,2,0,ファール,false,,,,,0,0,,
1,表,1,2,1,false,false,false,吉野京士郎,右,中野栞汰,左,ストレート,,13,0,ボール,false,,,,,0,0,,
1,表,2,2,1,false,false,false,吉野京士郎,右,中野栞汰,左,ストレート,,4,0,インプレー,false,,失策,ゴロ,三,0,0,,D2
1,表,0,0,1,true,false,false,吉野京士郎,右,多賀健渡,右,スライダー,,6,0,見送,false,,,,,0,0,,
1,表,0,1,1,true,false,false,吉野京士郎,右,多賀健渡,右,ストレート,,14,0,ボール,false,,,,,0,0,,
1,表,1,1,1,true,false,false,吉野京士郎,右,多賀健渡,右,ストレート,,5,0,ファール,false,,,,,0,0,,
