Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
1,表,0,0,0,false,false,false,野﨑勇一郎,右,伊藤航太,左,ストレート,,7,0,見送,false,,,,,0,0,,
1,表,0,1,0,false,false,false,野﨑勇一郎,右,伊藤航太,左,ストレート,,8,0,見送,false,,,,,0,0,,
1,表,0,2,0,false,false,false,野﨑勇一郎,右,伊藤航太,左,スライダー,,13,0,ボール,false,,,,,0,0,,
1,表,1,2,0,false,false,false,野﨑勇一郎,右,伊藤航太,左,ストレート,,6,0,インプレー,false,,単打,ゴロ,右,0,0,,U3
1,表,0,0,0,true,false,false,野﨑勇一郎,右,池邉由伸,左,ストレート,,5,0,見送,false,,,,,0,0,,
1,表,0,1,0,true,false,false,野﨑勇一郎,右,池邉由伸,左,チェンジ,,7,0,見送,false,,,,,0,0,,
1,表,0,2,0,true,false,false,野﨑勇一郎,右,池邉由伸,左,ストレート,,6,0,ファール,false,,,,,0,0,,
1,表,0,2,0,true,false,false,野﨑勇一郎,右,池邉由伸,左,チェンジ,,11,0,インプレー,false,,凡打,フライ,中,1,0,,K7
1,表,0,0,1,true,false,false,野﨑勇一郎,右,佐藤隼太,右,チェンジ,,9,0,空振,false,,,,,0,0,,
1,表,0,1,1,true,false,false,野﨑勇一郎,右,佐藤隼太,右,ストレート,,14,0,ボール,false,,,,,0,0,,
1,表,1,1,1,true,false,false,野﨑勇一郎,右,佐藤隼太,右,ストレート,,9,1,インプレー,false,,単打,ゴロ,右,0,0,,V3
1,表,0,0,1,true,true,false,野﨑勇一郎,右,髙松紳志,左,チェンジ,,4,0,見送,false,,,,,0,0,,
1,表,0,1,1,true,true,false,野﨑勇一郎,右,髙松紳志,左,ストレート,,13,3,ボール,false,,,,,0,0,,
1,表,1,1,1,true,true,false,野﨑勇一郎,右,髙松紳志,左,カーブ,,14,0,ボール,false,,,,,0,0,,
1,表,2,1,1,true,true,false,野﨑勇一郎,右,髙松紳志,左,ストレート,,14,0,ボール,false,,,,,0,0,,
1,表,3,1,1,true,true,false,野﨑勇一郎,右,髙松紳志,左,ストレート,,14,0,ボール,false,四球,,,,0,0,,
1,表,3,1,1,true,true,false,野﨑勇一郎,右,髙松紳志,左,ストレート,,14,0,ボール,false,四球,,,,0,0,,
1,表,0,0,1,true,true,false,野﨑勇一郎,右,野口恭平,左,ストレート,,4,0,見送,false,,,,,0,0,,
1,表,0,1,1,true,true,true,野﨑勇一郎,右,野口恭平,左,ストレート,,14,0,ボール,false,,,,,0,0,,
1,表,1,1,1,true,true,true,野﨑勇一郎,右,野口恭平,左,カーブ,,8,0,インプレー,false,,単打,ライナー,右,0,1,,T3
1,表,0,0,1,true,true,true,野﨑勇一郎,右,細川叶人,右,チェンジ,,6,0,空振,false,,,,,0,0,,
1,表,0,1,1,true,true,true,野﨑勇一郎,右,細川叶人,右,ストレート,,9,0,見送,false,,,,,0,0,,
1,表,0,2,1,true,true,true,野﨑勇一郎,右,細川叶人,右,チェンジ,,3,0,ファール,false,,,,,0,0,,
1,表,0,2,1,true,true,true,野﨑勇一郎,右,細川叶人,右,スライダー,,12,0,インプレー,false,,凡打,ライナー,遊,1,0,,J3
1,表,0,0,2,true,true,true,野﨑勇一郎,右,山田久敬,左,ストレート,,13,0,ボール,false,,,,,0,0,,
1,表,1,0,2,true,true,true,野﨑勇一郎,右,山田久敬,左,カーブ,,9,0,空振,false,,,,,0,0,,
1,表,1,1,2,true,true,true,野﨑勇一郎,右,山田久敬,左,チェンジ,,11,0,ボール,false,,,,,0,0,,
1,表,2,1,2,true,true,true,野﨑勇一郎,右,山田久敬,左,スライダー,,14,0,ボール,false,,,,,0,0,,
