Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
1,裏,0,0,0,false,false,false,吉野京士郎,右,中野心惇,右,ストレート,,12,1,ボール,false,,,,,0,0,,
1,裏,1,0,0,false,false,false,吉野京士郎,右,中野心惇,右,ストレート,,13,0,ボール,false,,,,,0,0,,
1,裏,2,0,0,false,false,false,吉野京士郎,右,中野心惇,右,ストレート,,2,1,ファール,false,,,,,0,0,,
1,裏,2,1,0,false,false,false,吉野京士郎,右,中野心惇,右,ストレート,,3,1,ファール,false,,,,,0,0,,
1,裏,1,0,1,false,true,false,吉野京士郎,右,中野心惇,右,ストレート,,7,3,インプレー,false,,凡打,フライ,左,1,0,,G6
1,裏,0,0,2,false,true,false,吉野京士郎,右,中野心惇,右,スライダー,,7,3,空振,false,,,,,0,0,,
1,裏,0,1,2,false,true,false,吉野京士郎,右,中野心惇,右,スライダー,,13,3,ボール,false,,,,,0,0,,
1,裏,0,0,1,false,true,false,吉野京士郎,右,前谷内琉斗,左,スライダー,,11,3,ボール,false,,,,,0,0,,
1,裏,2,0,0,true,false,false,吉野京士郎,右,前谷内琉斗,左,ストレート,,5,1,インプレー,false,,犠打,ゴロ,投,1,0,,
1,裏,1,0,0,true,false,false,吉野京士郎,右,細川太志,左,ストレート,,14,3,ボール,false,,,,,0,0,,
1,裏,0,0,0,true,false,false,吉野京士郎,右,細川太志,左,ストレート,,13,3,ボール,false,,,,,0,0,,
1,裏,2,2,0,false,false,false,吉野京士郎,右,細川太志,左,ストレート,,2,1,インプレー,false,,単打,ゴロ,中,0,0,,L3
1,裏,1,0,0,false,false,false,吉野京士郎,右,山本翔士,左,フォーク,,7,3,ファール,false,,,,,0,0,,
1,裏,1,1,2,false,false,false,吉野京士郎,右,山本翔士,左,ストレート,,2,1,ファール,false,,,,,0,0,,
1,裏,2,2,2,false,false,false,吉野京士郎,右,山本翔士,左,ストレート,,14,1,ボール,false,,,,,0,0,,
1,裏,3,2,2,false,false,false,吉野京士郎,右,山本翔士,左,スライダー,,13,0,インプレー,false,,凡打,ゴロ,遊,1,0,,J3
2,表,0,0,0,false,false,false,蔵口　敦,右,亀澤祐貴,右,ストレート,,14,1,空振,false,,,,,0,0,,
2,表,0,1,0,false,false,false,蔵口　敦,右,亀澤祐貴,右,スライダー,,14,1,ボール,false,,,,,0,0,,
2,表,1,1,0,false,false,false,蔵口　敦,右,亀澤祐貴,右,ストレート,,14,1,ボール,false,,,,,0,0,,
2,表,2,1,0,false,false,false,蔵口　敦,右,亀澤祐貴,右,スライダー,,11,1,ボール,false,,,,,0,0,,
2,表,3,1,0,false,false,false,蔵口　敦,右,亀澤祐貴,右,ストレート,,6,1,見送,false,,,,,0,0,,
2,表,3,2,0,false,false,false,蔵口　敦,右,亀澤祐貴,右,スライダー,,0,1,空振,false,空三振,,,,1,0,,
2,表,0,0,1,false,false,false,蔵口　敦,右,植松健太,左,ストレート,,14,0,ボール,false,,,,,0,0,,
2,表,1,0,1,false,false,false,蔵口　敦,右,植松健太,左,ストレート,,4,3,インプレー,false,,単打,ライナー,左,0,0,,E4
2,表,0,0,1,true,false,false,蔵口　敦,右,久保田大成,右,ストレート,,5,1,インプレー,false,,凡打,ゴロ,二,1,0,,T3
2,表,0,0,2,false,true,false,蔵口　敦,右,櫻井伯斗,右,カット,,12,1,ボール,false,,,,,0,0,,
2,表,1,0,2,false,true,false,蔵口　敦,右,櫻井伯斗,右,ストレート,,6,1,見送,false,,,,,0,0,,
2,表,1,1,2,false,true,false,蔵口　敦,右,櫻井伯斗,右,スライダー,,12,1,ボール,false,,,,,0,0,,
2,表,2,1,2,false,true,false,蔵口　敦,右,櫻井伯斗,右,ストレート,,5,3,ファール,false,,,,,0,0,,
2,表,2,2,2,false,true,false,蔵口　敦,右,櫻井伯斗,右,スライダー,,3,1,インプレー,false,,凡打,フライ,右,1,0,,U5
2,裏,0,0,0,false,false,false,吉野京士郎,右,津澤泰成,左,スライダー,,4,1,見送,false,,,,,0,0,,
2,裏,0,1,0,false,false,false,吉野京士郎,右,津澤泰成,左,スライダー,,7,0,見送,false,,,,,0,0,,
2,裏,0,2,0,false,false,false,吉野京士郎,右,津澤泰成,左,スライダー,,4,1,インプレー,false,,凡打,ゴロ,二,1,0,,T3
2,裏,0,0,1,false,false,false,吉野京士郎,右,竹内勇輝,左,スライダー,,11,1,ボール,false,,,,,0,0,,
2,裏,1,0,1,false,false,false,吉野京士郎,右,竹内勇輝,左,スライダー,,5,1,インプレー,false,,凡打,ゴロ,遊,1,0,,J3
2,裏,0,0,2,false,false,false,吉野京士郎,右,東元龍成,右,スライダー,,8,1,見送,false,,,,,0,0,,
