Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
1,表,0,0,0,false,false,false,大槇優斗,右,渡部千博,左,ストレート,,11,3,ボール,false,,,,,0,0,,
1,表,1,0,0,false,false,false,大槇優斗,右,渡部千博,左,ストレート,,14,3,ボール,false,,,,,0,0,,
1,表,2,0,0,false,false,false,大槇優斗,右,渡部千博,左,ストレート,,5,2,見送,false,,,,,0,0,,
1,表,2,1,0,false,false,false,大槇優斗,右,渡部千博,左,ストレート,,12,2,ボール,false,,,,,0,0,,
1,表,3,1,0,false,false,false,大槇優斗,右,渡部千博,左,ストレート,,2,2,見送,false,,,,,0,0,,
1,表,3,2,0,false,false,false,大槇優斗,右,渡部千博,左,ストレート,,3,1,ファール,false,,,,,0,0,,
1,表,3,2,0,false,false,false,大槇優斗,右,渡部千博,左,ストレート,,7,1,インプレー,false,,失策,ゴロ,遊,0,0,,H3
1,表,0,0,0,true,false,false,大槇優斗,右,池邉由伸,左,ストレート,,13,0,ボール,false,,,,,0,0,,
1,表,1,0,0,true,false,false,大槇優斗,右,池邉由伸,左,ストレート,,5,0,インプレー,false,,犠打,ゴロ,投,1,0,,
1,表,0,0,1,false,true,false,大槇優斗,右,佐藤隼太,右,スライダー,,1,0,ファール,false,,,,,0,0,,
1,表,0,1,1,false,true,false,大槇優斗,右,佐藤隼太,右,スライダー,,3,0,ファール,false,,,,,0,0,,
1,表,0,2,1,false,true,false,大槇優斗,右,佐藤隼太,右,スライダー,,6,0,空振,false,空三振,,,,1,0,,
1,表,0,0,2,false,true,false,大槇優斗,右,髙松紳志,左,ストレート,,1,0,ボール,false,,,,,0,0,,
1,表,1,0,2,false,true,false,大槇優斗,右,髙松紳志,左,スライダー,,11,0,ボール,false,,,,,0,0,,
1,表,2,0,2,false,true,false,大槇優斗,右,髙松紳志,左,シュート,,4,0,インプレー,false,,凡打,ライナー,二,1,0,,Q3
1,裏,0,0,0,false,false,false,藤川泰斗,左,新田恭也,左,ストレート,,11,0,ボール,false,,,,,0,0,,
1,裏,1,0,0,false,false,false,藤川泰斗,左,新田恭也,左,ストレート,,13,0,ボール,false,,,,,0,0,,
1,裏,2,0,0,false,false,false,藤川泰斗,左,新田恭也,左,ストレート,,13,0,ボール,false,,,,,0,0,,
1,裏,3,0,0,false,false,false,藤川泰斗,左,新田恭也,左,ストレート,,5,0,見送,false,,,,,0,0,,
1,裏,3,1,0,false,false,false,藤川泰斗,左,新田恭也,左,ストレート,,9,0,見送,false,,,,,0,0,,
1,裏,3,2,0,false,false,false,藤川泰斗,左,新田恭也,左,ストレート,,6,0,インプレー,false,,凡打,ゴロ,三,1,0,,D2
1,裏,0,0,1,false,false,false,藤川泰斗,左,三上武流,右,ストレート,,4,0,見送,false,,,,,0,0,,
1,裏,0,1,1,false,false,false,藤川泰斗,左,三上武流,右,スライダー,,4,0,空振,false,,,,,0,0,,
1,裏,0,2,1,false,false,false,藤川泰斗,左,三上武流,右,ストレート,,13,0,ボール,false,,,,,0,0,,
1,裏,1,2,1,false,false,false,藤川泰斗,左,三上武流,右,ストレート,,2,0,インプレー,false,,単打,ゴロ,投,0,0,,N1
1,裏,0,0,1,true,false,false,藤川泰斗,左,角尾頼尊,右,スライダー,,4,0,インプレー,false,,凡打,ライナー,三,1,0,,D2
1,裏,0,0,2,true,false,false,藤川泰斗,左,南　早羽己,左,ストレート,,7,0,見送,false,,,,,0,0,,
1,裏,0,1,2,true,false,false,藤川泰斗,左,南　早羽己,左,ストレート,,11,0,ボール,false,,,,,0,0,,
1,裏,1,1,2,true,false,false,藤川泰斗,左,南　早羽己,左,ストレート,,5,0,ファール,false,,,,,0,0,,
1,裏,1,2,2,true,false,false,藤川泰斗,左,南　早羽己,左,ストレート,,12,0,ボール,false,,,,,0,0,,
1,裏,2,2,2,true,false,false,藤川泰斗,左,南　早羽己,左,ストレート,,1,0,ファール,false,,,,,0,0,,
1,裏,2,2,2,true,false,false,藤川泰斗,左,南　早羽己,左,ストレート,,13,0,ボール,false,,,,,0,0,,
1,裏,3,2,2,true,false,false,藤川泰斗,左,南　早羽己,左,ストレート,,13,0,ボール,false,四球,,,,0,0,,
1,裏,0,0,2,true,true,false,藤川泰斗,左,岸田脩汰,右,スライダー,,8,0,見送,false,,,,,0,0,,
1,裏,0,1,2,true,true,false,藤川泰斗,左,岸田脩汰,右,ストレート,,1,0,インプレー,false,,凡打,フライ,右,1,0,,U5
2,表,0,0,0,false,false,false,大槇優斗,右,伊藤航太,左,ストレート,,9,0,空振,false,,,,,0,0,,
2,表,0,1,0,false,false,false,大槇優斗,右,伊藤航太,左,フォーク,,7,0,空振,false,,,,,0,0,,
2,表,0,2,0,false,false,false,大槇優斗,右,伊藤航太,左,ストレート,,14,0,ボール,false,,,,,0,0,,
2,表,1,2,0,false,false,false,大槇優斗,右,伊藤航太,左,チェンジ,,13,0,空振,false,空三振,,,,1,0,,
2,表,0,0,1,false,false,false,大槇優斗,右,野口恭平,左,ストレート,,3,0,ファール,false,,,,,0,0,,
2,表,0,1,1,false,false,false,大槇優斗,右,野口恭平,左,ストレート,,11,0,ボール,false,,,,,0,0,,
2,表,1,1,1,false,false,false,大槇優斗,右,野口恭平,左,チェンジ,,13,0,ボール,false,,,,,0,0,,
