Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
1,表,0,0,0,false,false,false,山口蒼介,右,山本優人,右,ストレート,,6,1,見送,false,,,,,0,0,,
1,表,0,0,0,false,false,false,山口蒼介,右,山本優人,右,ストレート,,6,1,見送,false,,,,,0,0,,
1,表,0,1,0,false,false,false,山口蒼介,右,山本優人,右,ストレート,,9,1,見送,false,,,,,0,0,,
1,表,0,2,0,false,false,false,山口蒼介,右,山本優人,右,スライダー,,14,1,ボール,false,,,,,0,0,,
1,表,1,2,0,false,false,false,山口蒼介,右,山本優人,右,ストレート,,14,1,ボール,false,,,,,0,0,,
1,表,2,2,0,false,false,false,山口蒼介,右,山本優人,右,ストレート,,6,1,ファール,false,,,,,0,0,,
1,表,2,2,0,false,false,false,山口蒼介,右,山本優人,右,スライダー,,3,1,インプレー,false,,凡打,フライ,中,1,0,,J6
1,表,0,0,1,false,false,false,山口蒼介,右,竹田龍汰,右,スライダー,,5,1,空振,false,,,,,0,0,,
1,表,0,1,1,false,false,false,山口蒼介,右,竹田龍汰,右,スライダー,,7,1,見送,false,,,,,0,0,,
1,表,0,2,1,false,false,false,山口蒼介,右,竹田龍汰,右,カット,,14,1,ボール,false,,,,,0,0,,
1,表,1,2,1,false,false,false,山口蒼介,右,竹田龍汰,右,ストレート,,12,1,インプレー,false,,失策,ゴロ,遊,0,0,,F3
1,表,0,0,1,true,false,false,山口蒼介,右,道下柚希,左,ストレート,,2,1,インプレー,false,,単打,ライナー,右,0,0,,R4
1,表,0,0,1,true,true,false,山口蒼介,右,加納誠琉,右,スライダー,,1,1,ファール,false,,,,,0,0,,
1,表,0,1,1,true,true,false,山口蒼介,右,加納誠琉,右,ストレート,,3,1,空振,false,,,,,0,0,,
1,表,0,2,1,true,true,false,山口蒼介,右,加納誠琉,右,スライダー,,14,1,空振,false,空三振,,,,1,0,,
1,表,0,0,2,true,true,false,山口蒼介,右,相上征士郎,右,ストレート,,11,1,ボール,false,,,,,0,0,,
1,表,1,0,2,true,true,false,山口蒼介,右,相上征士郎,右,スライダー,,3,1,見送,false,,,,,0,0,,
1,表,1,1,2,true,true,false,山口蒼介,右,相上征士郎,右,スライダー,,14,1,空振,false,,,,,0,0,,
1,表,1,2,2,true,true,false,山口蒼介,右,相上征士郎,右,ストレート,,9,1,見送,false,見三振,,,,1,0,,
1,裏,0,0,0,false,false,false,小野颯太,右,吉田悠河,左,ストレート,,2,3,見送,false,,,,,0,0,,
1,裏,0,1,0,false,false,false,小野颯太,右,吉田悠河,左,ストレート,,3,1,インプレー,false,,凡打,フライ,三,1,0,,B2
1,裏,0,0,1,false,false,false,小野颯太,右,中野栞汰,左,ストレート,,11,1,ボール,false,,,,,0,0,,
1,裏,1,0,1,false,false,false,小野颯太,右,中野栞汰,左,ストレート,,12,1,ボール,false,,,,,0,0,,
1,裏,2,0,1,false,false,false,小野颯太,右,中野栞汰,左,ストレート,,1,1,見送,false,,,,,0,0,,
1,裏,2,1,1,false,false,false,小野颯太,右,中野栞汰,左,ストレート,,1,1,見送,false,,,,,0,0,,
1,裏,2,2,1,false,false,false,小野颯太,右,中野栞汰,左,スライダー,,7,1,ファール,false,,,,,0,0,,
1,裏,2,2,1,false,false,false,小野颯太,右,中野栞汰,左,ストレート,,4,3,ファール,false,,,,,0,0,,
1,裏,2,2,1,false,false,false,小野颯太,右,中野栞汰,左,スライダー,,4,0,インプレー,false,,凡打,ゴロ,一,1,0,,X2
1,裏,0,0,2,false,false,false,小野颯太,右,多賀健渡,右,スライダー,,13,1,ボール,false,,,,,0,0,,
1,裏,1,0,2,false,false,false,小野颯太,右,多賀健渡,右,ストレート,,3,1,インプレー,false,,単打,ライナー,中,0,0,,Q4
