Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
4,表,0,0,0,false,false,false,上野光大郎,右,,右,カーブ,,4,0,見送,false,,,,,0,0,,
4,表,0,1,0,false,false,false,上野光大郎,右,,右,カーブ,,9,0,空振,false,,,,,0,0,,
4,表,0,2,0,false,false,false,上野光大郎,右,,右,チェンジ,,9,0,インプレー,false,,単打,ゴロ,左,0,0,,
4,表,0,0,0,true,false,false,上野光大郎,右,,左,ストレート,,9,0,見送,false,,,,,0,0,,
4,表,0,1,0,true,false,false,上野光大郎,右,,左,ストレート,,8,0,インプレー,false,,単打,ゴロ,右,1,0,,
4,表,0,0,1,false,true,false,上野光大郎,右,,左,ストレート,,8,0,インプレー,false,,単打,ゴロ,三,0,1,,
4,表,0,0,1,false,true,false,上野光大郎,右,,右,ストレート,,13,0,ボール,false,,,,,0,0,,
4,表,1,0,1,false,true,false,上野光大郎,右,,右,ストレート,,14,0,ボール,false,,,,,0,0,,
4,表,2,0,1,false,true,false,上野光大郎,右,,右,ストレート,,4,0,インプレー,false,,凡打,ゴロ,三,1,0,,
4,表,0,0,2,false,true,false,上野光大郎,右,,右,ストレート,,1,0,ファール,false,,,,,0,0,,
4,表,0,1,2,false,true,false,上野光大郎,右,,右,チェンジ,,4,0,見送,false,,,,,0,0,,
4,表,0,2,2,false,true,false,上野光大郎,右,,右,ストレート,,7,0,ファール,false,,,,,0,0,,
4,表,0,2,2,false,true,false,上野光大郎,右,,右,カーブ,,14,0,ボール,false,,,,,0,0,,
4,表,1,2,2,false,false,true,上野光大郎,右,,右,カーブ,,2,0,インプレー,false,,凡打,フライ,左,1,0,,
4,裏,0,0,0,false,false,false,,右,山本悠真,右,ストレート,,0,0,ボール,false,,,,,0,0,,
4,裏,1,0,0,false,false,false,,右,山本悠真,右,カーブ,,6,0,見送,false,,,,,0,0,,
