Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
1,表,0,0,1,true,false,false,樽見謙伸,右,,右,カーブ,,14,0,ボール,false,,,,,0,0,,
1,表,1,0,1,true,false,false,樽見謙伸,右,,右,ストレート,,12,0,ボール,false,,,,,0,0,,
1,表,2,0,1,true,false,false,樽見謙伸,右,,右,ストレート,,9,0,見送,false,,,,,0,0,,
1,表,2,1,1,true,false,false,樽見謙伸,右,,右,,,0,0,牽制,false,,,,,1,0,,
1,表,2,1,2,true,false,false,樽見謙伸,右,,右,ストレート,,0,0,ファール,false,,,,,0,0,,
1,表,2,2,2,true,false,false,樽見謙伸,右,,右,スライダー,,14,0,空振,false,空三振,,,,1,0,,
1,裏,0,0,0,false,false,false,,左,山本優人,右,スライダー,,7,0,見送,false,,,,,0,0,,
1,裏,0,1,0,false,false,false,,左,山本優人,右,ストレート,,14,0,ボール,false,,,,,0,0,,
1,裏,1,1,0,false,false,false,,左,山本優人,右,ストレート,,13,0,ボール,false,,,,,0,0,,
1,裏,2,1,0,false,false,false,,左,山本優人,右,カーブ,,13,0,空振,false,,,,,0,0,,
1,裏,2,2,0,false,false,false,,左,山本優人,右,ストレート,,11,0,ボール,false,,,,,0,0,,
1,裏,3,2,0,false,false,false,,左,山本優人,右,スライダー,,9,0,インプレー,false,,単打,ライナー,左,0,0,,F4
1,裏,0,0,0,true,false,false,,左,渡辺健太郎,右,ストレート,,6,0,ファール,false,,,,,0,0,,
1,裏,0,1,0,true,false,false,,左,渡辺健太郎,右,ストレート,,7,0,見送,false,,,,,0,0,,
1,裏,0,2,0,true,false,false,,左,渡辺健太郎,右,スライダー,,13,0,ボール,false,,,,,0,0,,
1,裏,1,2,0,true,false,false,,左,渡辺健太郎,右,スライダー,,8,0,インプレー,false,,二塁打,ライナー,中,0,1,,H4
1,裏,0,0,0,false,true,false,,左,平澤秀太,右,ストレート,,9,0,見送,false,,,,,0,0,,
1,裏,0,1,0,false,true,false,,左,平澤秀太,右,ストレート,,13,0,ボール,false,,,,,0,0,,
1,裏,1,1,0,false,true,false,,左,平澤秀太,右,ストレート,,14,0,ボール,false,,,,,0,0,,
1,裏,2,1,0,false,true,false,,左,平澤秀太,右,チェンジ,,14,0,ボール,false,,,,,0,1,,
1,裏,3,1,0,false,false,false,,左,平澤秀太,右,ストレート,,11,0,ボール,false,四球,,,,0,0,,
1,裏,0,0,0,true,false,false,,左,相上征士郎,右,ストレート,,13,0,ボール,false,,,,,0,0,,
1,裏,1,0,0,false,true,false,,左,相上征士郎,右,ストレート,,13,0,空振,false,,,,,0,0,,
1,裏,1,1,0,false,true,false,,左,相上征士郎,右,ストレート,,9,0,インプレー,false,,単打,ゴロ,二,0,0,,P3
1,裏,0,0,0,true,false,true,,左,桜　圭吾,右,ストレート,,7,0,見送,false,,,,,0,0,,
1,裏,0,1,0,true,false,true,,左,桜　圭吾,右,ストレート,,8,0,ファール,false,,,,,0,0,,
