Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
1,表,0,0,0,false,false,false,,右,山本優人,右,カーブ,,14,0,ボール,false,,,,,0,0,,
1,表,1,0,0,false,false,false,,右,山本優人,右,ストレート,,14,0,インプレー,false,,凡打,フライ,右,1,0,,Y4
1,表,0,0,1,false,false,false,,右,淀川理久,左,ストレート,,6,0,インプレー,false,,凡打,フライ,右,1,0,,U5
1,表,0,0,2,false,false,false,,右,竹田龍汰,右,カーブ,,8,0,見送,false,,,,,0,0,,
1,表,0,1,2,false,false,false,,右,竹田龍汰,右,カーブ,,7,0,見送,false,,,,,0,0,,
1,表,0,2,2,false,false,false,,右,竹田龍汰,右,カーブ,,9,0,ファール,false,,,,,0,0,,
1,表,0,2,2,false,false,false,,右,竹田龍汰,右,ストレート,,3,0,ファール,false,,,,,0,0,,
1,表,0,2,2,false,false,false,,右,竹田龍汰,右,スライダー,,6,0,インプレー,false,,凡打,フライ,三,1,0,,B2
1,裏,0,0,0,false,false,false,濵名壱晴,右,,右,ストレート,,4,0,見送,false,,,,,0,0,,
1,裏,0,1,0,false,false,false,濵名壱晴,右,,右,ストレート,,13,0,ボール,false,,,,,0,0,,
1,裏,1,1,0,false,false,false,濵名壱晴,右,,右,カット,,11,0,インプレー,false,,凡打,フライ,一,1,0,,
1,裏,0,0,1,false,false,false,濵名壱晴,右,,右,カーブ,,8,0,見送,false,,,,,0,0,,
1,裏,0,1,1,false,false,false,濵名壱晴,右,,右,ストレート,,9,0,見送,false,,,,,0,0,,
1,裏,0,2,1,false,false,false,濵名壱晴,右,,右,スライダー,,14,0,ファール,false,,,,,0,0,,
1,裏,0,2,1,false,false,false,濵名壱晴,右,,右,ストレート,,7,0,インプレー,false,,単打,ゴロ,左,0,0,,
1,裏,0,0,1,true,false,false,濵名壱晴,右,,左,ストレート,,4,0,空振,false,,,,,0,0,,
1,裏,0,1,1,true,false,false,濵名壱晴,右,,左,ストレート,,7,0,ファール,false,,,,,0,0,,
1,裏,0,1,1,true,false,false,濵名壱晴,右,,左,ストレート,,7,0,ファール,false,,,,,0,0,,
1,裏,0,2,1,true,false,false,濵名壱晴,右,,左,ストレート,,14,0,ボール,false,,,,,0,0,,
1,裏,0,2,1,true,false,false,濵名壱晴,右,,左,ストレート,,14,0,ボール,false,,,,,0,0,,
1,裏,1,2,1,false,true,false,濵名壱晴,右,,左,ストレート,,13,0,ボール,false,,,,,0,0,,
1,裏,2,2,1,false,true,false,濵名壱晴,右,,左,カーブ,,3,0,インプレー,false,,凡打,ゴロ,一,1,0,,
1,裏,0,0,2,false,false,true,濵名壱晴,右,,右,スライダー,,8,0,空振,false,,,,,0,0,,
1,裏,0,1,2,false,false,true,濵名壱晴,右,,右,スライダー,,14,0,ボール,false,,,,,0,0,,
1,裏,1,1,2,false,false,true,濵名壱晴,右,,右,カーブ,,2,0,ファール,false,,,,,0,0,,
1,裏,1,2,2,false,false,true,濵名壱晴,右,,右,ストレート,,3,0,インプレー,false,,三塁打,フライ,中,0,1,,
1,裏,0,0,2,false,false,true,濵名壱晴,右,,左,ストレート,,13,0,インプレー,false,,凡打,フライ,左,1,0,,
2,表,0,0,0,false,false,false,,右,加納誠琉,右,ストレート,,13,0,ボール,false,,,,,0,0,,
2,表,1,0,0,false,false,false,,右,加納誠琉,右,スライダー,,14,0,ボール,false,,,,,0,0,,
2,表,2,0,0,false,false,false,,右,加納誠琉,右,ストレート,,3,0,ファール,false,,,,,0,0,,
2,表,2,1,0,false,false,false,,右,加納誠琉,右,ストレート,,2,0,インプレー,false,,二塁打,ライナー,左,0,0,,E4
2,表,0,0,0,false,true,false,,右,相上征士郎,右,,,0,0,牽制,false,,,,,1,0,,
2,表,0,0,1,false,false,false,,右,相上征士郎,右,ストレート,,11,0,ボール,false,,,,,0,0,,
2,表,1,0,1,false,false,false,,右,相上征士郎,右,カーブ,,14,0,ボール,false,,,,,0,0,,
2,表,2,0,1,false,false,false,,右,相上征士郎,右,ストレート,,9,0,インプレー,false,,本塁打,フライ,左,0,1,,F7
2,表,0,0,1,false,false,false,,右,越野虎次郎,右,ストレート,,6,0,インプレー,false,,凡打,フライ,二,1,0,,X4
2,表,0,0,2,false,false,false,,右,鍛冶陽斗,右,スライダー,,14,0,ボール,false,,,,,0,0,,
2,表,1,0,2,false,false,false,,右,鍛冶陽斗,右,ストレート,,6,0,インプレー,false,,単打,フライ,中,0,0,,R4
2,表,0,0,2,true,false,false,,右,山本悠真,右,ストレート,,8,0,見送,false,,,,,0,0,,
2,表,0,1,2,true,false,false,,右,山本悠真,右,カーブ,,11,0,ボール,false,,,,,0,0,,
2,表,0,1,2,true,false,false,,右,山本悠真,右,カーブ,,11,0,ボール,false,,,,,0,0,,
2,表,0,1,2,true,false,false,,右,山本悠真,右,カーブ,,11,0,ボール,false,,,,,0,0,,
2,表,1,1,2,true,false,false,,右,山本悠真,右,,,0,0,ボール,false,,,,,0,0,,
2,表,2,1,2,true,false,false,,右,山本悠真,右,カット,,6,0,ファール,false,,,,,0,0,,
2,表,2,2,2,true,false,false,,右,山本悠真,右,カーブ,,14,0,ボール,false,,,,,0,0,,
2,表,3,2,2,false,true,false,,右,山本悠真,右,ストレート,,2,0,インプレー,false,,単打,ゴロ,一,0,0,,
2,表,0,0,2,true,false,true,,右,渡辺健太郎,右,ストレート,,14,0,ボール,false,,,,,0,0,,
2,表,1,0,2,true,false,true,,右,渡辺健太郎,右,ストレート,,3,0,インプレー,false,,凡打,ゴロ,二,1,0,,T3
2,裏,0,0,0,false,false,false,濵名壱晴,右,,右,ストレート,,8,0,インプレー,false,,失策,ゴロ,遊,0,0,,
2,裏,0,0,0,true,false,false,濵名壱晴,右,,右,,,0,0,インプレー,false,,犠打,ゴロ,投,1,0,,
2,裏,0,0,1,false,true,false,濵名壱晴,右,,右,ストレート,,4,1,見送,false,,,,,0,0,,
2,裏,0,1,1,false,true,false,濵名壱晴,右,,右,スライダー,,14,0,空振,false,,,,,0,0,,
2,裏,0,2,1,false,true,false,濵名壱晴,右,,右,ストレート,,13,0,ボール,false,,,,,0,0,,
