Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
1,表,0,1,0,false,true,false,吉野京士郎,右,伊藤悠成,左,ストレート,,13,0,インプレー,false,,凡打,ゴロ,一,1,0,,V2
1,表,0,0,0,false,false,false,吉野京士郎,右,須澤愛也,右,スライダー,,14,3,見送,false,,,,,0,0,,
1,表,0,1,0,false,false,false,吉野京士郎,右,須澤愛也,右,ストレート,,1,0,インプレー,false,,二塁打,ライナー,左,0,0,,D7
1,表,0,0,0,false,true,false,吉野京士郎,右,伊藤悠成,左,ストレート,,5,0,ファール,false,,,,,0,0,,
1,表,3,0,1,false,false,true,吉野京士郎,右,鈴野愁馬,右,ストレート,,6,0,見送,false,,,,,0,0,,
1,表,3,1,1,false,false,true,吉野京士郎,右,鈴野愁馬,右,スライダー,,6,1,インプレー,false,,凡打,フライ,右,1,0,,U4
1,表,0,0,2,false,false,true,吉野京士郎,右,井上幹太,右,スライダー,,9,0,インプレー,false,,単打,ライナー,中,0,1,,O4
1,表,0,0,2,true,false,false,吉野京士郎,右,茂路晴実,左,スライダー,,4,0,見送,false,,,,,0,0,,
1,表,0,1,2,true,false,false,吉野京士郎,右,茂路晴実,左,ストレート,,7,0,見送,false,,,,,0,0,,
1,表,0,2,2,true,false,false,吉野京士郎,右,茂路晴実,左,ストレート,,13,0,ボール,false,,,,,0,0,,
1,表,1,2,2,true,false,false,吉野京士郎,右,茂路晴実,左,ストレート,,9,0,見送,false,見三振,,,,1,0,,
1,裏,0,0,0,false,false,false,丸山椋介,右,久保田大成,右,カーブ,,12,0,ボール,false,,,,,0,0,,
1,裏,1,0,0,false,false,false,丸山椋介,右,久保田大成,右,ストレート,,14,0,ボール,false,,,,,0,0,,
1,裏,2,0,0,false,false,false,丸山椋介,右,久保田大成,右,ストレート,,9,0,インプレー,false,,凡打,ゴロ,遊,1,0,,I3
1,裏,0,0,1,false,false,false,丸山椋介,右,唐澤　旬,左,ストレート,,5,0,インプレー,false,,失策,ゴロ,一,0,0,,U3
1,裏,0,0,1,true,false,false,丸山椋介,右,加藤遥人,右,カーブ,,14,0,ボール,false,,,,,0,0,,
1,裏,1,0,1,true,false,false,丸山椋介,右,加藤遥人,右,,,0,0,牽制,false,,,,,0,0,,
1,裏,1,0,1,true,false,false,丸山椋介,右,加藤遥人,右,,,0,0,インプレー,false,,犠打,ゴロ,投,1,0,,
1,裏,0,0,2,false,true,false,丸山椋介,右,中村康太,右,ストレート,,14,0,ボール,false,,,,,0,0,,
1,裏,1,0,2,false,true,false,丸山椋介,右,中村康太,右,カーブ,,14,0,ボール,false,,,,,0,0,,
1,裏,2,0,2,false,true,false,丸山椋介,右,中村康太,右,ストレート,,14,0,インプレー,false,,凡打,ゴロ,遊,1,0,,L3
2,表,0,0,0,false,false,false,吉野京士郎,右,池田賢哉,右,スライダー,,5,0,空振,false,,,,,0,0,,
2,表,0,1,0,false,false,false,吉野京士郎,右,池田賢哉,右,スライダー,,8,0,インプレー,false,,凡打,フライ,三,1,0,,B2
2,表,0,0,1,false,false,false,吉野京士郎,右,田中允貴,右,,,0,0,見送,false,,,,,0,0,,
2,表,0,1,1,false,false,false,吉野京士郎,右,田中允貴,右,,,0,0,ファール,false,,,,,0,0,,
2,表,0,2,1,false,false,false,吉野京士郎,右,田中允貴,右,ストレート,,12,0,ファール,false,,,,,0,0,,
2,表,0,2,1,false,false,false,吉野京士郎,右,田中允貴,右,スライダー,,2,0,ファール,false,,,,,0,0,,
2,表,0,2,1,false,false,false,吉野京士郎,右,田中允貴,右,ストレート,,1,0,空振,false,空三振,,,,1,0,,
2,表,0,0,2,false,false,false,吉野京士郎,右,玉置丈一郎,右,ストレート,,6,0,見送,false,,,,,0,0,,
2,表,1,2,2,false,false,false,吉野京士郎,右,玉置丈一郎,右,ストレート,,9,0,インプレー,false,,凡打,フライ,右,1,0,,U6
2,裏,0,0,0,false,false,false,丸山椋介,右,植松健太,左,スライダー,,7,0,見送,false,,,,,0,0,,
2,裏,0,1,0,false,false,false,丸山椋介,右,植松健太,左,ストレート,,14,0,ボール,false,,,,,0,0,,
2,裏,1,1,0,false,false,false,丸山椋介,右,植松健太,左,ストレート,,3,0,インプレー,false,,凡打,フライ,二,1,0,,T3
2,裏,0,0,1,false,false,false,丸山椋介,右,藤田海輝,右,スライダー,,14,0,ボール,false,,,,,0,0,,
2,裏,1,0,1,false,false,false,丸山椋介,右,藤田海輝,右,ストレート,,1,0,ファール,false,,,,,0,0,,
2,裏,1,1,1,false,false,false,丸山椋介,右,藤田海輝,右,スライダー,,14,0,ボール,false,,,,,0,0,,
2,裏,2,1,1,false,false,false,丸山椋介,右,藤田海輝,右,シュート,,7,0,見送,false,,,,,0,0,,
2,裏,2,2,1,false,false,false,丸山椋介,右,藤田海輝,右,ストレート,,3,0,インプレー,false,,単打,フライ,中,0,0,,K4
2,裏,0,0,1,true,false,false,丸山椋介,右,亀澤祐貴,右,,,0,0,牽制,false,,,,,0,0,,
2,裏,0,0,1,true,false,false,丸山椋介,右,亀澤祐貴,右,,,0,0,牽制,false,,,,,0,0,,
2,裏,0,0,1,true,false,false,丸山椋介,右,亀澤祐貴,右,ストレート,,6,0,見送,false,,,,,0,0,,
2,裏,0,1,1,true,false,false,丸山椋介,右,亀澤祐貴,右,スライダー,,14,0,ボール,false,,,,,0,0,,
2,裏,1,1,1,true,false,false,丸山椋介,右,亀澤祐貴,右,フォーク,,8,0,ボール,false,,,,,0,0,,
2,裏,2,1,1,true,false,false,丸山椋介,右,亀澤祐貴,右,,,0,0,牽制,false,,,,,0,0,,
2,裏,2,1,1,true,false,false,丸山椋介,右,亀澤祐貴,右,ストレート,,14,0,ボール,false,,,,,0,0,,
2,裏,3,1,1,true,false,false,丸山椋介,右,亀澤祐貴,右,スライダー,,5,0,見送,false,,,,,0,0,,
2,裏,3,2,1,true,false,false,丸山椋介,右,亀澤祐貴,右,スライダー,,14,0,ボール,false,四球,,,,0,0,,
2,裏,0,0,1,true,true,false,丸山椋介,右,西尾優翔,左,カーブ,,14,3,ボール,false,,,,,0,0,,
2,裏,1,0,1,true,true,false,丸山椋介,右,西尾優翔,左,ストレート,,13,3,インプレー,false,,凡打,ゴロ,投,1,0,,M2
2,裏,0,0,2,false,true,true,丸山椋介,右,澤田虹希,左,ストレート,,9,1,見送,false,,,,,0,0,,
2,裏,0,1,2,false,true,true,丸山椋介,右,澤田虹希,左,ストレート,,11,1,ボール,false,,,,,0,0,,
2,裏,1,1,2,false,true,true,丸山椋介,右,澤田虹希,左,ストレート,,9,1,インプレー,false,,凡打,ゴロ,二,1,0,,T3
3,表,0,0,0,false,false,false,吉野京士郎,右,佐野淳之介,右,ストレート,,9,1,見送,false,,,,,0,0,,
3,表,0,1,0,false,false,false,吉野京士郎,右,佐野淳之介,右,ストレート,,14,1,ボール,false,,,,,0,0,,
3,表,1,1,0,false,false,false,吉野京士郎,右,佐野淳之介,右,スライダー,,14,1,ボール,false,,,,,0,0,,
3,表,2,1,0,false,false,false,吉野京士郎,右,佐野淳之介,右,ストレート,,2,1,ファール,false,,,,,0,0,,
3,表,2,2,0,false,false,false,吉野京士郎,右,佐野淳之介,右,ストレート,,14,0,空振,false,空三振,,,,1,0,,
3,表,0,0,1,false,false,false,吉野京士郎,右,須澤愛也,右,スライダー,,5,1,見送,false,,,,,0,0,,
3,表,0,1,1,false,false,false,吉野京士郎,右,須澤愛也,右,スライダー,,14,1,ボール,false,,,,,0,0,,
3,表,1,1,1,false,false,false,吉野京士郎,右,須澤愛也,右,ストレート,,14,1,ボール,false,,,,,0,0,,
3,表,2,1,1,false,false,false,吉野京士郎,右,須澤愛也,右,スライダー,,8,0,インプレー,false,,単打,ゴロ,遊,0,0,,F3
3,表,0,0,1,true,false,false,吉野京士郎,右,伊藤悠成,左,スライダー,,11,3,ボール,false,,,,,0,0,,
3,表,1,0,1,true,false,false,吉野京士郎,右,伊藤悠成,左,スライダー,,3,1,ファール,false,,,,,0,0,,
3,表,1,1,1,true,false,false,吉野京士郎,右,伊藤悠成,左,フォーク,,14,3,ファール,false,,,,,0,0,,
3,表,1,2,1,true,false,false,吉野京士郎,右,伊藤悠成,左,ストレート,,13,3,ボール,false,,,,,0,0,,
3,表,2,2,1,true,false,false,吉野京士郎,右,伊藤悠成,左,フォーク,,8,3,ファール,false,,,,,0,0,,
3,表,2,2,1,true,false,false,吉野京士郎,右,伊藤悠成,左,スライダー,,13,3,インプレー,false,,凡打,フライ,左,1,0,,G5
3,表,0,0,2,true,false,false,吉野京士郎,右,鈴野愁馬,右,スライダー,,6,1,インプレー,false,,単打,ライナー,左,0,0,,J4
3,表,0,0,2,true,true,false,吉野京士郎,右,井上幹太,右,ストレート,,14,1,ボール,false,,,,,0,0,,
3,表,1,0,2,false,true,true,吉野京士郎,右,井上幹太,右,スライダー,,5,1,インプレー,false,,凡打,フライ,中,1,0,,M6
3,裏,0,0,0,false,false,false,丸山椋介,右,久保田大成,右,カーブ,,6,1,見送,false,,,,,0,0,,
3,裏,0,1,0,false,false,false,丸山椋介,右,久保田大成,右,チェンジ,,14,1,ボール,false,,,,,0,0,,
3,裏,1,1,0,false,false,false,丸山椋介,右,久保田大成,右,ストレート,,9,1,見送,false,,,,,0,0,,
3,裏,1,2,0,false,false,false,丸山椋介,右,久保田大成,右,ストレート,,1,3,ファール,false,,,,,0,0,,
3,裏,1,2,0,false,false,false,丸山椋介,右,久保田大成,右,スライダー,,11,3,死球,false,,,,,0,0,,
3,裏,0,0,0,true,false,false,丸山椋介,右,唐澤　旬,左,ストレート,,4,3,インプレー,false,,犠打,ゴロ,投,1,0,,
3,裏,0,0,1,false,true,false,丸山椋介,右,加藤遥人,右,スライダー,,4,1,見送,false,,,,,0,0,,
3,裏,0,1,1,false,true,false,丸山椋介,右,加藤遥人,右,ストレート,,8,1,見送,false,,,,,0,0,,
3,裏,0,2,1,false,true,false,丸山椋介,右,加藤遥人,右,チェンジ,,14,1,ボール,false,,,,,0,0,,
3,裏,1,2,1,false,true,false,丸山椋介,右,加藤遥人,右,カーブ,,5,1,インプレー,false,,凡打,ゴロ,三,1,0,,E2
3,裏,0,0,2,false,false,true,丸山椋介,右,中村康太,右,ストレート,,8,1,見送,false,,,,,0,0,,
3,裏,0,1,2,false,false,true,丸山椋介,右,中村康太,右,スライダー,,14,1,ボール,false,,,,,0,0,,
3,裏,1,1,2,false,false,true,丸山椋介,右,中村康太,右,ストレート,,14,3,インプレー,false,,単打,ゴロ,中,0,1,,P3
3,裏,0,0,2,true,false,false,丸山椋介,右,植松健太,左,スライダー,,14,3,ボール,false,,,,,0,0,,
3,裏,1,0,2,true,false,false,丸山椋介,右,植松健太,左,,,0,3,牽制,false,,,,,0,0,,
3,裏,1,0,2,true,false,false,丸山椋介,右,植松健太,左,ストレート,,7,3,見送,false,,,,,0,0,,
3,裏,1,1,2,true,false,false,丸山椋介,右,植松健太,左,カーブ,,7,0,インプレー,false,,凡打,ゴロ,一,1,0,,V2
4,表,0,0,0,false,false,false,吉野京士郎,右,茂路晴実,左,カーブ,,14,0,空振,false,,,,,0,0,,
4,表,0,1,0,false,false,false,吉野京士郎,右,茂路晴実,左,ストレート,,8,0,見送,false,,,,,0,0,,
4,表,0,2,0,false,false,false,吉野京士郎,右,茂路晴実,左,ストレート,,7,3,空振,false,空三振,,,,1,0,,
4,表,0,0,1,false,false,false,吉野京士郎,右,池田賢哉,右,カーブ,,14,1,ボール,false,,,,,0,0,,
4,表,1,0,1,false,false,false,吉野京士郎,右,池田賢哉,右,ストレート,,9,1,見送,false,,,,,0,0,,
4,表,1,1,1,false,false,false,吉野京士郎,右,池田賢哉,右,スライダー,,6,0,ファール,false,,,,,0,0,,
4,表,1,2,1,false,false,false,吉野京士郎,右,池田賢哉,右,スライダー,,13,1,空振,false,空三振,,,,1,0,,
4,表,0,0,2,false,false,false,吉野京士郎,右,田中允貴,右,ストレート,,9,1,見送,false,,,,,0,0,,
